node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_81___buf_split_4,1,0,0,0,1
__tpi_cp_83___aig_and_19300,1,0,0,1,0
__tpi_cp_84___aig_and_21416,1,0,0,1,0
__tpi_cp_85___aig_and_19293,1,0,0,1,0
__tpi_cp_87___aig_not_21486,1,0,0,0,1
__tpi_cp_88___aig_not_32877,1,0,0,0,1
__tpi_cp_89___aig_not_21479,1,0,0,0,1
__tpi_cp_91___aig_and_31554,1,0,0,1,0
__tpi_cp_94_new_n8854,1,0,0,0,1
__tpi_cp_9_new_n8875,1,0,0,0,1
