epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.33450790365123084,0.16260996929473348,0.1955271956945459,0.025065929203604658,0.9074908269155356,0.21701796223719916,0.421463567333089,0.9091324640644921,0.09770979886589985,0.03496111982556613,0.7320723057834021,0.7320723057834021,0.0,0.75033032367321,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.272184285116964,0.09324930040747859,0.1748344983207062,0.02616048918571323,0.8210659000324085,0.21596645918907598,0.36730036907829344,0.9185803825967014,0.10493472832604311,0.015428517157033639,0.6540391012308966,0.6540391012308966,0.0,0.6337614583133392,1.0,1.0,256.0
2,2,0.39003118622220223,0.2617904989297191,0.17516645664142239,0.03255193761705111,0.8773033703822228,0.21882241911772224,0.3660866751190689,0.9060789001981417,0.1057883476290024,0.03329968733267985,0.8255407543817183,0.8255407543817183,0.0,1.4206634464322048,1.0,2.0,0.6277572345402506,0.3567319378587935,0.6011246568130122,2.731347853475147,2.412581269343694,311.40777777777777,10.0,0.19999999999999812,900.0,900.0,0.3030590514681535,0.17922625951177906,0.16675904582371004,0.03710376446178998,0.8382038784038741,0.2175172236020444,0.34979558421764523,0.91953523340635,0.10189350302971434,0.01687163071604658,0.6653777322512832,0.6653777322512832,0.0,1.5686174564322926,1.0,2.0,256.0
3,2,0.3988456776282854,0.2729303637643655,0.18112350346520542,0.0321708925642694,0.896633509049813,0.21373206704648004,0.360927064286338,0.9144036380118794,0.09041809974548717,0.029697589162985753,0.851122115048541,0.851122115048541,0.0,1.5367033141807125,1.0,2.0,1.0399054593510098,0.15333912134170533,0.5997859994156494,2.548267662525177,2.007552134328418,312.6511111111111,10.0,0.39999999999999625,900.0,900.0,0.31751396210165694,0.19289329723687842,0.17326684790896252,0.030551495463441825,0.8557815639942419,0.21813530346844345,0.33029935881495476,0.9181786698754877,0.08324017496488523,0.01465558102145792,0.7040996886163806,0.7040996886163806,0.0,1.4600790301561106,1.0,2.0,256.0
4,3,0.3859869204130435,0.29309738488108994,0.1804036502153787,0.028980691512632717,0.8773172081455032,0.21689502492547022,0.32449939449628235,0.8998593563724456,0.0823707094077987,0.029336335528349074,0.7915693156086796,0.7915693156086796,0.0,1.997265911977591,1.0,3.0,0.9703054921494589,0.08653351471655898,0.5868728793329663,2.5001925178368887,1.8722049081987804,310.95666666666665,10.0,0.39999999999999625,900.0,900.0,0.38866184848787566,0.20917157223448152,0.17974783621806023,0.03326423585773833,0.8611090977016523,0.21713145424534264,0.3054825275127468,0.9195870742357032,0.07170610152631227,0.016704663528926744,0.9189277189593281,0.9189277189593281,0.0,2.6395392211373645,1.0,3.0,256.0
5,3,0.4057724102310557,0.30442613212046804,0.1796568651497363,0.028748812639947843,0.872490842714905,0.21726211339373283,0.32820381389447895,0.902592985696263,0.07251849661891657,0.02999285334566746,0.8448147766083886,0.8448147766083886,0.0,2.3193529150795276,1.0,3.0,0.93977056728469,0.06330046018999484,0.5558933207392692,2.474158286915885,1.8097002895010843,310.0211111111111,10.0,0.39999999999999625,900.0,900.0,0.36428616572326705,0.20847047401669735,0.17094868179022643,0.029206188570242368,0.8426154677290467,0.21216554805869223,0.33223175463111465,0.9185463944450019,0.06668496979788567,0.0175965920737585,0.8378890529873684,0.8378890529873684,0.0,2.605200486732476,1.0,3.0,256.0
6,4,0.40091915757912727,0.3373063891629378,0.1744085410796106,0.02751337460035251,0.8931838131530417,0.21694709206724333,0.3383369965230425,0.9072815972897742,0.06661039398465719,0.02447886286405029,0.8082041450035368,0.8082041450035368,0.0,2.9533854016793644,1.0,4.0,0.9240937020381291,0.051954065629591546,0.5397240238719516,2.461448642677731,1.7762383220593134,310.72555555555556,10.0,0.39999999999999625,900.0,900.0,0.45144585020898376,0.21586414189368952,0.16767627753142733,0.02886093219240138,0.8477594742726069,0.207094288773078,0.30401908996282145,0.9165159723488614,0.05938008747762069,0.02018729236748129,1.1136859417864087,1.1136859417864087,0.0,4.058363041605817,1.0,4.0,256.0
7,4,0.4116272592772212,0.3131835314631462,0.17354170222663218,0.025225187947249247,0.8285444112763637,0.2112265191061629,0.312474676836282,0.8877076996862888,0.06263914498215956,0.027159966132846686,0.8681179611612151,0.8681179611612151,0.0,2.9817086423668275,1.0,4.0,0.9181436381737391,0.04643588311038911,0.5179252626498541,2.4659914039240944,1.76061222506894,309.6744444444444,10.0,0.39999999999999625,900.0,900.0,0.4748311862058472,0.22317299849237315,0.1655814990226645,0.026481545386559446,0.8575927708443487,0.21317351238394622,0.30166700640984345,0.9172056600800715,0.06033568756538443,0.020930653587384995,1.181334989236765,1.181334989236765,0.0,4.055632787646031,1.0,4.0,256.0
8,5,0.47468740341729626,0.33553852015733765,0.1710190954233207,0.02521682497569256,0.8710361328025661,0.21414083879689363,0.3426583427919279,0.8966783092154395,0.06044381278649796,0.023102163061943785,1.0621762541894524,1.0621762541894524,0.0,4.644133433859437,1.0,5.0,0.9088668680853313,0.04290899969844354,0.4948283593853315,2.456539074314965,1.738725467522939,311.43444444444447,10.0,0.39999999999999625,900.0,900.0,0.5271097129269038,0.2526272055343726,0.15995857905363675,0.026708746532676738,0.890606895217206,0.20678149630548426,0.39705104902386645,0.931606692913919,0.053909260731597894,0.020348155469805833,1.3238184028536748,1.3238184028536748,0.0,5.600868106863954,1.0,5.0,256.0
9,5,0.42347129025061947,0.35668235593371916,0.1687986181543934,0.024910852215563245,0.8748588272200689,0.21505357069439357,0.3410803572601745,0.9005477983554196,0.05601235368185573,0.02282422024206561,0.8705161812775688,0.8705161812775688,0.0,4.115084646158241,1.0,5.0,0.8989324015378952,0.038831865747148794,0.5111215083797773,2.4396957710054186,1.7156830093595716,311.3088888888889,10.0,0.39999999999999625,900.0,900.0,0.49323768845642874,0.2643402527901345,0.16557791786617596,0.029820423427008778,0.8816088746651081,0.2089995145855938,0.3871261735446749,0.9295626270119108,0.053551624684769185,0.01837578886321013,1.2054398221939506,1.2054398221939506,0.0,5.606627606174976,1.0,5.0,256.0
10,5,0.443435570052929,0.33660288407405237,0.16827268816033986,0.02378825876385805,0.8598604878849446,0.20573887228137924,0.3412108324203228,0.8974957785076574,0.05495473114732234,0.024457314836273187,0.9544102456795667,0.9544102456795667,0.0,4.333835559873801,1.0,5.0,0.8864022016194132,0.036932919829980364,0.4830535740322537,2.413879771762424,1.6905562014049953,313.4188888888889,10.0,0.39999999999999625,900.0,900.0,0.43401879284647304,0.2687521092593673,0.16108381145168105,0.022714412491040992,0.8800456779426895,0.2129550598154311,0.34395547951571637,0.9277532367967065,0.05181803315354043,0.018633563218938328,1.0031729545701504,1.0031729545701504,0.0,5.635828808896177,1.0,5.0,256.0
