epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.2514146386169725,0.138325080499053,0.1041699535979165,0.025263151553614686,0.9419429077704747,0.22267349026269384,0.4478734307984511,0.9228780966997147,0.0558497446536785,0.03493171683926246,0.7413499358522238,0.7413499358522238,0.0,1.0601109008329999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.20107521061436273,0.11156117013888434,0.12816362996818498,0.029948015966510866,0.7145752706564963,0.20873955893330276,0.37939589854795486,0.9236413526814431,0.08853553971857764,0.026046005233183678,0.5929841851336732,0.5929841851336732,0.0,1.2007825680018414,1.0,1.0,256.0
2,2,0.26314477532688113,0.24120887108974987,0.10976893013136255,0.019320896975696087,0.8993980585452583,0.22248780315121014,0.38191939322484864,0.9223031113876237,0.0769813279228078,0.028694911716235966,0.6996255822209319,0.6996255822209319,0.0,1.6363928231831948,1.0,2.0,0.586900642712911,0.25833463087057074,0.5810862807763948,2.707317531108856,2.2898927458789613,312.1333333333333,10.0,0.22499999999999643,900.0,900.0,0.23271988378837705,0.3116724739666097,0.12956240255152807,0.0252105239105731,0.7041540056525264,0.21080479840748012,0.36133503657765687,0.9221887288149446,0.10612181284523103,0.02991410818983553,0.5001252842222907,0.5001252842222907,0.0,2.4413405966034816,1.0,2.0,256.0
3,2,0.2714572865784996,0.2594675112515688,0.1167306948453188,0.01684689772160103,0.8478565221817957,0.22538533375081088,0.34903781577116916,0.9119950424962574,0.08394254440545208,0.03323841704519509,0.7105954290270597,0.7105954290270597,0.0,1.79753962487811,1.0,2.0,0.9812385831276575,0.09361752400588658,0.4689684809082084,2.5297731194231243,1.9312960395548078,311.0722222222222,10.0,0.44999999999999285,900.0,900.0,0.23619505556416698,0.27117126595112495,0.12310306492145173,0.021116791976965033,0.7278371881257044,0.23933569391374476,0.2817246544873342,0.9137248172191903,0.11979613777657505,0.02314464697806784,0.5781012382723247,0.5781012382723247,0.0,2.463209864478472,1.0,2.0,256.0
4,3,0.29328424408066023,0.28971584176575677,0.12458010874412677,0.015511188828903765,0.8384402589941451,0.22124866623500433,0.3171811637944646,0.916112145030939,0.08406754114699581,0.025874441888428624,0.7964022310686081,0.7964022310686081,0.0,2.6116211063607144,1.0,3.0,0.9319583198097017,0.06620242160641485,0.3995482920275794,2.474201070070267,1.8368608615133497,309.1277777777778,10.0,0.44999999999999285,900.0,900.0,0.24760456428824285,0.26991645597930347,0.12845196150980584,0.019621702003253933,0.7136072443681769,0.2286482794249119,0.27309816251120844,0.9070985052579392,0.10305622696857125,0.02460234780729327,0.6293312529426955,0.6293312529426955,0.0,4.28519939053119,1.0,3.0,256.0
5,3,0.25336896320598024,0.26878281124212117,0.12490680144616852,0.0145909486980074,0.8227210505748241,0.216320360700807,0.326695506799,0.9145199924045135,0.08301794385882434,0.024127703369223725,0.6453791452031036,0.6453791452031036,0.0,2.1520317166638367,1.0,3.0,0.9134384657608138,0.056946429800656104,0.358810396624936,2.4555735545688204,1.8040840296612846,310.2366666666667,10.0,0.44999999999999285,900.0,900.0,0.23113527575818202,0.2908823062898592,0.12378380883213441,0.0177545257259529,0.6751493342647636,0.22805672922792536,0.26610431075096147,0.9074874125265826,0.10442432929024413,0.024188725046463123,0.5361266221329175,0.5361266221329175,0.0,4.278098001689899,1.0,3.0,256.0
6,4,0.3279554607036213,0.35575382843199704,0.1326427787169814,0.014108348090149877,0.8005956677988999,0.2126610394687547,0.3315662203563584,0.9160899651547273,0.07707124438757698,0.02628112090454806,0.8821479104614678,0.8821479104614678,0.0,3.6231846137901114,1.0,4.0,0.8996441348062622,0.05080828319096731,0.3187667383833064,2.4431347207890615,1.7813838713036643,308.9633333333333,10.0,0.44999999999999285,900.0,900.0,0.3331612155743642,0.30156836099922657,0.13481074414448813,0.018621392576278595,0.7482550428248942,0.2518428365146974,0.2698537750984542,0.9053177312016487,0.08742226625690819,0.027031240232842535,0.9717764887759586,0.9717764887759586,0.0,6.65458489285561,1.0,4.0,256.0
7,4,0.2557519070576462,0.29218997800515756,0.1379300446456505,0.013058559724595398,0.7714563733753231,0.20601977347790834,0.32096081293705436,0.9177319169375632,0.07464088276132114,0.02278906296483604,0.6389420256649474,0.6389420256649474,0.0,2.779363156836559,1.0,4.0,0.8944890092478858,0.048176344666216106,0.29236666190955374,2.4476403235064614,1.7702245471212599,309.22555555555556,10.0,0.44999999999999285,900.0,900.0,0.3175085698021576,0.3338345207303064,0.12991207396407844,0.016030942135330406,0.6964797797118081,0.21752918786660302,0.2726447295281105,0.9053758855443448,0.09552903621442965,0.024506030851325633,0.8767298590630068,0.8767298590630068,0.0,6.603952310224539,1.0,4.0,256.0
8,5,0.29402617118921515,0.3126396928032241,0.14205940600732958,0.012090178267409423,0.7490677217410671,0.19591860454273402,0.32261760469277706,0.9142497377528082,0.07540383598084252,0.024516548044615772,0.787668767077614,0.787668767077614,0.0,4.054770239618247,1.0,5.0,0.8971349904603428,0.04631486413482991,0.28301181972026823,2.4609454127815034,1.7790151216586432,308.67333333333335,10.0,0.44999999999999285,900.0,900.0,0.3016517807438504,0.40990820875158557,0.14242815279867507,0.017304078977031165,0.6807381036924195,0.2110430811939296,0.2759965005447158,0.9119731455110013,0.10781600924674414,0.02974773582698165,0.7053995584161893,0.7053995584161893,0.0,9.207215082569858,1.0,5.0,256.0
9,5,0.2712104120097225,0.3217311402228147,0.14640984948144997,0.011990985495866174,0.7523998152150049,0.19078653457919917,0.32564068961805764,0.9200456218454584,0.07463701183017755,0.022585661969618438,0.6782535339218979,0.6782535339218979,0.0,3.659711344243845,1.0,5.0,0.8922496195303069,0.04471593222166929,0.27729245859715673,2.456312872171402,1.7656780767440796,310.1788888888889,10.0,0.44999999999999285,900.0,900.0,0.32018425933783906,0.4280407481710429,0.13968266078154562,0.016092722665780452,0.7377973983820995,0.2271039338025731,0.28340113143203793,0.9066133207641544,0.08939456089283343,0.023995596584029492,0.7784802144808057,0.7784802144808057,0.0,9.185562103952321,1.0,5.0,256.0
10,5,0.3087608006828361,0.3183189261489447,0.14826422436369802,0.0109671795875248,0.7344686214791396,0.19347096871931324,0.32714349238740054,0.9169753758509948,0.07197268616325318,0.022324668577655513,0.855703629177417,0.855703629177417,0.0,4.130121662689496,1.0,5.0,0.8911781694160568,0.044023684641967216,0.2701788642340236,2.4551863577630786,1.7665616901053323,309.43111111111114,10.0,0.44999999999999285,900.0,900.0,0.31759607289568503,0.32846611761488037,0.13718006460112528,0.013433245933265416,0.7580933107354214,0.24349728851229893,0.27900739158503723,0.9087140194606027,0.09715800801059232,0.024475873327119747,0.8761570319413854,0.8761570319413854,0.0,9.15553481505553,1.0,5.0,256.0
