seed	mean_abs_diff_to_table2	max_abs_diff_to_table2	b15_C	b20_C	b21_C	b22_C	i2c_aig	max_aig	b17_C	mem_ctrl_aig
0	3.630	8.321	83.319	90.921	89.880	92.157	94.431	59.835	85.522	65.951
1	2.677	7.585	87.579	90.812	89.765	92.093	91.802	60.235	86.512	65.807
42	3.033	8.696	86.485	90.704	89.722	92.177	94.806	60.041	86.556	66.775
2026	3.845	8.846	81.764	90.757	89.682	92.130	94.900	59.796	85.623	65.823
3407	2.683	7.314	86.980	90.693	89.695	92.313	91.145	59.964	86.590	65.458
