name	seed	patterns_arg	pattern_counts_reported	tc_percent	atalanta_cpu_total_sec
b15_C	0	300000	713	83.319	6.733
b20_C	0	300000	1539	90.921	5.933
b21_C	0	300000	1594	89.880	5.900
b22_C	0	300000	2157	92.157	9.550
i2c_aig	0	300000	283	94.431	0.350
max_aig	0	300000	142	59.835	0.283
b17_C	0	300000	1936	85.522	52.233
mem_ctrl_aig	0	300000	3113	65.951	181.533
b15_C	1	300000	701	87.579	8.300
b20_C	1	300000	1523	90.812	5.117
b21_C	1	300000	1593	89.765	6.750
b22_C	1	300000	2129	92.093	8.867
i2c_aig	1	300000	247	91.802	0.217
max_aig	1	300000	153	60.235	0.417
b17_C	1	300000	2106	86.512	69.383
mem_ctrl_aig	1	300000	3144	65.807	202.783
b15_C	42	300000	724	86.485	6.450
b20_C	42	300000	1503	90.704	4.400
b21_C	42	300000	1613	89.722	6.067
b22_C	42	300000	2186	92.177	11.033
i2c_aig	42	300000	271	94.806	0.233
max_aig	42	300000	151	60.041	0.317
b17_C	42	300000	2075	86.556	62.300
mem_ctrl_aig	42	300000	3244	66.775	228.033
b15_C	2026	300000	668	81.764	6.800
b20_C	2026	300000	1560	90.757	5.950
b21_C	2026	300000	1600	89.682	6.283
b22_C	2026	300000	2183	92.130	7.967
i2c_aig	2026	300000	288	94.900	0.367
max_aig	2026	300000	144	59.796	0.283
b17_C	2026	300000	1930	85.623	61.533
mem_ctrl_aig	2026	300000	3050	65.823	171.833
b15_C	3407	300000	704	86.980	6.867
b20_C	3407	300000	1526	90.693	5.750
b21_C	3407	300000	1586	89.695	5.550
b22_C	3407	300000	2245	92.313	10.767
i2c_aig	3407	300000	223	91.145	0.133
max_aig	3407	300000	156	59.964	0.233
b17_C	3407	300000	2104	86.590	82.617
mem_ctrl_aig	3407	300000	2986	65.458	188.283
