timestamp	variant_id	status	seed	best_epoch	predictive_score	hard_macro_f1_tuned	hard_recall_at_top_10pct	hard_reduction_score	hard_count_top10_overlap	scoap_acc_at_005	hard_sa0_pr_auc	hard_sa1_pr_auc	lambda_hard	lambda_hard_count	lambda_hard_reduction	lambda_hard_rank	encoder_type	summary_mode	hard_loss	hard_head_type	hard_pos_weight_max	hard_negative_sample_ratio	hard_negative_mining	train_sample_strategy	feature_mode	edge_weight_mode	edge_keep_ratio	lambda_fc	run_dir	config_path	checkpoint	metrics_csv	metrics_png	elapsed_sec	error
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.03	gate_dir	cone	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.05	gate_dir	cone	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.0	gate_dir	cone	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.03	gate_dir	global	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.05	gate_dir	global	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.0	gate_dir	global	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.03	mean	cone	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.05	mean	cone	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.0	mean	cone	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
2026-06-26T00:24:53	seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	dry_run	2026										0.5	0.1	0.5	0.03	mean	global	asl	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/plan-260626-0023/dry_run/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/plan-260626-0023/dry_run/configs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json					
