dataset	pair	n	x_mean	y_mean	pearson	spearman
main_labels_100k	post_undetected_fault_count vs final_test_coverage	100131	37.94879707583066	0.9255037123368387	-0.8762331930965048	-0.8539072600644384
main_labels_100k	inferred_baseline_hard_count vs baseline_test_coverage	100131	39.73208483946032	0.9189960092279114	-0.8631407926286206	-0.8351362440641308
main_labels_100k	inferred_delta_hard_count vs delta_test_coverage	100131	1.7832877636296494	0.006507703108927283	0.8051896523803387	0.9805422049614749
oracle_balanced_train_wide	post_hard_count vs final_test_coverage	4320	35.65787037037037	0.916770423611111	-0.8529802086649332	-0.9172367705866573
oracle_balanced_train_wide	inferred_baseline_hard_count vs baseline_test_coverage	4320	35.38519597622168	0.9168509583333334	-0.8513389505145984	-0.9376259283123246
oracle_balanced_train_wide	inferred_delta_hard_count vs delta_test_coverage	4320	-0.2726743941486909	-8.053472222224375e-05	0.7002345736357501	0.9803368281206551
oracle_balanced_val_wide	post_hard_count vs final_test_coverage	666	35.91591591591592	0.884405810810811	-0.9090586254563827	-0.794907321486553
oracle_balanced_val_wide	inferred_baseline_hard_count vs baseline_test_coverage	666	33.174815394801776	0.8931872972972973	-0.8687394142578508	-0.7521839868603497
oracle_balanced_val_wide	inferred_delta_hard_count vs delta_test_coverage	666	-2.741100521114139	-0.008781486486486485	0.9775184347460105	0.9674014418512514
oracle_transfer_smoke	post_hard_count vs final_test_coverage	288	1959.1597222222222	0.8856824305555555	-0.978113824823156	-0.9994922932328999
oracle_transfer_smoke	inferred_baseline_hard_count vs baseline_test_coverage	288	2198.8055009204422	0.88332	-0.999999997605896	-0.8140330109070111
oracle_transfer_smoke	inferred_delta_hard_count vs delta_test_coverage	288	239.64577869822037	0.0023624305555555616	0.9296064001054885	0.9925457111952901
oracle_expanded_val	post_hard_count vs final_test_coverage	864	31.78587962962963	0.896431261574074	-0.9189779382121851	-0.8596256582058452
oracle_expanded_val	inferred_baseline_hard_count vs baseline_test_coverage	864	30.199222079293644	0.9013162499999999	-0.8911576024593705	-0.8341456716600757
oracle_expanded_val	inferred_delta_hard_count vs delta_test_coverage	864	-1.5866575503359845	-0.0048849884259259384	0.9787203070825369	0.9764720318367287
