dataset	x	y	n	x_mean	y_mean	pearson	spearman	group
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	16.61111111111111	0.004207222222222173	-0.9974762944735882	-0.8053508686851798	subckt_0107
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	21.666666666666668	0.003279999999999995	-0.9999858337426978	-0.9999999999999998	subckt_0116
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	108	6.925925925925926	-0.019471759259259255	-0.9999981472312659	-0.9984620445693787	subckt_0117
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	6.222222222222222	-0.0003466666666666325	-0.9998708949983652	-0.6123724356957945	subckt_0118
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	54	9.574074074074074	-0.004445925925925908	-0.9999958062396064	-0.993359250909492	subckt_0120
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	16.22222222222222	-0.00029055555555554434	-0.9982951217271632	-0.7773289411089185	subckt_0126
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	53.138888888888886	0.005011111111111025	-0.9994668482662152	-1.0	subckt_0128
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	13.88888888888889	0.0006238888888888083	-0.9966197402799196	-0.7795998698679777	subckt_0133
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	23.36111111111111	0.0034827777777777396	-0.9997231721499966	-0.9190872360072698	subckt_0136
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	4.0	0.0001883333333333056	-0.9990219899613307	-0.6296296296296295	subckt_0141
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	36	1.0277777777777777	-5.8888888888802404e-05	-0.9999423167290826	-0.3464101615137754	subckt_0145
oracle_balanced_train_wide	oracle_hard_fault_count	oracle_delta_tc	18	9.0	0.0004272222222221333	-0.9942876638239706	-0.613035679078426	subckt_0146
