dataset	pair	feature	n	x_mean	y_mean	pearson	spearman
main_labels_100k	post_hard vs final_tc	raw	100131	37.94879707583066	0.9255037123368387	-0.8762331930965048	-0.8539072600644384
main_labels_100k	post_hard vs final_tc	per_node	100131	0.0698896976780261	0.9255037123368387	-0.9744510640148715	-0.9844963732895925
main_labels_100k	post_hard vs final_tc	per_total_fault	100131	0.0744963281924685	0.9255037123368387	-0.999999999679757	-0.9999999835977746
main_labels_100k	baseline_hard vs baseline_tc	raw	100131	39.73208483946032	0.9189960092279114	-0.8631407926286206	-0.8351362440641308
main_labels_100k	baseline_hard vs baseline_tc	per_node	100131	0.07588521387237214	0.9189960092279114	-0.9748205544759867	-0.9805016264880118
main_labels_100k	baseline_hard vs baseline_tc	per_total_fault	100131	0.08100399077208857	0.9189960092279114	-1.0	-0.9999887682852249
main_labels_100k	delta_hard vs delta_tc	raw	100131	1.7832877636296494	0.006507703108927283	0.8051896523803387	0.9805422049614749
main_labels_100k	delta_hard vs delta_tc	per_node	100131	0.005995516194346035	0.006507703108927283	0.98261496950494	0.9983422034721139
main_labels_100k	delta_hard vs delta_tc	per_total_fault	100131	0.006507662579620078	0.006507703108927283	0.9999999955577441	0.9999917449521332
oracle_balanced_train_wide	post_hard vs final_tc	raw	4320	35.65787037037037	0.916770423611111	-0.8529802086649332	-0.9172367705866573
oracle_balanced_train_wide	post_hard vs final_tc	per_node	4320	0.07524135672030564	0.916770423611111	-0.9827874526732887	-0.9914678977794472
oracle_balanced_train_wide	post_hard vs final_tc	per_total_fault	4320	0.08322957638888889	0.916770423611111	-1.0	-0.9999999449244961
oracle_balanced_train_wide	baseline_hard vs baseline_tc	raw	4320	35.38519597622168	0.9168509583333334	-0.8513389505145984	-0.9376259283123246
oracle_balanced_train_wide	baseline_hard vs baseline_tc	per_node	4320	0.07481645866320782	0.9168509583333334	-0.9822717034283278	-0.9903111850162993
oracle_balanced_train_wide	baseline_hard vs baseline_tc	per_total_fault	4320	0.08314904166666665	0.9168509583333334	-1.0	-0.999990947834531
oracle_balanced_train_wide	delta_hard vs delta_tc	raw	4320	-0.2726743941486909	-8.053472222224375e-05	0.7002345736357501	0.9803368281206551
oracle_balanced_train_wide	delta_hard vs delta_tc	per_node	4320	-0.0004248980570978253	-8.053472222224375e-05	0.9764469129113491	0.9979283915206555
oracle_balanced_train_wide	delta_hard vs delta_tc	per_total_fault	4320	-8.053472222224436e-05	-8.053472222224375e-05	1.0	0.9999510205423197
