checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0012	prefix_0208	208	9	__buf_split_55::observe	observe	349::observe	observe	0	1	0	0.08299999999999974	0.01900000000000235	0.10200000000000209	0.08299999999999974	0	0.3322612729717678	0.6206896551724138	0.2
horizon_joint_late	typed_marginal_pred	subckt_0012	prefix_0240	240	9	135::observe	observe	__aig_and_288::observe	observe	0	1	0	0.007999999999996898	0.007999999999996898	0.015999999999993797	0.007999999999996898	0	0.6592443967173135	0.8076923076923077	0.5
horizon_joint_late	typed_return_pred	subckt_0012	prefix_0240	240	9	__aig_and_289::observe	observe	__aig_and_288::observe	observe	0	1	0	0.0	0.015999999999993797	0.015999999999993797	0.0	0	0.6859705209085559	0.8461538461538461	0.6666666666666666
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0012	prefix_0240	240	9	135::observe	observe	__aig_and_288::observe	observe	0	1	0	0.007999999999996898	0.007999999999996898	0.015999999999993797	0.007999999999996898	0	0.4721615273786164	0.6923076923076923	0.0
horizon_joint_late	typed_marginal_pred	subckt_0012	prefix_0255	255	9	__aig_not_2::observe	observe	__aig_and_288::observe	observe	0	1	0	0.0	0.015999999999993797	0.015999999999993797	0.0	0	0.6151857064768763	0.7586206896551724	0.4
horizon_joint_late	typed_return_pred	subckt_0012	prefix_0255	255	9	__aig_not_2::observe	observe	__aig_and_288::observe	observe	0	1	0	0.0	0.015999999999993797	0.015999999999993797	0.0	0	0.6585086435527127	0.7931034482758621	0.6
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0012	prefix_0255	255	9	__aig_not_2::observe	observe	__aig_and_288::observe	observe	0	1	0	0.0	0.015999999999993797	0.015999999999993797	0.0	0	0.5285398323252036	0.6896551724137931	0.2
horizon_joint_late	typed_marginal_pred	subckt_0230	prefix_0144	144	9	__aig_and_25853::observe	observe	__aig_and_23026::observe	observe	0	1	0	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.5077963596336063	0.6923076923076923	0.0
horizon_joint_late	typed_return_pred	subckt_0230	prefix_0144	144	9	__aig_and_25853::observe	observe	__aig_and_23026::observe	observe	0	1	0	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.5077963596336063	0.6923076923076923	0.0
horizon_joint_late	typed_sa_reduction_total_pred	subckt_0230	prefix_0144	144	9	__aig_and_23026::observe	observe	__aig_and_23026::observe	observe	1	1	1	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.8819620983110005	0.9615384615384616	1.0
horizon_joint_late	typed_marginal_pred	subckt_0230	prefix_0176	176	9	__aig_and_23176::observe	observe	__aig_and_23122::observe	observe	0	1	0	0.0	0.000999999999995449	0.000999999999995449	0.0	0	0.6708203932499369	0.8260869565217391	0.5
