epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_same_type_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_same_type_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.2154116709716618,0.3506238711507697,0.1269008054545051,0.0095112385767463,0.09844750773749854,0.0,0.2822135208468688,1.0,0.045796801189058704,0.009748359293888299,1.0536165297933167,1.0536165297933167,0.0,1.94280274845407,0.9243564440770761,1.527019178788913,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.13092235028743743,0.3474199652671814,0.11859972327947617,0.00872821407392621,0.07766623198986053,0.0,0.2663757860660553,1.0,0.0455989383161068,0.009788421014673077,0.8545816111145541,0.8545816111145541,0.0,1.5449217940316884,0.5057568363845348,1.4885488986968993,0.0,1.0,1.0,5.0
2,2,0.24843694073589226,0.4016456015800175,0.1276773384919292,0.009465983309047786,0.10290782398691303,0.0,0.28927620657180486,1.0,0.04502777936623285,0.021662158335809516,1.1919633547447455,1.1919633547447455,0.0,3.6461420664900768,1.010836389252769,2.313483103816811,0.0,1.0,2.0,0.23635064379165047,0.368951584163465,0.4859677992368999,0.5177983233803197,2.1544219694639506,0.0,0.0,0.31365545878284856,0.0,296.1578947368421,134.6315789473684,8.0,0.3333333333333332,19.0,19.0,0.19030035631731151,0.37850451916456224,0.11918408274650574,0.008565733907744288,0.0792420681566,0.0,0.26978314071893694,1.0,0.04730501789599657,0.08748543295514537,1.0897038390332454,1.0897038390332454,0.0,3.4962354879826307,0.7563387512229383,1.9516303904354573,0.0,1.0,2.0,5.0
3,4,0.3486163769714614,0.4493727003665347,0.12874302219011283,0.009217396978975126,0.10496520001049105,0.0,0.29434371131815407,1.0,0.04459838140265722,0.032981084115051906,1.227475122606273,1.227475122606273,0.0,7.131143545852099,1.2119845581741844,5.3109730637316765,0.0,1.0,4.0,0.48139071464538574,0.39819575140350744,0.4873436705062264,0.47001778138311284,2.237952947616577,0.0,0.0,0.3940939056245904,0.0,276.7894736842105,101.42105263157895,8.0,0.6666666666666664,19.0,19.0,0.20999354777159168,0.4351301990449429,0.11838503070175647,0.008455687551759183,0.082556445710361,0.0,0.27508070394396783,1.0,0.049622472887858746,0.0859756806086807,1.1366784561540044,1.1366784561540044,0.0,5.759950651600957,0.6597588521137367,3.902088899165392,0.0,1.0,4.0,5.0
4,8,0.46843435075654843,0.5443435840700802,0.1302583860233426,0.009330483922416246,0.11139841578704746,0.0,0.29825151231335967,1.0,0.042517772912488955,0.03805824241117618,1.49043904587942,1.49043904587942,0.0,12.4419669015409,1.2851794534807723,10.56992313588219,0.0,1.0,8.0,0.7535137675310436,0.4167886894000204,0.5183724243389932,0.44430824800541524,2.2123150198083175,0.0,0.0,0.3790488572497117,0.0,287.4736842105263,132.89473684210526,8.0,1.0,19.0,19.0,0.2412603496981319,0.4944141130894423,0.11802917420864105,0.008741530973929912,0.08815223602578044,0.0,0.28446526303887365,1.0,0.05005302161443979,0.04697028495957056,1.055660815020292,1.055660815020292,0.0,8.628628044389188,0.5508636792132166,6.554380574130664,0.0,1.0,8.0,5.0
5,16,0.6453982953881127,0.5996133817948008,0.1343301933160738,0.00914838611558815,0.12237441766467926,0.0,0.3054639465714756,1.0,0.04194071277436849,0.03268319160928974,1.495234420750134,1.495234420750134,0.0,18.66539038850329,1.482839946226055,17.441515489381416,0.0,1.0,16.0,0.760478885550248,0.39080096232263667,0.5258464185815108,0.413954969299467,2.3398120905223645,0.0,0.0,0.3756783604621887,0.0,265.10526315789474,105.73684210526316,8.0,1.0,19.0,19.0,0.28978682733213645,0.549301347695291,0.12131532542407512,0.009403791395016015,0.09150608922354878,0.0,0.28950374741107227,1.0,0.05051180775044486,0.03322660952999286,0.9647691804609622,0.9647691804609622,0.0,11.59345822124742,0.4855990295194033,9.633351187757217,0.0,1.0,16.0,5.0
6,32,1.0089226890860645,0.6732232694906232,0.14119620387148307,0.00912223511381614,0.14580184501277185,0.0,0.31623613895652325,1.0,0.04348316439121079,0.02321411235467888,2.0035480122132716,2.0035480122132716,0.0,31.71023634580262,1.9079334184710248,31.36680055467547,0.0,1.0,32.0,0.7301348855620936,0.38788706534787226,0.5003317390617571,0.5027034400325072,2.189247488975525,0.0,0.0,0.3525636219664624,0.0,265.8421052631579,98.05263157894737,8.0,1.0,19.0,19.0,0.877407534235681,0.6207568073645234,0.12729382305406034,0.010150497063295915,0.09545950193423777,0.0,0.29199797483161094,1.0,0.0549340924306307,0.02108461228340275,1.5783954703424343,1.5783954703424343,0.0,31.039606553604973,1.3915601897086276,29.954775380808723,0.0,1.0,32.0,5.0
7,32,0.993596253213534,0.6907041729918044,0.14009271165061937,0.009344568868216715,0.14746480510496585,0.0,0.31540780531634627,1.0,0.04198081350554467,0.023247751828968058,1.813619891977731,1.813619891977731,0.0,31.713593781271296,1.834358795567019,31.336225112732023,0.0,1.0,32.0,0.7533442283931532,0.4204775000873365,0.5204755020769019,0.3597672558144519,2.2416007393284847,0.0,0.0,0.3740964657381961,0.0,265.5263157894737,109.15789473684211,8.0,1.0,19.0,19.0,0.8773921473824885,0.6207568104378879,0.12729382338002324,0.01015049708657898,0.09545950170140713,0.0,0.29199797455221416,1.0,0.054934092640178275,0.02108461231707679,1.5783954706289933,1.5783954706289933,0.0,31.039606555840237,1.391611644436034,29.953491511394986,0.0,1.0,32.0,5.0
8,32,0.9992093879103968,0.6805294773443357,0.14131970011237027,0.009265491624031902,0.15014096771636487,0.0,0.31585405271892486,1.0,0.04218933363077476,0.023220704796980317,1.9553237972547652,1.9553237972547652,0.0,31.717081778439617,1.863542400106974,31.32504579794718,0.0,1.0,32.0,0.7640543250661147,0.41109187822592885,0.5268401581990091,0.5332563354780799,2.20718809178001,0.0,0.0,0.35947147168611226,0.0,285.57894736842104,126.78947368421052,8.0,1.0,19.0,19.0,0.8772341608113493,0.6207568031735718,0.12729382310062648,0.010150496999267488,0.0954595010029152,0.0,0.29199797511100767,1.0,0.05493409250047989,0.02108461234710717,1.5783954826224318,1.5783954826224318,0.0,31.039606562134942,1.3910222203558362,29.951486114929274,0.0,1.0,32.0,5.0
9,32,1.0068083198204572,0.6734751684002971,0.14109416592768148,0.009100116906522186,0.14626814946409708,0.0,0.3137923843276344,1.0,0.043246042835036,0.023560560600393604,2.0025634676786295,2.0025634676786295,0.0,31.710722931356173,1.8987592106899522,31.352824324267825,0.0,1.0,32.0,0.7100105599353188,0.3749439520271201,0.4882194258664784,0.3521253705808991,2.2432026612131217,0.0,0.0,0.3407189446060281,0.0,290.0,111.3157894736842,8.0,1.0,19.0,19.0,0.877333454163454,0.6207568019628524,0.1272938231471926,0.010150497016729787,0.09545950207393616,0.0,0.2919979761354625,1.0,0.05493409254704602,0.021084612351677377,1.57839546750879,1.57839546750879,0.0,31.03960655555911,1.3915807053858629,29.950865889079978,0.0,1.0,32.0,5.0
10,32,1.0046391574410096,0.6809851655148362,0.14114398402652065,0.009194700301649343,0.14943137275986373,0.0,0.315444201941749,1.0,0.0419114043164116,0.0233038224375548,1.9461724978636206,1.9461724978636206,0.0,31.712070734112952,1.888405865550745,31.347899777618892,0.0,1.0,32.0,0.7010058321450886,0.36691788780061824,0.4754328915947362,0.4609293647502598,2.243968555801793,0.0,0.0,0.33888940748415497,0.0,285.36842105263156,141.3684210526316,8.0,1.0,19.0,19.0,0.8771196510453592,0.620756808668375,0.12729382333345712,0.010150497080758214,0.09545950221363456,0.0,0.29199797501787544,1.0,0.05493409271002747,0.021084612330741947,1.5783954924431556,1.5783954924431556,0.0,31.03960655959054,1.3907081308471958,29.94890187545161,0.0,1.0,32.0,5.0
