epoch	train_loss	train_value_loss	train_rank_loss	train_groups	train_pairs
1	0.5873242211010721	0.4784519429764866	0.5873242211010721	72	5032
2	0.5872634541657236	0.4759986297382663	0.5872634541657236	72	5032
3	0.5868386858039432	0.4761782301809742	0.5868386858039432	72	5032
4	0.5861686675084962	0.47525482645465267	0.5861686675084962	72	5032
5	0.5859935672746764	0.47862480899008614	0.5859935672746764	72	5032
