checkpoint_name	benchmark_id	state_id	candidate_strategy	score_field	candidate_count	spearman	kendall_tau	pearson	topk	topk_real_gain_by_pred	topk_hit_rate	top1_real_delta_tc	top1_regret	sign_accuracy	negative_top1	calibration_slope	calibration_intercept
incumbent	b15_C	initial	cached_hard_cone	q_pred	48	0.809086658994206	0.7847309136420526	0.6959554136379046	5	0.030590000000000006	0.0	0.030590000000000006	0.0	0.0	0	0.5527234866874339	0.0847572370560224
incumbent	b15_C	initial	cached_hard_cone	score_pred	48	0.809086658994206	0.7847309136420526	0.6959554136379046	5	0.030590000000000006	0.0	0.030590000000000006	0.0	0.0	0	0.5527234866874339	0.0847572370560224
incumbent	b15_C	initial	cached_hard_cone	hybrid_pred	48	0.6921421223910638	0.630731102850062	0.6337013265146336	5	0.030590000000000006	0.0	0.030590000000000006	0.0	0.0	0	0.019209837308562638	0.13716339522059806
incumbent	b15_C	initial	cached_hard_cone	derived_hard_reduction_hybrid_pred	48	0.3592364716243225	0.3324968632371393	0.4744425040716743	5	0.030590000000000006	1.0	0.030590000000000006	0.0	1.0	0	0.005763351021131766	-0.019627867085206804
incumbent	b15_C	initial	cached_stride	q_pred	48	0.3249231674011249	0.3097142857142857	0.27655565419769873	5	0.01836600000000004	0.0	3.0000000000085514e-05	0.03263000000000005	0.0	0	0.08461654446809883	0.028363653171522635
incumbent	b15_C	initial	cached_stride	score_pred	48	0.3249231674011249	0.3097142857142857	0.27655565419769873	5	0.01836600000000004	0.0	3.0000000000085514e-05	0.03263000000000005	0.0	0	0.08461654446809883	0.028363653171522635
incumbent	b15_C	initial	cached_stride	hybrid_pred	48	0.3391069969541686	0.32342857142857145	0.24184620629244008	5	0.01836600000000004	0.0	0.030590000000000006	0.0020700000000001273	0.020833333333333332	0	0.001640663960326241	0.028383972820498777
incumbent	b15_C	initial	cached_stride	derived_hard_reduction_hybrid_pred	48	0.08907444959311439	0.08342857142857144	0.09447343861568251	5	0.02447800000000002	0.0	0.030590000000000006	0.0020700000000001273	0.9375	0	0.0004358676663499997	0.019001971876642366
incumbent	b15_C	initial	hard_fault_recall_union	q_pred	48	0.28275566535635077	0.20682730923694778	0.23837115322019575	5	0.03054400000000006	0.0	0.03064000000000011	0.03791	0.020833333333333332	0	0.07723325698980352	0.0347600870853201
incumbent	b15_C	initial	hard_fault_recall_union	score_pred	48	0.28275566535635077	0.20682730923694778	0.23837115322019575	5	0.03054400000000006	0.0	0.03064000000000011	0.03791	0.020833333333333332	0	0.07723325698980352	0.0347600870853201
incumbent	b15_C	initial	hard_fault_recall_union	hybrid_pred	48	0.3436781678137563	0.2710843373493976	0.22466097142268934	5	0.03057800000000006	0.0	0.03064000000000011	0.03791	0.041666666666666664	0	0.0015679783381777528	0.034590438987452884
incumbent	b15_C	initial	hard_fault_recall_union	derived_hard_reduction_hybrid_pred	48	0.3070471990337359	0.23493975903614459	0.14781406419531593	5	0.030630000000000067	0.0	0.030510000000000037	0.038040000000000074	1.0	0	0.0007587867076911278	0.021505727861722074
incumbent	i2c_aig	initial	cached_hard_cone	q_pred	48	0.5247112776238518	0.46722454672245467	0.2613723376984576	5	2.999999999997449e-05	0.0	2.999999999997449e-05	2.999999999997449e-05	0.3958333333333333	0	0.13195475016841043	-0.022984504441408243
incumbent	i2c_aig	initial	cached_hard_cone	score_pred	48	0.5247112776238518	0.46722454672245467	0.2613723376984576	5	2.999999999997449e-05	0.0	2.999999999997449e-05	2.999999999997449e-05	0.3958333333333333	0	0.13195475016841043	-0.022984504441408243
incumbent	i2c_aig	initial	cached_hard_cone	hybrid_pred	48	0.5756782801085999	0.5369595536959554	0.23550910727136834	5	4.199999999996429e-05	0.0	5.999999999994898e-05	0.0	0.3541666666666667	0	0.001071774779308034	-0.025562716678025586
incumbent	i2c_aig	initial	cached_hard_cone	derived_hard_reduction_hybrid_pred	48	-0.24182947116882775	-0.2301255230125523	-0.19218592327031947	5	-0.027862000000000053	0.0	-0.027800000000000047	0.027859999999999996	0.6666666666666666	1	-0.0013301912541292603	-0.03535949976790409
incumbent	i2c_aig	initial	cached_stride	q_pred	48	0.03319265575836846	0.044009779951100246	0.07848517333325818	5	-0.020040000000000058	0.0	-0.027800000000000047	0.03033000000000008	0.5208333333333334	1	0.0315786561607587	-0.01858758868116665
incumbent	i2c_aig	initial	cached_stride	score_pred	48	0.03319265575836846	0.044009779951100246	0.07848517333325818	5	-0.020040000000000058	0.0	-0.027800000000000047	0.03033000000000008	0.5208333333333334	1	0.0315786561607587	-0.01858758868116665
