checkpoint_name	score_field	groups	mean_spearman	mean_kendall_tau	mean_pearson	mean_top1_real_delta_tc	mean_top1_regret	negative_top1_rate	mean_sign_accuracy	mean_calibration_slope	mean_calibration_intercept	verdict_vs_baseline
B_oracle_0p05	derived_hard_reduction_hybrid_pred	6	0.08130353132216146	0.09110366210348632	0.1797894072592643	0.005678333333333341	0.017511666666666686	0.0	0.6597222222222222	0.003067876120318927	-0.01166830332307442	INCONCLUSIVE
B_oracle_0p05	hybrid_pred	6	0.02610176558135933	0.013573940373925017	0.03616911395204212	0.0013099999999999963	0.021880000000000028	0.5	0.34027777777777773	-0.0046298657403756665	-0.25780373572292326	INCONCLUSIVE
B_oracle_0p05	q_pred	6	0.03829712249254912	0.052041582104455815	-0.024026527052296947	0.005673333333333345	0.01751666666666668	0.0	0.6597222222222222	0.09502380040519955	-0.025832436328496303	INCONCLUSIVE
B_oracle_0p05	score_pred	6	0.03829712249254912	0.052041582104455815	-0.024026527052296947	0.005673333333333345	0.01751666666666668	0.0	0.6597222222222222	0.09502380040519955	-0.025832436328496303	INCONCLUSIVE
incumbent	derived_hard_reduction_hybrid_pred	6	0.04566805798919288	0.03358287659907819	0.04740215420193128	0.0012266666666666537	0.021963333333333373	0.5	0.8298611111111112	0.0007856535427627214	-0.009984952722851109	INCONCLUSIVE
incumbent	hybrid_pred	6	0.32688954401868126	0.29264399198801794	0.24872421466703118	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.004016534497734094	0.022486748864595913	INCONCLUSIVE
incumbent	q_pred	6	0.33418823394985814	0.3059118907769022	0.25818119356474134	0.0009483333333333473	0.022241666666666677	0.3333333333333333	0.21180555555555555	0.14624301334194226	0.014635346677657151	INCONCLUSIVE
incumbent	score_pred	6	0.33418823394985814	0.3059118907769022	0.25818119356474134	0.0009483333333333473	0.022241666666666677	0.3333333333333333	0.21180555555555555	0.14624301334194226	0.014635346677657151	INCONCLUSIVE
q_v2_pairwise_listwise	derived_hard_reduction_hybrid_pred	6	-0.23482805297556372	-0.21366780796288062	-0.25783485857031335	-0.004204999999999996	0.02739500000000002	0.3333333333333333	0.6597222222222222	-0.002648572368462758	0.016228350430773034	INCONCLUSIVE
q_v2_pairwise_listwise	hybrid_pred	6	-0.4101318009497976	-0.3732529435355696	-0.4431303146714936	-0.0039799999999999836	0.02717000000000001	0.5	0.34027777777777773	-0.0024889786435223515	-0.1647202210230779	INCONCLUSIVE
q_v2_pairwise_listwise	q_pred	6	0.17182846469936755	0.1660182123031344	0.14897602967694104	0.017750000000000005	0.005440000000000019	0.0	0.6597222222222222	0.00016433648011303535	0.00022750415952207427	INCONCLUSIVE
q_v2_pairwise_listwise	score_pred	6	0.17182846469936755	0.1660182123031344	0.14897602967694104	0.017750000000000005	0.005440000000000019	0.0	0.6597222222222222	0.00016433648011303535	0.00022750415952207427	INCONCLUSIVE
