epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_same_type_rank_loss,train_oracle_aux_rank_loss,train_oracle_aux_same_type_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_same_type_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_same_type_pairs,train_oracle_aux_pairs,train_oracle_aux_same_type_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.0,0.3409987193973441,0.1272430137584084,0.009487791746658715,0.09968807626711695,0.0,0.2911581091190639,1.0,0.046977815757456576,0.008510257813453026,0.595949577859995,0.595949577859995,0.0,1.5426525364614223,0.40367417395310967,1.094806448017296,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.37484906017780306,0.11964448839426041,0.009011986572295428,0.0834052637219429,0.0,0.24130204021930696,1.0,0.04346805922687054,0.014871910912916064,2.3715477423276754,2.3715477423276754,0.0,3.0551171569102733,2.2301904814390583,2.641918344795704,0.0,1.0,1.0,5.0
2,2,0.0,0.38030487887169184,0.12796096876263618,0.00941575982754952,0.10152849800100452,0.0,0.29458094035324295,1.0,0.04724776759547623,0.032783035729416474,0.7465632806967589,0.7465632806967589,0.0,3.177603166823055,0.6290744199938528,1.7423210994181175,0.0,1.0,2.0,1.1334964727100574,0.57171000775538,0.6547724761460957,0.0,0.0,0.0,0.0,2.216626531199405,1.528649744234587,0.0,0.0,0.0,521.8947368421053,256.94736842105266,0.0,0.0,12.0,0.5,19.0,19.0,0.0,0.4178638860583305,0.11919740214943886,0.008371415687724948,0.08674508854746818,0.0,0.24943100959062575,1.0,0.04087959975004196,0.039153187377087305,2.4216370537818874,2.4216370537818874,0.0,5.2561897052451965,2.2612733223511894,3.8380236297845842,0.0,1.0,2.0,5.0
3,4,0.0,0.4591598087235501,0.12803277020391665,0.009528281148768178,0.10513775129067271,0.0,0.29844206277477114,1.0,0.04699823983307732,0.03613278494953862,0.9937219585740662,0.9937219585740662,0.0,6.043278877483857,0.6779705498830528,4.139775304344336,0.0,1.0,4.0,2.1625409000798275,0.5353834283979315,0.6068966059308303,0.0,0.0,0.0,0.0,2.1769388788624813,1.445182154053136,0.0,0.0,0.0,545.5263157894736,201.1578947368421,0.0,0.0,12.0,1.0,19.0,19.0,0.0,0.46678668484091757,0.11897298656404018,0.007605068641714752,0.09040547627955675,0.0,0.25923367589712143,1.0,0.03984266687184572,0.07393072846971335,2.2241134085663363,2.2241134085663363,0.0,9.900898456573486,2.276909203456671,7.680969401402399,0.0,1.0,4.0,5.0
4,8,0.0,0.5216432500042414,0.12973938965679785,0.009761903205224754,0.10823199329407591,0.0,0.3012294983981471,1.0,0.04581041123080803,0.0312936245591043,1.2158716053697247,1.2158716053697247,0.0,10.916518225187199,0.9082195335628823,8.976713748140211,0.0,1.0,8.0,3.324901492972123,0.5751850997146807,0.657574568924151,0.0,0.0,0.0,0.0,2.2574663099489714,1.4666685618852313,0.0,0.0,0.0,508.5263157894737,187.94736842105263,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.5484633158892394,0.12016372680664063,0.0072131199995055795,0.10017337771132588,0.0,0.2727360513061285,1.0,0.040149234049022195,0.07244891875452594,1.8301995934911246,1.8301995934911246,0.0,14.429227694135625,1.8505277745027342,12.271222697700432,0.0,1.0,8.0,5.0
5,16,0.0,0.5770595661413512,0.1339676075026785,0.009500493182138981,0.11702178378197316,0.0,0.3050225315321433,1.0,0.044480293174274266,0.025812066431320682,1.2674778259137576,1.2674778259137576,0.0,17.65958709806678,1.1864953274747883,16.239689131393742,0.0,1.0,16.0,3.368915833924946,0.6167069548054745,0.7058365345001221,0.0,0.0,0.0,0.0,2.2463306690517224,1.4881692120903416,0.0,0.0,0.0,518.7894736842105,198.57894736842104,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.6439472323283553,0.1246157587505877,0.007884071493754164,0.11154161780141295,0.0,0.2872494801878929,1.0,0.041077765030786396,0.06096297714248067,1.9240427245360479,1.9240427245360479,0.0,15.419758754875511,1.549242494378359,14.01802805601037,0.0,1.0,16.0,5.0
6,32,0.0,0.6649544892685586,0.14002874415171773,0.009409285050136723,0.14008394980460012,0.0,0.31432103042147663,1.0,0.04409992151378997,0.019419892329275296,1.7551397717958128,1.7551397717958128,0.0,31.349305295744454,1.7086009113163534,30.72250547564411,0.0,1.0,32.0,3.3051164024754573,0.5687283512793089,0.6667455058348807,0.0,0.0,0.0,0.0,2.1876106575915686,1.4710086144899066,0.0,0.0,0.0,505.57894736842104,179.6315789473684,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7203301302157342,0.13127351668663323,0.009096818970283494,0.1291151959216222,0.0,0.3004143858328462,1.0,0.04029319763649255,0.03704948930549108,2.7857255748496756,2.7857255748496756,0.0,32.44787687314802,2.225653248393519,32.283928935246514,0.0,1.0,32.0,5.0
7,32,0.0,0.6703840481411469,0.13983162281740652,0.009614361947138892,0.14338575938324394,0.0,0.3164045438170433,1.0,0.04488136797935065,0.019306696659257522,1.700227192711422,1.700227192711422,0.0,31.35205072800707,1.6657767764797964,30.698711264801084,0.0,1.0,32.0,3.33371555177789,0.5132195886812712,0.6236149668693542,0.0,0.0,0.0,0.0,2.1450780379144767,1.5123057428159212,0.0,0.0,0.0,535.5263157894736,213.57894736842104,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7203301294706762,0.13127351668663323,0.00909681896737311,0.1291151957353577,0.0,0.3004143857397139,1.0,0.04029319763649255,0.037049489311493745,2.785725575932338,2.785725575932338,0.0,32.44787687314802,2.2256532451583553,32.282456203926266,0.0,1.0,32.0,5.0
8,32,0.0,0.670376985186809,0.13945193545843818,0.009566195564203602,0.14149597652967236,0.0,0.31475311995630983,1.0,0.04435882129779968,0.019464026695219985,1.704691680158739,1.704691680158739,0.0,31.35124782468883,1.642951950386552,30.68477628804957,0.0,1.0,32.0,3.3228152174698677,0.5431603114855917,0.6315243369654605,0.0,0.0,0.0,0.0,2.188848564499303,1.4900524741724919,0.0,0.0,0.0,497.7368421052632,213.1578947368421,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7203301304019988,0.13127351659350098,0.009096818961552344,0.1291151956655085,0.0,0.3004143857397139,1.0,0.040293197613209486,0.03704948930694627,2.785725576992445,2.785725576992445,0.0,32.44787687319558,2.2256532452429836,32.28093818132002,0.0,1.0,32.0,5.0
9,32,0.0,0.6616124791877442,0.14110763542550175,0.009395608501539468,0.14867545797269008,0.0,0.31580239156947326,1.0,0.045094290858526766,0.019413369029714887,1.6327224207837414,1.6327224207837414,0.0,31.35070540604379,1.6712187191115329,30.7131329765778,0.0,1.0,32.0,3.3551883948476693,0.590298343645899,0.7101798026185286,0.0,0.0,0.0,0.0,2.248493947480854,1.47947737417723,0.0,0.0,0.0,490.0,175.31578947368422,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7203301302157342,0.13127351668663323,0.00909681896737311,0.1291151957353577,0.0,0.3004143857397139,1.0,0.04029319763649255,0.037049489311493745,2.785725575932338,2.785725575932338,0.0,32.44787687314802,2.2256532451583553,32.27993973720076,0.0,1.0,32.0,5.0
10,32,0.0,0.6663884021782953,0.14026690594312785,0.009585481735197581,0.14119736561674232,0.0,0.31516516632645536,1.0,0.04421569255033606,0.019362471980040135,1.5819999996530274,1.5819999996530274,0.0,31.347306446367792,1.6340504306911283,30.66461929662776,0.0,1.0,32.0,3.3963170428025093,0.5737997262101424,0.6735307386046961,0.0,0.0,0.0,0.0,2.2124718239432886,1.5237104579022056,0.0,0.0,0.0,496.2105263157895,193.26315789473685,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7203301290981472,0.1312735166400671,0.00909681896737311,0.12911519582848996,0.0,0.3004143856465816,1.0,0.04029319763649255,0.03704948931313083,2.7857255760894986,2.7857255760894986,0.0,32.44787687314802,2.225653246194452,32.27884419856637,0.0,1.0,32.0,5.0
