epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.3670049998359496,0.265155806309647,0.1356290222869979,0.009158767320008742,0.10438588944574197,0.0,0.2820113193657663,1.0,0.051850944136579834,0.00797803469875665,0.6552122151502368,0.6552122151502368,0.0,0.744967777637713,0.6996224520685925,0.8715601467022983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.08163302596658469,0.17998822033405304,0.13143197149038316,0.007769320067018271,0.10768257081508636,0.0,0.3086053907871246,1.0,0.06957015544176101,0.00034603145568326,0.07880389473866671,0.07880389473866671,0.0,0.1351829979510512,0.07278320700861514,0.5251974210143089,0.0,1.0,1.0,5.0
2,2,0.3476818630588241,0.2851511426270008,0.1352792220811049,0.009079568618391123,0.10610195114794704,0.0,0.284792509343889,1.0,0.0502914858257605,0.03172818287069074,0.7266194710105588,0.7266194710105588,0.0,1.2672184993227045,0.6274980281106965,0.9668264167511956,0.0,1.0,2.0,0.11923048024376233,0.08884669964512189,0.26954034467538196,2.4274706840515137,0.0,0.0,0.06195378924409548,99.0,3.0,0.13333333333333333,18.0,3.0,0.03752588725183159,0.19555033147335052,0.13145921900868415,0.007328874059021473,0.10853934139013291,0.0,0.3088730454444885,1.0,0.06617065593600273,0.001995127781174233,0.05999958622560371,0.05999958622560371,0.0,0.349334727585665,0.06075405847950606,0.13224262641742826,0.0,1.0,2.0,5.0
3,4,0.44949141780650986,0.32770132997797596,0.13392565678805113,0.008480368977567801,0.1078745506496893,0.0,0.28877944788999027,1.0,0.047149615465766855,0.02655129248884849,0.7188908802602643,0.7188908802602643,0.0,3.153991365030303,0.5809797046663334,2.170995291352382,0.0,1.0,4.0,0.2716343104839325,0.14025836934645972,0.12468663851420085,2.723239024480184,0.0,0.0,0.09723002463579178,93.33333333333333,3.0,0.26666666666666666,18.0,3.0,0.14897937480709517,0.22170665487647057,0.1313077427446842,0.006918255751952529,0.10968015678226947,0.0,0.30927673578262327,1.0,0.0623314943164587,0.020269787409552008,0.08029174621478888,0.08029174621478888,0.0,1.2953284017799889,0.17476870797659103,0.7907188905519433,0.0,1.0,4.0,5.0
4,8,0.7115635579037998,0.3818337432005339,0.1346934760092861,0.00826223571655444,0.11016818249805106,0.0,0.2927919757655925,1.0,0.04564430551706917,0.0331189009366805,0.7202872012604078,0.7202872012604078,0.0,6.113651810492769,0.5693356241761952,4.838292941122846,0.0,1.0,8.0,0.33910050491491955,0.10031355669101079,0.6774906118710836,1.928445299466451,0.0,0.0,0.08908275266488393,85.0,3.0,0.4000000000000001,18.0,3.0,1.0466933995485306,0.2764736820012331,0.1312810979783535,0.006889849074650556,0.11028594747185708,0.0,0.3070736400783062,1.0,0.06120626088231802,0.012864965616586232,0.7458240302024933,0.7458240302024933,0.0,8.351800097897648,0.7951756352581925,7.28623124808073,0.0,1.0,8.0,5.0
5,16,2.0802459331526837,0.45776137099083924,0.13563248021010724,0.008417669948863072,0.11555452009714726,0.0,0.29820074922301704,1.0,0.044436934404075146,0.03455999741265398,1.342403286672608,1.342403286672608,0.0,17.115047993934745,1.229352278415941,15.885049883329913,0.0,1.0,16.0,0.3797527352968852,0.09189509848753612,0.2827024459838867,2.5464256604512534,0.0,0.0,0.098716185738643,69.0,3.0,0.4000000000000001,18.0,3.0,2.808462346647866,0.3431778999045491,0.13293276568874718,0.006861866166582331,0.10990695357322693,0.0,0.2992458201944828,1.0,0.05834198794327676,0.010032788734014276,1.5992876505253661,1.5992876505253661,0.0,23.07995535954833,1.598735170913392,21.68968213442713,0.0,1.0,16.0,5.0
6,32,5.70195928754078,0.5579061259826025,0.13799771837269267,0.00870153621508507,0.13093392986209235,0.0,0.3061457049463772,1.0,0.044492099738110684,0.020651560575443914,2.5964234868073266,2.5964234868073266,0.0,47.949905529023255,2.474492545302335,47.12162172292463,0.0,1.0,32.0,0.2652854174375534,0.06277579441666603,0.33923259377479553,1.675346811612447,0.0,0.0,0.07996587703625362,90.66666666666667,3.0,0.4000000000000001,18.0,3.0,6.961516936309636,0.42294693933799865,0.1365572704002261,0.00717387865879573,0.1134566232562065,0.0,0.2923816946335137,1.0,0.054861411452293396,0.006017326930231093,2.969500691981011,2.969500691981011,0.0,59.409740421175954,2.869868308201512,58.135694697499275,0.0,1.0,32.0,5.0
7,32,5.649960432149884,0.562147905325724,0.13823186121104905,0.008898319732300783,0.12840605720541337,0.0,0.3068294525405185,1.0,0.044753020842714854,0.020631461258274284,2.5885123714982368,2.5885123714982368,0.0,47.95369362458587,2.386923624222138,46.95190870305911,0.0,1.0,32.0,0.3127330442269643,0.08352811386187871,0.19141207138697305,2.116174300511678,0.0,0.0,0.06711945806940396,80.66666666666667,3.0,0.4000000000000001,18.0,3.0,6.878072003740817,0.42294693924486637,0.13655727026052772,0.007173878673347645,0.11345662316307425,0.0,0.292381695471704,1.0,0.05486141135916114,0.0060173269058424236,2.9695006921832827,2.9695006921832827,0.0,59.409740407764914,2.7168885884098017,57.91316418349743,0.0,1.0,32.0,5.0
8,32,5.6438530533988445,0.5614815087626792,0.13765792300303778,0.008817540142141903,0.12935522254944468,0.0,0.307019285314406,1.0,0.043541608341102905,0.02137130461511995,2.65847413023811,2.65847413023811,0.0,47.95555191026587,2.39190937310225,46.87089210893545,0.0,1.0,32.0,0.4013404846191406,0.09640318403641383,0.418746014436086,2.6582204500834146,0.0,0.0,0.06862052033344905,93.33333333333333,3.0,0.4000000000000001,18.0,3.0,6.814153550658375,0.4229469426907599,0.1365572704002261,0.007173878635512665,0.11345662353560329,0.0,0.2923816952854395,1.0,0.05486141121946275,0.00601732696314059,2.9695006885816837,2.9695006885816837,0.0,59.409740407764914,2.6191263191519285,57.66502858046442,0.0,1.0,32.0,5.0
9,32,5.568379666371685,0.5597174137882475,0.13755685210021007,0.008685086390566235,0.13176746531907055,0.0,0.3072824721586787,1.0,0.04510570055572316,0.020856436941822192,2.540291583421835,2.540291583421835,0.0,47.95533661021747,2.2776236012060935,46.573301347231286,0.0,1.0,32.0,0.3499852120876312,0.044682253152132034,0.3130393127600352,2.3790902296702066,0.0,0.0,0.14385569343964258,103.66666666666667,3.0,0.4000000000000001,18.0,3.0,6.769365383358672,0.4229469411075115,0.13655727044679225,0.007173878714093007,0.11345662358216942,0.0,0.2923816964030266,1.0,0.05486141126602888,0.00601732692678354,2.969500696324758,2.969500696324758,0.0,59.409740422666076,2.5787426140974956,57.37868252219632,0.0,1.0,32.0,5.0
10,32,5.57535835973815,0.5598928545498185,0.13781491672206256,0.00871568562757198,0.1291031847617382,0.0,0.30405517680467004,1.0,0.04560299973753798,0.020342559830649205,2.5801024795740894,2.5801024795740894,0.0,47.95286219163487,2.3141597007827883,46.496943708628855,0.0,1.0,32.0,0.42190338174502057,0.10037745535373688,0.3697005609671275,2.77911114692688,0.0,0.0,0.12455347428719203,105.0,3.0,0.4000000000000001,18.0,3.0,6.730925233662129,0.42294694371521474,0.1365572706796229,0.007173878673347645,0.11345662451349199,0.0,0.2923816961236298,1.0,0.05486141082365066,0.0060173269162703494,2.9695006924306653,2.9695006924306653,0.0,59.409740421175954,2.5496377531806296,57.11070019298059,0.0,1.0,32.0,5.0
