epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_steps
1,1,0.5340680368244648,0.09243261564522981,0.017142560419626533,0.00010514128614158836,0.8310688736513258,0.027414141106884928,0.029513494210204952,1.1171010491035658,1.1171010491035658,0.0,0.01856763141023373,1.0,500.0,0.8849765700288117,0.059360391620430164,0.005075149236290599,4.3122523820215974e-05,1.62844550749287,0.01566137331610662,0.014553543986266959,0.04264337281287567,0.04264337281287567,0.0,0.027088282171462197,1.0,256.0
2,1,0.41323109228909016,0.08251776595413685,0.006681735869962722,5.0443153657397486e-05,0.6275497626587748,0.019404098466970027,0.023284069741349413,1.3151984486167199,1.3151984486167199,0.0,0.041853175929602006,1.0,500.0,0.8439182313159108,0.06721933197695762,0.004742726074255188,1.9175301765983477e-05,1.5243694800883532,0.045967846061103046,0.015080513795510342,0.05229215954022948,0.05229215954022948,0.0,0.02775785441917833,1.0,256.0
3,1,0.34123226599395273,0.08163186608999967,0.005225294777657837,2.467189880917431e-05,0.48534328514523806,0.0127097471174784,0.02607546589167032,1.1240553621246108,1.1240553621246108,0.0,0.04865884864609688,1.0,500.0,0.9104807111434639,0.06801548216026276,0.004814091640582774,1.076102369879095e-05,1.6614957875572145,0.02103577317757299,0.014406971753942344,0.06516057065800851,0.06516057065800851,0.0,0.020353409694507718,1.0,256.0
4,1,0.29813183400034904,0.08018819418549537,0.004477260291343555,1.3401189184151008e-05,0.40547087367856877,0.010925166202127003,0.02374607111357909,1.4138335921161835,1.4138335921161835,0.0,0.050279928647069025,1.0,500.0,1.1501520683523268,0.07162703102221712,0.002825405200383102,5.0051800783990075e-06,2.1354358326643705,0.019625306220405037,0.014860781856441463,0.06725203753012465,0.06725203753012465,0.0,0.011908235577720916,1.0,256.0
