circuit	benchmark_id	budget	allowlist_nodes	plan_nodes	legal_plan_nodes	legal_ratio_pct	baseline_tc_pct	filtered_final_tc_pct	filtered_delta_tc_pp	unfiltered_final_tc_pct	change_vs_unfiltered_pp	deeptpi_final_tc_pct	gap_vs_deeptpi_pp	beats_deeptpi	plan_elapsed_sec	eval_elapsed_sec	plan_csv	eval_dir
b15_C	iscas99__b15_1	278	7918	278	278	100.0	81.764	89.987	8.223000000000003	90.656	-0.6690000000000111	93.2	-3.213000000000008	False	1140.912	8.028	autoresearch/exact-itc99-current-best-q-lcb-260712/b15_C/plans/iscas99__b15_1__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/exact-itc99-current-best-q-lcb-260712/b15_C/evals/iscas99__b15_1__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
b20_C	iscas99__b20	616	19175	616	616	100.0	90.757	96.538	5.780999999999992	97.087	-0.5490000000000066	95.02	1.5180000000000007	True	1695.776	9.699	autoresearch/exact-itc99-current-best-q-lcb-260712/b20_C/plans/iscas99__b20__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/exact-itc99-current-best-q-lcb-260712/b20_C/evals/iscas99__b20__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
b21_C	iscas99__b21	628	19520	628	628	100.0	89.682	95.752	6.069999999999986	96.379	-0.6270000000000095	94.51	1.2419999999999902	True	2219.108	10.464	autoresearch/exact-itc99-current-best-q-lcb-260712/b21_C/plans/iscas99__b21__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/exact-itc99-current-best-q-lcb-260712/b21_C/evals/iscas99__b21__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
b22_C	iscas99__b22	915	28412	915	915	100.0	92.13	96.615	4.484999999999994	97.187	-0.5720000000000027	95.59	1.0249999999999915	True	3112.645	16.4	autoresearch/exact-itc99-current-best-q-lcb-260712/b22_C/plans/iscas99__b22__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/exact-itc99-current-best-q-lcb-260712/b22_C/evals/iscas99__b22__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
b17_C	iscas99__b17	994	29334	994	994	100.0	85.623	90.39	4.7669999999999995	89.869	0.5210000000000008	91.67	-1.2800000000000011	False	3080.944	71.464	autoresearch/exact-itc99-current-best-q-lcb-260712/b17_C/plans/iscas99__b17__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/exact-itc99-current-best-q-lcb-260712/b17_C/evals/iscas99__b17__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
