split	variant	checkpoint_name	benchmark_id	state_id	candidate_strategy	oracle_best_delta_tc	baseline_top1_action	baseline_top1_delta_tc	ranker_top1_action	ranker_top1_delta_tc	delta_vs_baseline	ranker_top1_regret
train	linear_l2		subckt_0001	initial	cached_random	0.03222999999999998	new_n1090::control1	0.0040999999999999925	new_n5967::observe	0.004450000000000065	0.0003500000000000725	0.027779999999999916
train	linear_l2		subckt_0001	initial	cached_stride	0.028530000000000055	__buf_split_1126::control1	0.0040999999999999925	__aig_not_1625::observe	0.0007500000000000284	-0.003349999999999964	0.027780000000000027
train	linear_l2		subckt_0012	initial	cached_random	0.0006099999999999994	__buf_split_25::control1	0.00031000000000003247	__aig_and_32::observe	0.0006099999999999994	0.00029999999999996696	0.0
train	linear_l2		subckt_0012	initial	cached_stride	0.0006099999999999994	__buf_split_1::control1	0.00031000000000003247	189::observe	0.0006099999999999994	0.00029999999999996696	0.0
train	linear_l2		subckt_0015	initial	cached_stride	0.0012600000000000389	__aig_and_7::observe	2.999999999997449e-05	__aig_and_58040::observe	2.999999999997449e-05	0.0	0.0012300000000000644
train	linear_l2		subckt_0018	initial	cached_random	0.007609999999999895	__aig_not_480071::control1	0.0007699999999999374	__aig_not_480071::observe	0.0015099999999999003	0.0007399999999999629	0.006099999999999994
train	linear_l2		subckt_0020	initial	cached_hard_cone	0.005579999999999918	__aig_and_10::observe	0.00013999999999991797	__aig_not_3::observe	0.00013999999999991797	0.0	0.00544
train	linear_l2		subckt_0020	initial	cached_stride	0.0028199999999999337	__aig_and_26622::observe	0.00013999999999991797	new_n5223::observe	0.00013999999999991797	0.0	0.0026800000000000157
train	linear_l2		subckt_0021	initial	cached_random	0.00043999999999999595	G261::observe	0.00043999999999999595	__aig_and_28::observe	0.00043999999999999595	0.0	0.0
train	linear_l2		subckt_0021	initial	cached_stride	0.00043999999999999595	G267::control0	-0.0021900000000001363	I655::observe	0.00043999999999999595	0.0026300000000001322	0.0
train	linear_l2		subckt_0022	initial	cached_hard_cone	0.0020699999999999052	__aig_not_20356::control0	9.999999999843467e-06	__aig_not_19698::observe	1.999999999990898e-05	1.0000000000065512e-05	0.0020499999999999963
train	linear_l2		subckt_0022	initial	cached_stride	1.999999999990898e-05	__aig_and_20308::observe	1.999999999990898e-05	__aig_not_18473::observe	1.999999999990898e-05	0.0	0.0
train	linear_l2		subckt_0038	initial	cached_random	0.026699999999999946	new_n48665_::observe	0.004369999999999985	new_n48616_::observe	0.006809999999999983	0.0024399999999999977	0.019889999999999963
train	linear_l2		subckt_0041	initial	cached_hard_cone	0.0001300000000000745	__buf_split_302719::control1	-0.006220000000000003	__buf_split_250751::observe	0.0001300000000000745	0.006350000000000078	0.0
train	linear_l2		subckt_0041	initial	cached_random	0.008900000000000019	new_n551223_::control0	-0.012499999999999956	new_n551885_::observe	0.008900000000000019	0.021399999999999975	0.0
train	linear_l2		subckt_0041	initial	cached_stride	0.0001300000000000745	__buf_split_302945::control1	-0.006220000000000003	new_n551454_::observe	0.0001300000000000745	0.006350000000000078	0.0
train	linear_l2		subckt_0043	initial	cached_stride	0.014129999999999976	new_n109512_::observe	9.00000000000345e-05	new_n108907_::observe	4.999999999999449e-05	-4.0000000000040004e-05	0.014079999999999981
train	linear_l2		subckt_0044	initial	cached_hard_cone	0.004469999999999974	__aig_and_20396::observe	0.0002900000000001235	__aig_not_3::observe	0.0002900000000001235	0.0	0.0041799999999998505
train	linear_l2		subckt_0044	initial	cached_stride	0.0022500000000000853	__aig_and_48008::observe	0.0002900000000001235	__aig_and_46348::observe	0.0002900000000001235	0.0	0.0019599999999999618
train	linear_l2		subckt_0048	initial	cached_hard_cone	0.006170000000000009	U533::control0	-0.03651000000000004	U525::observe	0.00014999999999998348	0.036660000000000026	0.006020000000000025
train	linear_l2		subckt_0048	initial	cached_random	0.006170000000000009	__aig_and_281::control0	-0.03651000000000004	__aig_and_9::observe	0.00014999999999998348	0.036660000000000026	0.006020000000000025
train	linear_l2		subckt_0048	initial	cached_stride	0.006170000000000009	__aig_and_261::control0	-0.03651000000000004	__aig_and_33::observe	0.00014999999999998348	0.036660000000000026	0.006020000000000025
train	linear_l2		subckt_0049	initial	cached_hard_cone	0.00024000000000001798	__buf_split_456::control1	-0.0021100000000000563	__buf_split_456::observe	0.00024000000000001798	0.0023500000000000743	0.0
train	linear_l2		subckt_0049	initial	cached_random	0.00024000000000001798	__buf_split_713::control1	-0.0043400000000000105	new_n1840_::observe	0.00024000000000001798	0.0045800000000000285	0.0
train	linear_l2		subckt_0049	initial	cached_stride	0.00024000000000001798	new_n1813_::control1	-0.0021100000000000563	new_n1813_::observe	0.00012000000000000899	0.0022300000000000653	0.00012000000000000899
