epoch	train_pairwise_loss	val_actions	val_groups	val_kind	val_mean_kendall_tau	val_mean_pearson	val_mean_sign_accuracy	val_mean_spearman	val_mean_top1_real_delta_tc	val_mean_top1_regret	val_ndcg_at_10	val_ndcg_at_5	val_negative_top1_rate	val_pairwise_accuracy	val_pairwise_count	val_score_field	val_split	val_variant	variant
1	0.6695060729980469	666	37	ranker	0.32993887581764286	0.2867985289098787	0.539039039039039	0.35789469298237614	-0.0035648648648648803	0.030655945945945968	0.697926096490193	0.6082154389801562	0.16216216216216217	0.6675034152613176	4012	ranker_score	expanded_val	linear	linear
2	0.657405436038971	666	37	ranker	0.3668223523073053	0.32938273187430955	0.539039039039039	0.39590217470593975	0.0008610810810810631	0.026230000000000028	0.7237051206026031	0.6435659575731169	0.08108108108108109	0.6826128710322882	4020	ranker_score	expanded_val	linear	linear
3	0.6518256068229675	666	37	ranker	0.4011487358065958	0.35866286875328807	0.539039039039039	0.43234706174369414	0.008218918918918908	0.01887216216216218	0.7374227347063513	0.6792600184829919	0.0	0.6984705035116788	4014	ranker_score	expanded_val	linear	linear
4	0.64616858959198	666	37	ranker	0.4279649575212035	0.3839470991570197	0.539039039039039	0.4647215256310133	0.005304324324324312	0.021786756756756776	0.7420801909520666	0.6919444481674951	0.0	0.7114025603214277	4019	ranker_score	expanded_val	linear	linear
5	0.6400086283683777	666	37	ranker	0.46285851241069753	0.40425318173605584	0.539039039039039	0.5003695451984598	0.005308648648648635	0.021782432432432455	0.7619443829263163	0.7007898714478669	0.0	0.7286239574091243	4020	ranker_score	expanded_val	linear	linear
6	0.6344595551490784	666	37	ranker	0.48428671545948293	0.41879898811737293	0.539039039039039	0.5206471548630471	0.0055045945945945834	0.021586486486486506	0.7673530332319674	0.7062601704188187	0.0	0.7382779010410657	4022	ranker_score	expanded_val	linear	linear
7	0.6300080418586731	666	37	ranker	0.4952919921358123	0.4281950184075604	0.539039039039039	0.5310724339362886	0.005398108108108095	0.021692972972972995	0.767949595145233	0.7128920077436621	0.0	0.7418919783036894	4021	ranker_score	expanded_val	linear	linear
8	0.6265460252761841	666	37	ranker	0.5034967199450753	0.43190967434635646	0.539039039039039	0.5403751260770004	0.005398108108108095	0.021692972972972995	0.7707612762560202	0.7190951827740332	0.0	0.7459400987138862	4020	ranker_score	expanded_val	linear	linear
9	0.6237043738365173	666	37	ranker	0.503854687917245	0.4310603287391266	0.539039039039039	0.5412090856133434	0.005398108108108095	0.021692972972972995	0.7727945839943577	0.7115635136712569	0.0	0.7457905738986288	4020	ranker_score	expanded_val	linear	linear
10	0.621073305606842	666	37	ranker	0.4947669063334869	0.42839957454059346	0.539039039039039	0.5309098625865426	0.0037640540540540422	0.023327027027027047	0.7648075152314514	0.7068985501982697	0.02702702702702703	0.7411845506427389	4019	ranker_score	expanded_val	linear	linear
11	0.6185676455497742	666	37	ranker	0.49185206203434834	0.42660765994374295	0.539039039039039	0.5285121715618514	0.0036056756756756613	0.02348540540540543	0.7608756505102735	0.7015311311403298	0.02702702702702703	0.73964935039868	4019	ranker_score	expanded_val	linear	linear
12	0.6163427829742432	666	37	ranker	0.49834340533295646	0.4280074561418568	0.539039039039039	0.5334484189949985	0.0036056756756756613	0.02348540540540543	0.7622781873111752	0.7087206680349881	0.02702702702702703	0.7426308115190796	4023	ranker_score	expanded_val	linear	linear
13	0.6144049763679504	666	37	ranker	0.5111442111293762	0.43354584685908915	0.539039039039039	0.5467544963066414	0.0036056756756756613	0.02348540540540543	0.7661876835433218	0.7203068810270209	0.02702702702702703	0.7484516054408711	4021	ranker_score	expanded_val	linear	linear
14	0.6126438975334167	666	37	ranker	0.5187261085124639	0.4410686947096845	0.539039039039039	0.5543669121937966	0.0036056756756756613	0.02348540540540543	0.7671222351472528	0.722417301143689	0.02702702702702703	0.7521799079439463	4023	ranker_score	expanded_val	linear	linear
15	0.6110079288482666	666	37	ranker	0.5253660345402583	0.4491819691694837	0.539039039039039	0.5601643957102095	0.0036013513513513387	0.02348972972972975	0.7679917581470928	0.7241265321760915	0.02702702702702703	0.7555779539092231	4023	ranker_score	expanded_val	linear	linear
16	0.6095132827758789	666	37	ranker	0.5295746669585358	0.456399257380523	0.539039039039039	0.5675953496578643	0.006687567567567558	0.020403513513513532	0.7789380979249233	0.7332920150921857	0.0	0.7580820994802063	4026	ranker_score	expanded_val	linear	linear
17	0.608197808265686	666	37	ranker	0.5357299468587678	0.46156314620218086	0.539039039039039	0.5737031525239725	0.006687567567567558	0.020403513513513532	0.7822564092263414	0.7340607087157893	0.0	0.7615765141779167	4024	ranker_score	expanded_val	linear	linear
18	0.6070734858512878	666	37	ranker	0.5400918189716193	0.4646200286291868	0.539039039039039	0.5791126324245518	0.006687567567567558	0.020403513513513532	0.7848547840709894	0.7347778712514572	0.0	0.7649735311066284	4026	ranker_score	expanded_val	linear	linear
19	0.6061093211174011	666	37	ranker	0.5465133875428597	0.46551338184970215	0.539039039039039	0.5845477667151566	0.006691891891891881	0.020399189189189208	0.7884520539443921	0.7368553413084188	0.0	0.7680759306632486	4023	ranker_score	expanded_val	linear	linear
20	0.6052455902099609	666	37	ranker	0.5412243489759436	0.46461454983463435	0.539039039039039	0.58158248085696	0.006691891891891881	0.020399189189189208	0.78919761614907	0.7393750412664012	0.0	0.7644015328485299	4022	ranker_score	expanded_val	linear	linear
21	0.6044327020645142	666	37	ranker	0.5374240552095533	0.4623499891910421	0.539039039039039	0.5766505822075395	0.006691891891891881	0.020399189189189208	0.7868025568444219	0.7390645010661461	0.0	0.7617488617781131	4027	ranker_score	expanded_val	linear	linear
22	0.603672444820404	666	37	ranker	0.5350724951599353	0.45882584704849516	0.539039039039039	0.5723918097440295	0.00662297297297296	0.02046810810810813	0.7846832808841372	0.737249578445727	0.0	0.7590868857416354	4022	ranker_score	expanded_val	linear	linear
23	0.6030042767524719	666	37	ranker	0.5286770995089963	0.4550965168551244	0.539039039039039	0.5650472818451918	0.00662297297297296	0.02046810810810813	0.7791325274128402	0.7363031781787579	0.0	0.7551441206830813	4024	ranker_score	expanded_val	linear	linear
24	0.6024531722068787	666	37	ranker	0.524295184318493	0.4519157693708201	0.539039039039039	0.56047985004824	0.0066218918918918785	0.02046918918918921	0.7796952801147002	0.7405853949047619	0.0	0.7521688565228534	4020	ranker_score	expanded_val	linear	linear
25	0.6020057797431946	666	37	ranker	0.523049230708189	0.4499674534761652	0.539039039039039	0.5578774354456488	0.00662297297297296	0.02046810810810813	0.78124542975634	0.7373013908488449	0.0	0.75072158495597	4022	ranker_score	expanded_val	linear	linear
26	0.6016247868537903	666	37	ranker	0.5249082375243	0.4494734487947488	0.539039039039039	0.5589905849803483	0.00662297297297296	0.02046810810810813	0.782658459908859	0.737794666873493	0.0	0.7518347386029799	4023	ranker_score	expanded_val	linear	linear
27	0.6012733578681946	666	37	ranker	0.5278558970289097	0.45045631892672144	0.539039039039039	0.5607437609977088	0.00662297297297296	0.02046810810810813	0.7850013855769535	0.7380425185140541	0.0	0.7536605430938235	4022	ranker_score	expanded_val	linear	linear
