split	variant	score_field	kind	groups	actions	mean_spearman	mean_kendall_tau	mean_pearson	mean_top1_real_delta_tc	mean_top1_regret	negative_top1_rate	mean_sign_accuracy	pairwise_accuracy	pairwise_count	ndcg_at_5	ndcg_at_10
train	baseline	hybrid_pred	baseline	180	4320	0.008675425644643681	0.005898163410854363	-0.015233059266493824	-0.0008892222222222354	0.021035	0.2777777777777778	0.6790123456790123	0.5124480684753135	25453	0.5692707308448269	0.6403917388617434
train	baseline	hard_reduction_total_pred	baseline	180	4320	0.02005344730838836	0.01821851752743329	-0.01090360742383394	-0.0012823888888889008	0.02142816666666667	0.28888888888888886	0.6757716049382716	0.5161314802857776	25452	0.5699322550390397	0.6403979196385156
train	baseline	reward_pred	baseline	180	4320	-0.1474321193181327	-0.14289111289146614	-0.10798758320378084	-0.002591555555555562	0.022737333333333328	0.40555555555555556	0.6975308641975309	0.4488116364828699	25447	0.5263950424855169	0.5925568830730581
train	baseline	bounded_residual_hybrid_pred	baseline	60	2160	-0.028269372015385087	-0.0323472867228701	-0.02872261242553364	0.0010288333333333065	0.020978000000000014	0.23333333333333334	0.7268518518518517	0.5144459733950086	13999	0.6182118164640128	0.660942584328397
train	baseline	derived_hard_reduction_hybrid_pred	baseline	60	2160	-0.03405124333445766	-0.039802463574320476	-0.09657252129531907	-0.002804833333333356	0.02481166666666668	0.35	0.6375	0.38824563406631163	13998	0.5925279283846059	0.6393919643320667
expanded_val	baseline	hybrid_pred	baseline	37	666	0.07794130687992688	0.06868841400859842	0.01820003108761961	-0.013760540540540541	0.040851621621621634	0.4864864864864865	0.460960960960961	0.5369924602674443	4026	0.48304484007785164	0.585827856219179
expanded_val	baseline	hard_reduction_total_pred	baseline	37	666	0.09749744614723646	0.0876184828404327	0.03585381587753599	-0.013760540540540541	0.040851621621621634	0.4864864864864865	0.460960960960961	0.545815291109113	4026	0.4896581213248549	0.5887748306511706
expanded_val	baseline	reward_pred	baseline	37	666	-0.19748179010973968	-0.18510369600155796	-0.12930842414498428	-0.0031859459459459335	0.030277027027027024	0.7027027027027027	0.460960960960961	0.4142431984152172	4026	0.37896886782972583	0.49722757592346584
transfer	baseline	hybrid_pred	baseline	6	288	0.32739827342251004	0.2946054748463409	0.24872425030946518	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.6662664545653461	3713	0.666113669273081	0.6905815150134553
transfer	baseline	hard_reduction_total_pred	baseline	6	288	0.3244427102285325	0.2911661969881704	0.2477195136191581	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.6651440076486471	3713	0.6609584785977999	0.6871723815255093
transfer	baseline	reward_pred	baseline	6	288	0.2947420051224239	0.28384760501635947	0.24479594445031724	0.0029666666666666544	0.02022333333333337	0.5	0.6597222222222222	0.6410565601123085	3713	0.5173237249928753	0.5710912425163385
train	linear	ranker_score	ranker	180	4320	0.45199700555287353	0.45382912564431854	0.29309904913312385	0.0045731111111111085	0.015572666666666657	0.027777777777777776	0.5893518518518518	0.6727818181817923	25453	0.7323242259628044	0.7773403397213798
