variant	feature	weight
linear	fc_pred__rank_pct_group	-0.028306378051638603
linear	benchmark_id=subckt_0317	-0.028047772124409676
linear	bounded_residual_hybrid_pred	0.028039421886205673
linear	benchmark_id=subckt_0384	0.02789708413183689
linear	benchmark_id=subckt_0322	0.02774304524064064
linear	benchmark_id=subckt_0116	-0.02619420923292637
linear	hard_reduction_total_pred	-0.02600564807653427
linear	benchmark_id=subckt_0319	0.025282036513090134
linear	benchmark_id=subckt_0267	-0.025233831256628036
linear	benchmark_id=subckt_0146	0.023601587861776352
linear	benchmark_id=subckt_0387	-0.023480085656046867
linear	benchmark_id=subckt_0041	0.0217683594673872
linear	benchmark_id=__UNK__	-0.02167956717312336
linear	benchmark_id=subckt_0275	0.02139490284025669
linear	derived_hard_reduction_sa1_pred__rank_pct_group	-0.020988715812563896
linear	derived_hard_reduction_hybrid_pred__rank_pct_group	0.019981633871793747
linear	benchmark_id=subckt_0155	0.01914665475487709
linear	benchmark_id=subckt_0230	-0.018594827502965927
linear	hybrid_pred__rank_pct_group	-0.018472958356142044
linear	reward_pred__rank_pct_group	-0.018254658207297325
linear	candidate_strategy=__UNK__	-0.017265507951378822
linear	benchmark_id=subckt_0332	-0.017196139320731163
linear	derived_hard_reduction_total_pred__rank_pct_group	0.01623939722776413
linear	benchmark_id=subckt_0069	0.015871766954660416
linear	benchmark_id=subckt_0193	0.015643160790205002
linear	derived_hard_count_pre_total_pred__rank_pct_group	0.015480505302548409
linear	benchmark_id=subckt_0012	0.01527787558734417
linear	reward_pred	-0.015160374343395233
linear	bounded_residual_hybrid_pred__minus_group_mean	-0.015135088004171848
linear	guarded_reward__minus_group_mean	-0.014553801156580448
linear	benchmark_id=subckt_0128	0.013966863974928856
linear	benchmark_id=subckt_0021	-0.013966042548418045
linear	hybrid_pred__z_group	0.013674218207597733
linear	benchmark_id=subckt_0391	0.013201719149947166
linear	benchmark_id=subckt_0204	-0.013128776103258133
linear	benchmark_id=subckt_0393	-0.012444545514881611
linear	benchmark_id=subckt_0231	-0.012369445525109768
linear	benchmark_id=subckt_0126	0.010742117650806904
linear	benchmark_id=subckt_0360	-0.0106315603479743
linear	derived_hard_count_post_total_pred__z_group	0.010126044973731041
linear	benchmark_id=subckt_0327	-0.010031689889729023
linear	derived_hard_count_post_total_pred__rank_pct_group	-0.009008079767227173
linear	candidate_strategy=cached_random	0.008948695845901966
linear	benchmark_id=subckt_0022	-0.008739637210965157
linear	benchmark_id=subckt_0015	-0.008458311669528484
linear	return_pred__minus_group_mean	-0.007051194552332163
linear	benchmark_id=subckt_0373	-0.006782090291380882
linear	return_pred	0.006191519554704428
linear	reward_pred__z_group	-0.005243397783488035
linear	benchmark_id=subckt_0165	-0.004679876379668713
linear	derived_hard_reduction_total_pred__z_group	0.004351504612714052
linear	benchmark_id=subckt_0390	-0.0033477225806564093
linear	benchmark_id=subckt_0043	-0.002941270126029849
linear	benchmark_id=subckt_0136	-0.0027740420773625374
linear	benchmark_id=subckt_0292	-0.002351017203181982
linear	benchmark_id=subckt_0256	0.0012241073418408632
linear	fc_pred__z_group	-0.0009378327522426844
linear	reward_pred__minus_group_mean	0.0006110118702054024
linear	benchmark_id=subckt_0266	-0.0004766661149915308
linear_l2	candidate_rank__minus_group_mean	0.21306899189949036
linear_l2	type=control0	-0.20702113211154938
linear_l2	type=observe	0.17631807923316956
linear_l2	type=control1	-0.16507957875728607
linear_l2	hybrid_pred__minus_group_mean	-0.16147306561470032
linear_l2	hard_reduction_sa1_pred	0.16089293360710144
linear_l2	candidate_rank__rank_pct_group	-0.15643848478794098
linear_l2	bounded_residual_hybrid_pred__rank_pct_group	0.15123389661312103
linear_l2	derived_hard_reduction_sa0_pred__minus_group_mean	-0.1303679347038269
linear_l2	derived_hard_reduction_sa0_pred__rank_pct_group	0.12820640206336975
linear_l2	hybrid_pred	-0.11871175467967987
linear_l2	hard_reduction_sa0_pred	-0.11816314607858658
linear_l2	hard_reduction_total_pred__rank_pct_group	0.11052034795284271
linear_l2	derived_hard_count_pre_total_pred__z_group	-0.1084541603922844
linear_l2	hard_reduction_sa0_pred__z_group	0.10406924784183502
linear_l2	derived_hard_reduction_sa1_pred	-0.10097984969615936
linear_l2	derived_hard_reduction_sa0_pred	-0.09651659429073334
linear_l2	derived_hard_reduction_total_pred__minus_group_mean	-0.09308698773384094
linear_l2	guarded_reward	0.08843885362148285
linear_l2	hard_reduction_sa0_pred__rank_pct_group	0.08604418486356735
linear_l2	candidate_rank	0.08149470388889313
linear_l2	candidate_rank__z_group	-0.07864351570606232
linear_l2	hard_reduction_sa1_pred__minus_group_mean	0.07827150821685791
linear_l2	derived_hard_reduction_sa0_pred__z_group	0.07685931026935577
linear_l2	hard_reduction_sa1_pred__rank_pct_group	-0.06686514616012573
linear_l2	hard_reduction_sa0_pred__minus_group_mean	-0.06466139107942581
linear_l2	derived_hard_reduction_hybrid_pred__minus_group_mean	-0.06437811255455017
linear_l2	guarded_reward__rank_pct_group	0.062371086329221725
linear_l2	guarded_reward__z_group	0.06050743907690048
linear_l2	hard_reduction_total_pred__minus_group_mean	-0.06013166159391403
linear_l2	derived_hard_count_post_total_pred	-0.05866406112909317
linear_l2	derived_hard_count_pre_total_pred__minus_group_mean	-0.05448729917407036
linear_l2	return_pred__z_group	-0.049088358879089355
linear_l2	derived_hard_reduction_sa1_pred__z_group	-0.043982185423374176
linear_l2	derived_hard_reduction_hybrid_pred__z_group	-0.04358217120170593
linear_l2	derived_hard_count_post_total_pred__minus_group_mean	-0.04215091094374657
linear_l2	hard_reduction_total_pred__z_group	-0.04169325903058052
linear_l2	derived_hard_count_pre_total_pred	-0.04139067977666855
linear_l2	derived_hard_reduction_sa1_pred__minus_group_mean	-0.041102200746536255
linear_l2	fc_pred__minus_group_mean	0.03904372453689575
linear_l2	derived_hard_reduction_total_pred	-0.038217391818761826
linear_l2	fc_pred	-0.03619426116347313
linear_l2	bounded_residual_hybrid_pred__z_group	0.03538728132843971
linear_l2	return_pred__rank_pct_group	-0.034605011343955994
linear_l2	derived_hard_reduction_hybrid_pred	-0.03163060173392296
linear_l2	hard_reduction_sa1_pred__z_group	0.03155500441789627
linear_l2	fc_pred__rank_pct_group	-0.02819778211414814
linear_l2	bounded_residual_hybrid_pred	0.027775796130299568
linear_l2	hard_reduction_total_pred	-0.026068322360515594
linear_l2	benchmark_id=subckt_0196	0.0211649052798748
linear_l2	derived_hard_reduction_sa1_pred__rank_pct_group	-0.021009379997849464
linear_l2	benchmark_id=subckt_0081	0.020417001098394394
linear_l2	benchmark_id=subckt_0173	-0.020299870520830154
linear_l2	benchmark_id=subckt_0117	0.020127730444073677
linear_l2	derived_hard_reduction_hybrid_pred__rank_pct_group	0.019972126930952072
linear_l2	benchmark_id=subckt_0240	-0.019450731575489044
linear_l2	hybrid_pred__rank_pct_group	-0.018414929509162903
linear_l2	reward_pred__rank_pct_group	-0.018179193139076233
linear_l2	benchmark_id=subckt_0020	0.017762701958417892
linear_l2	benchmark_id=subckt_0203	-0.01704932563006878
linear_l2	derived_hard_reduction_total_pred__rank_pct_group	0.01623282954096794
linear_l2	benchmark_id=subckt_0189	0.016118047758936882
linear_l2	candidate_strategy=cached_stride	0.015822608023881912
linear_l2	type=__UNK__	0.01557886227965355
linear_l2	derived_hard_count_pre_total_pred__rank_pct_group	0.015394050627946854
linear_l2	bounded_residual_hybrid_pred__minus_group_mean	-0.015121850185096264
linear_l2	benchmark_id=subckt_0313	0.015112124383449554
linear_l2	reward_pred	-0.015105053782463074
linear_l2	benchmark_id=subckt_0001	0.014721466228365898
linear_l2	guarded_reward__minus_group_mean	-0.014420849271118641
linear_l2	benchmark_id=subckt_0133	0.014216331765055656
linear_l2	hybrid_pred__z_group	0.013629000633955002
linear_l2	benchmark_id=subckt_0172	-0.011243325658142567
linear_l2	benchmark_id=subckt_0288	0.011121602728962898
linear_l2	benchmark_id=subckt_0048	0.010765092447400093
linear_l2	derived_hard_count_post_total_pred__z_group	0.010108230635523796
linear_l2	benchmark_id=subckt_0338	-0.009463836438953876
linear_l2	benchmark_id=subckt_0239	0.009458325803279877
linear_l2	benchmark_id=subckt_0197	-0.009457714855670929
linear_l2	benchmark_id=subckt_0171	-0.009433525614440441
linear_l2	benchmark_id=subckt_0384	0.009419304318726063
linear_l2	benchmark_id=subckt_0385	-0.00940772145986557
linear_l2	candidate_strategy=cached_hard_cone	-0.009238749742507935
linear_l2	benchmark_id=subckt_0141	-0.00904550775885582
linear_l2	benchmark_id=subckt_0322	0.009022110141813755
linear_l2	benchmark_id=subckt_0116	-0.00901890080422163
linear_l2	derived_hard_count_post_total_pred__rank_pct_group	-0.009016505442559719
linear_l2	benchmark_id=subckt_0370	-0.008951855823397636
linear_l2	benchmark_id=subckt_0260	0.008904009126126766
linear_l2	benchmark_id=subckt_0192	-0.008705561980605125
linear_l2	benchmark_id=subckt_0188	0.00868543516844511
linear_l2	benchmark_id=subckt_0300	0.00861748680472374
linear_l2	benchmark_id=subckt_0049	-0.008384250104427338
linear_l2	benchmark_id=subckt_0120	0.00806361623108387
linear_l2	benchmark_id=subckt_0062	-0.007889962755143642
linear_l2	benchmark_id=subckt_0066	0.007830169051885605
linear_l2	benchmark_id=subckt_0394	0.00752713019028306
linear_l2	benchmark_id=subckt_0375	-0.007423067465424538
linear_l2	benchmark_id=subckt_0107	0.007192038930952549
linear_l2	return_pred__minus_group_mean	-0.007028771564364433
linear_l2	benchmark_id=subckt_0289	-0.0068532805889844894
linear_l2	benchmark_id=subckt_0297	-0.006763613782823086
linear_l2	benchmark_id=subckt_0086	-0.006014358252286911
linear_l2	benchmark_id=subckt_0261	0.006011595018208027
linear_l2	benchmark_id=subckt_0018	-0.005910833366215229
linear_l2	benchmark_id=subckt_0324	0.005773795768618584
linear_l2	return_pred	0.0057692863047122955
linear_l2	benchmark_id=subckt_0315	-0.005518034100532532
linear_l2	benchmark_id=subckt_0279	0.005478973034769297
linear_l2	benchmark_id=subckt_0083	-0.005430436227470636
linear_l2	reward_pred__z_group	-0.005335028283298016
linear_l2	benchmark_id=subckt_0103	0.005149307660758495
linear_l2	benchmark_id=subckt_0184	-0.005068581085652113
linear_l2	benchmark_id=subckt_0241	0.005032472778111696
linear_l2	benchmark_id=subckt_0038	-0.004863162524998188
linear_l2	benchmark_id=subckt_0319	0.004701855592429638
linear_l2	candidate_strategy=__UNK__	0.004649834707379341
linear_l2	benchmark_id=subckt_0155	-0.004642382264137268
linear_l2	benchmark_id=subckt_0126	-0.004543942399322987
linear_l2	derived_hard_reduction_total_pred__z_group	0.004349047318100929
linear_l2	benchmark_id=subckt_0041	-0.004219462163746357
linear_l2	benchmark_id=subckt_0256	0.0038152800407260656
linear_l2	benchmark_id=subckt_0395	0.0033039473928511143
linear_l2	benchmark_id=subckt_0044	0.003254939103499055
linear_l2	benchmark_id=subckt_0146	0.003142298897728324
linear_l2	benchmark_id=subckt_0267	-0.0031175208278000355
linear_l2	benchmark_id=subckt_0128	-0.0031078190077096224
linear_l2	benchmark_id=subckt_0364	-0.003026552265509963
linear_l2	benchmark_id=subckt_0118	0.0029448727145791054
linear_l2	benchmark_id=subckt_0360	-0.002795729786157608
linear_l2	benchmark_id=subckt_0266	-0.002779335016384721
linear_l2	benchmark_id=subckt_0204	-0.0027715968899428844
linear_l2	benchmark_id=subckt_0230	0.002750484738498926
linear_l2	benchmark_id=subckt_0391	0.0026495535857975483
linear_l2	benchmark_id=subckt_0317	0.0026025965344160795
linear_l2	benchmark_id=subckt_0292	0.0024903221055865288
linear_l2	benchmark_id=subckt_0136	-0.0024671161081641912
linear_l2	benchmark_id=subckt_0043	0.002458703937008977
linear_l2	benchmark_id=subckt_0165	-0.0023926016874611378
linear_l2	benchmark_id=__UNK__	0.0022849764209240675
linear_l2	benchmark_id=subckt_0012	-0.0017460868693888187
linear_l2	benchmark_id=subckt_0231	-0.0017425864934921265
linear_l2	benchmark_id=subckt_0069	-0.001564605045132339
linear_l2	candidate_strategy=cached_random	-0.0015505919000133872
linear_l2	benchmark_id=subckt_0021	0.0015348965534940362
linear_l2	benchmark_id=subckt_0373	0.0015264335088431835
linear_l2	benchmark_id=subckt_0015	0.001338249072432518
linear_l2	benchmark_id=subckt_0327	-0.001273165107704699
linear_l2	benchmark_id=subckt_0387	0.0011652284301817417
linear_l2	benchmark_id=subckt_0022	-0.001108842552639544
linear_l2	benchmark_id=subckt_0393	0.001080989371985197
linear_l2	fc_pred__z_group	-0.001042478485032916
linear_l2	benchmark_id=subckt_0193	0.0009538375306874514
linear_l2	benchmark_id=subckt_0168	0.0007062284275889397
linear_l2	benchmark_id=subckt_0275	-0.0006621649954468012
linear_l2	reward_pred__minus_group_mean	0.000607246533036232
linear_l2	benchmark_id=subckt_0145	-0.0002501115668565035
linear_l2	benchmark_id=subckt_0390	-0.0002406552666798234
linear_l2	benchmark_id=subckt_0332	-8.785421960055828e-05
action_type_linear	type=control0	-0.31529366970062256
action_type_linear	type=observe	0.30465155839920044
action_type_linear	candidate_rank__minus_group_mean	0.26272347569465637
action_type_linear	derived_hard_reduction_sa0_pred__minus_group_mean	-0.253683477640152
action_type_linear	derived_hard_reduction_sa0_pred	-0.21989814937114716
action_type_linear	bounded_residual_hybrid_pred__rank_pct_group	0.20438072085380554
action_type_linear	candidate_rank__rank_pct_group	-0.1951076239347458
action_type_linear	type=control1	0.1931781768798828
action_type_linear	hybrid_pred__minus_group_mean	-0.16706468164920807
action_type_linear	derived_hard_count_pre_total_pred	-0.1658211201429367
action_type_linear	derived_hard_count_post_total_pred	-0.16215594112873077
action_type_linear	hard_reduction_sa1_pred	0.15487466752529144
action_type_linear	derived_hard_count_pre_total_pred__rank_pct_group	0.1453639715909958
action_type_linear	derived_hard_count_post_total_pred__minus_group_mean	-0.14506328105926514
action_type_linear	derived_hard_count_pre_total_pred__z_group	-0.14394506812095642
action_type_linear	candidate_rank	0.1310361623764038
action_type_linear	derived_hard_reduction_total_pred__minus_group_mean	-0.1303749978542328
action_type_linear	hard_reduction_total_pred__rank_pct_group	0.12707489728927612
action_type_linear	hybrid_pred	-0.12460736930370331
action_type_linear	hard_reduction_sa0_pred	-0.1208520382642746
action_type_linear	derived_hard_count_pre_total_pred__minus_group_mean	-0.11541034281253815
