variant	feature	weight
linear	candidate_rank__minus_group_mean	0.238461434841156
linear	type=control0	-0.2235405445098877
linear	hybrid_pred__minus_group_mean	-0.19921457767486572
linear	type=observe	0.1855139434337616
linear	derived_hard_reduction_sa0_pred__minus_group_mean	-0.18266649544239044
linear	hard_reduction_sa1_pred	0.18198828399181366
linear	type=control1	-0.1686626374721527
linear	bounded_residual_hybrid_pred__rank_pct_group	0.16329650580883026
linear	hard_reduction_sa0_pred	-0.16296570003032684
linear	derived_hard_reduction_sa0_pred__rank_pct_group	0.16172048449516296
linear	candidate_rank__rank_pct_group	-0.15650585293769836
linear	derived_hard_count_pre_total_pred__z_group	-0.1504441648721695
linear	hybrid_pred	-0.1361209899187088
linear	derived_hard_count_pre_total_pred	-0.13476090133190155
linear	derived_hard_reduction_sa0_pred	-0.1324605792760849
linear	derived_hard_reduction_sa1_pred	-0.12783050537109375
linear	guarded_reward	0.12350377440452576
linear	derived_hard_reduction_total_pred__minus_group_mean	-0.12194450944662094
linear	hard_reduction_total_pred__rank_pct_group	0.11728402227163315
linear	hard_reduction_sa0_pred__z_group	0.1126914918422699
linear	candidate_strategy=cached_stride	-0.10533962398767471
linear	type=__UNK__	-0.10436728596687317
linear	derived_hard_reduction_sa0_pred__z_group	0.09670495986938477
linear	derived_hard_count_post_total_pred	-0.0891251340508461
linear	candidate_strategy=cached_hard_cone	0.08860009908676147
linear	guarded_reward__z_group	0.08373590558767319
linear	hard_reduction_sa1_pred__rank_pct_group	-0.08329512178897858
linear	hard_reduction_sa0_pred__minus_group_mean	-0.08315420150756836
linear	fc_pred__rank_pct_group	-0.08194910734891891
linear	hard_reduction_sa0_pred__rank_pct_group	0.08060649037361145
linear	derived_hard_reduction_hybrid_pred__minus_group_mean	-0.07925646752119064
linear	reward_pred__rank_pct_group	-0.0670117661356926
linear	fc_pred	-0.06482135504484177
linear	derived_hard_count_post_total_pred__minus_group_mean	-0.06372255831956863
linear	derived_hard_count_pre_total_pred__minus_group_mean	-0.059846214950084686
linear	hard_reduction_sa1_pred__minus_group_mean	0.05820332467556
linear	derived_hard_reduction_hybrid_pred__z_group	-0.05039616674184799
linear	hard_reduction_total_pred__minus_group_mean	-0.04940490424633026
linear	hard_reduction_total_pred__z_group	-0.04807669669389725
linear	derived_hard_reduction_sa1_pred__z_group	-0.048062026500701904
linear	fc_pred__minus_group_mean	0.04733670502901077
linear	candidate_rank__z_group	-0.04642216116189957
linear	fc_pred__z_group	0.04602544754743576
linear	hybrid_pred__z_group	0.04341204836964607
linear	derived_hard_count_pre_total_pred__rank_pct_group	0.04310628026723862
linear	candidate_rank	0.042768169194459915
linear	return_pred	0.040714409202337265
linear	derived_hard_reduction_total_pred	-0.04034537076950073
linear	reward_pred__z_group	0.039627183228731155
linear	derived_hard_reduction_sa1_pred__minus_group_mean	-0.03862655907869339
linear	hybrid_pred__rank_pct_group	-0.038125455379486084
linear	return_pred__z_group	-0.03722802549600601
linear	derived_hard_reduction_hybrid_pred__rank_pct_group	0.03644395247101784
linear	bounded_residual_hybrid_pred	0.03550556302070618
linear	hard_reduction_sa1_pred__z_group	0.035247284919023514
linear	reward_pred	-0.033284276723861694
linear	derived_hard_reduction_total_pred__rank_pct_group	0.03088282234966755
linear	derived_hard_reduction_hybrid_pred	-0.03054077923297882
linear	guarded_reward__minus_group_mean	-0.030110817402601242
linear	bounded_residual_hybrid_pred__minus_group_mean	-0.028653737157583237
linear	guarded_reward__rank_pct_group	0.02605678141117096
linear	candidate_strategy=__UNK__	-0.025657344609498978
linear	return_pred__minus_group_mean	0.021035227924585342
linear	derived_hard_reduction_total_pred__z_group	0.020888661965727806
linear	derived_hard_reduction_sa1_pred__rank_pct_group	-0.01950695738196373
linear	return_pred__rank_pct_group	-0.019336584955453873
linear	derived_hard_count_post_total_pred__rank_pct_group	-0.018035180866718292
linear	bounded_residual_hybrid_pred__z_group	0.013411263935267925
linear	reward_pred__minus_group_mean	-0.00984734296798706
linear	candidate_strategy=cached_random	0.0027788751758635044
linear	derived_hard_count_post_total_pred__z_group	0.002267231699079275
linear	hard_reduction_total_pred	0.0013160672970116138
linear_l2	candidate_rank__minus_group_mean	0.2380640208721161
linear_l2	type=control0	-0.22346025705337524
linear_l2	hybrid_pred__minus_group_mean	-0.19878089427947998
linear_l2	type=observe	0.1855059415102005
linear_l2	derived_hard_reduction_sa0_pred__minus_group_mean	-0.18251894414424896
linear_l2	hard_reduction_sa1_pred	0.1804245263338089
linear_l2	type=control1	-0.1686495691537857
linear_l2	bounded_residual_hybrid_pred__rank_pct_group	0.1631791889667511
linear_l2	hard_reduction_sa0_pred	-0.16220571100711823
linear_l2	derived_hard_reduction_sa0_pred__rank_pct_group	0.16145484149456024
linear_l2	candidate_rank__rank_pct_group	-0.15625016391277313
linear_l2	derived_hard_count_pre_total_pred__z_group	-0.14960378408432007
linear_l2	hybrid_pred	-0.1351289600133896
linear_l2	derived_hard_reduction_sa0_pred	-0.13207294046878815
linear_l2	derived_hard_reduction_sa1_pred	-0.127287819981575
linear_l2	guarded_reward	0.12262766063213348
linear_l2	derived_hard_reduction_total_pred__minus_group_mean	-0.12187498062849045
linear_l2	hard_reduction_total_pred__rank_pct_group	0.11705302447080612
linear_l2	hard_reduction_sa0_pred__z_group	0.11251643300056458
linear_l2	derived_hard_reduction_sa0_pred__z_group	0.0965452790260315
linear_l2	derived_hard_count_post_total_pred	-0.0863153412938118
linear_l2	guarded_reward__z_group	0.08348961174488068
linear_l2	hard_reduction_sa0_pred__minus_group_mean	-0.08308087289333344
