step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N1180,control1,2.101334571838379,5.264401639699936,4.357479095458984,1.2575908744335176,3.4218610658049586,2.101334571838379,1.1803297996520996,5.497437435388565,5.094314384460449,0.011803297996520997,0.389004111289978,1.4509775638580322,1.1273107528686523,1.988364577293396,0.11140959709882736,0.13979606330394745,0.08302313089370728,1.1803297996520996,5.641316707730294,0.1392068713903427,0.14301693439483643,0.14242301881313324,98506.4296875,39555.23828125,58951.19140625,104098.84375,42899.66796875,61199.1796875,-0.05677207186818123,-0.08455086499452591,-0.03813304379582405,-5.677207186818123,16.551994502544403,4.047695742249489,14.578513979911804,3.9258273702859876,4.2573907554149635,4.718984591662884,5.264401639699936,5.264401639699936,5.264401639699936,greedy,5.264401639699936,0.0,hard_fault_cluster,,False
2,N2081,observe,2.5120136737823486,6.732383960485458,3.7956071257591244,1.5230070292949676,4.376049574315548,2.5120136737823486,1.4036985635757446,5.470102413892746,3.293147349357605,0.014036985635757447,0.3568046987056732,3.7688724994659424,1.7768683433532715,3.580653190612793,0.03012561798095703,0.052684977650642395,0.0075662583112716675,1.4036985635757446,5.008829247951508,0.16290390491485596,0.17579378187656403,0.15993186831474304,104103.734375,42906.59375,61197.140625,104196.6640625,43411.6875,60784.9765625,-0.0008926643058657646,-0.01177193783223629,0.006735021714121103,-0.08926643058657646,21.462961554527283,5.491349492073059,17.583533257246017,4.449632312059403,4.500364077091217,3.572933847755194,6.732383960485458,11.996785600185394,11.996785600185394,greedy,6.732383960485458,0.0,hard_fault_cluster,,False
3,N2076,observe,1.9384108781814575,4.852318519800901,2.964227211475372,0.9778776393830775,3.154007037870586,1.9384108781814575,1.2237575054168701,3.5940672481805085,2.2041080355644223,0.012237575054168701,0.3196543753147125,3.768969774246216,1.5812206268310547,3.5475683212280273,0.019306287169456482,0.04042463004589081,-0.0018120557069778442,1.2237575054168701,3.343538240939379,0.11324040591716766,0.12630878388881683,0.10462921857833862,104196.640625,43411.69140625,60784.953125,104836.640625,44004.84375,60831.79296875,-0.006142232567071915,-0.01366342417895794,-0.0007705828757025301,-0.6142232567071915,16.316767871379852,6.599735918343067,12.572222411632538,5.2202273276448246,3.3983593642711636,2.7519699349999427,4.852318519800901,16.849104119986293,16.849104119986293,greedy,4.852318519800901,0.0,hard_fault_cluster,,False
4,N1986,observe,1.1925535202026367,5.209830135703087,3.391748332977295,0.8094355028867721,3.386389588207007,1.1925535202026367,1.0334954261779785,3.2721956366300584,1.737817072868347,0.010334954261779786,0.3061060309410095,3.326524019241333,1.279463529586792,3.1288390159606934,-0.023440822958946228,0.010203197598457336,-0.05708484351634979,1.0334954261779785,3.1053233432769773,0.08710822463035583,0.1170232743024826,0.0819154605269432,104836.203125,44004.47265625,60831.734375,105795.4609375,44749.484375,61045.9765625,-0.009150062687695026,-0.016930364072322845,-0.0035218819975852966,-0.9150062687695026,13.070841908454895,5.736259365081787,9.800827324390411,6.032473945617675,3.5891239404678346,2.6509588082879785,5.209830135703087,22.05893425568938,22.05893425568938,greedy,5.209830135703087,0.0,hard_fault_cluster,,False
5,N2080,observe,1.6057281494140625,6.267006909847259,3.3183053016662596,1.6058100342750548,4.073554491400719,1.6057281494140625,1.1231673955917358,5.973544454574585,3.5518720149993896,0.011231673955917358,0.3342767357826233,3.7752273082733154,1.5273813009262085,3.561291456222534,-0.020166538655757904,-0.026980295777320862,-0.013352781534194946,1.1231673955917358,5.599077644348145,0.09127841144800186,0.11755433678627014,0.06551404297351837,105795.7890625,44749.84375,61045.9453125,105469.5859375,44503.921875,60965.6640625,0.003083328017964959,0.005495480261743069,0.0013150955783203244,0.3083328017964959,14.026235848665237,7.0441222620010375,10.352439820766449,7.0441222620010375,4.740664756298065,3.5382197274267675,6.267006909847259,28.32594116553664,28.32594116553664,greedy,6.267006909847259,0.0,hard_fault_cluster,,False
6,N2075,observe,1.7507010698318481,7.396111248135567,5.135136318206786,1.5909700208902355,4.807472311288119,1.7507010698318481,1.099698543548584,6.155067733228206,3.9745897293090815,0.01099698543548584,0.34753212332725525,4.048409461975098,1.5778002738952637,3.8034207820892334,-0.003422774374485016,-0.02108563482761383,0.014240086078643799,1.099698543548584,5.704733075201512,0.07941167801618576,0.10368028283119202,0.04943487420678139,105469.5703125,44503.9453125,60965.625,105333.1484375,44460.51171875,60872.63671875,0.0012934714322909713,0.0009759492822922766,0.0015252575976774096,0.12934714322909713,13.089275807142258,5.466991170942784,9.228194802999496,4.933143362104893,4.9491056412458425,4.38319094374776,7.396111248135567,35.72205241367221,35.72205241367221,greedy,7.396111248135567,0.0,hard_fault_cluster,,False
7,N2104,control1,1.4716007709503174,4.849882035255432,2.3561855792999267,1.524244132041931,3.152423322916031,1.4716007709503174,1.2298868894577026,5.838861364126205,3.9157564282417296,0.012298868894577026,0.33722198009490967,4.0686774253845215,1.5513436794281006,3.808197498321533,-0.06752230226993561,-0.09169532358646393,-0.04334928095340729,1.2298868894577026,5.613597214818,0.04235050082206726,0.08361990749835968,0.010836910456418991,105333.2109375,44460.6796875,60872.53125,103345.96875,42743.46875,60602.5,0.018866244703531265,0.0386231355369091,0.004436011426150799,1.8866244703531265,9.53361439704895,0.9645903342962264,5.559691160917282,-0.5540832048654557,3.648822051286697,2.8196519783139227,4.849882035255432,40.57193444892764,40.57193444892764,greedy,4.849882035255432,0.0,hard_fault_cluster,,False
8,N2078,observe,1.1613632440567017,3.250200134217739,2.737300753593445,0.5277282187342643,2.1126300872415307,1.1613632440567017,1.0739182233810425,1.6379536791145801,0.9686011672019957,0.010739182233810424,0.323213130235672,3.5888917446136475,1.2461289167404175,3.360914707183838,-0.05041143298149109,-0.07017292082309723,-0.03064994513988495,1.0739182233810425,1.3546075251698493,0.05719711631536484,0.08674229681491852,0.024755042046308517,103345.84375,42743.203125,60602.64453125,104289.25,43326.28125,60962.97265625,-0.009128632955253124,-0.013641423545777798,-0.005945749115198851,-0.9128632955253124,10.382521599531174,2.7864835387468334,6.885414123535156,3.2362236863374707,1.8216961979866026,1.9038871343433856,3.250200134217739,43.822134583145385,43.822134583145385,greedy,3.250200134217739,0.0,hard_fault_cluster,,False
9,N2092,observe,1.6609654426574707,7.281155677139759,5.999999999999999,1.1970990672707558,4.732751190140844,1.6609654426574707,1.153682827949524,4.079008450061083,3.1511327028274536,0.011536828279495238,0.3440471589565277,4.24759578704834,1.5792368650436401,4.200292110443115,-0.032843466848134995,-0.04992397129535675,-0.01576296240091324,1.153682827949524,3.4880403199791905,0.04747522622346878,0.07729871571063995,0.01610889658331871,104289.234375,43326.3203125,60962.91015625,103739.265625,43135.296875,60603.96875,0.005273494869470596,0.004408946726471186,0.005887865554541349,0.5273494869470596,10.148801237344742,3.7433242867887024,6.097842276096344,2.546108968108893,3.8935731366276745,4.196543669775129,7.281155677139759,51.10329026028514,51.10329026028514,greedy,7.281155677139759,0.0,hard_fault_cluster,,False
10,N2079,observe,1.2198591232299805,4.4297272926568985,4.7690692901611325,0.3896788579225538,2.8793227402269843,1.2198591232299805,0.9361417889595032,-0.5089181850850584,-0.40907427072525027,0.009361417889595032,0.3468262255191803,3.947582244873047,1.3515307903289795,3.8134307861328125,-0.01757555454969406,-0.046661630272865295,0.011510521173477173,0.9361417889595032,-1.4704210475087165,0.04656156897544861,0.06061236560344696,0.012057501822710037,103739.296875,43135.265625,60604.02734375,104134.875,43269.7890625,60865.0859375,-0.003813194576650858,-0.003118641674518585,-0.004307611379772425,-0.3813194576650858,9.539880931377411,0.8974793754518032,5.877087906002998,-1.204358796030283,0.620287424325943,1.6346723818778992,4.4297272926568985,55.53301755294204,55.53301755294204,greedy,4.4297272926568985,0.0,hard_fault_cluster,,False
