epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_same_type_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_same_type_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.6251450051112395,0.35062387193504135,0.1269008050623693,0.009511238723797234,0.09844750734536271,0.0,0.2822135208468688,1.0,0.045796800600854976,0.009748359291973574,1.0536165233230756,1.0536165233230756,0.0,1.9428027484441133,0.9167892382844768,1.50142870608129,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.3359635643661022,0.34741996228694916,0.11859972327947617,0.00872821407392621,0.07766623198986053,0.0,0.2663757860660553,1.0,0.0455989383161068,0.009788421029224992,0.8545816111494787,0.8545816111494787,0.0,1.5449217940189555,0.44266857746988536,1.4072479963302613,0.0,1.0,1.0,5.0
2,2,0.7113483457237875,0.40164560393283244,0.1276773384919292,0.009465983296793542,0.10290782496725258,0.0,0.28927620657180486,1.0,0.045027779856402626,0.021662158274825503,1.1919633647135732,1.1919633647135732,0.0,3.6461420640070603,0.9951561475122856,2.28509282718771,0.0,1.0,2.0,0.2974604179984645,0.3698866924172954,0.4899645086966063,0.519584416558868,2.161390235549525,0.0,0.0,0.31579198178492096,0.0,296.1578947368421,134.6315789473684,8.0,0.26666666666666666,19.0,19.0,0.5367411364801228,0.37850451916456224,0.11918408200144767,0.008565733907744288,0.0792420681566,0.0,0.26978314071893694,1.0,0.04730501752346754,0.08748543300316669,1.0897038392020477,1.0897038392020477,0.0,3.4962354847230017,0.7323892111147415,1.946151897870004,0.0,1.0,2.0,5.0
3,4,0.9857245240985465,0.4493727003665347,0.12874302219011283,0.009217396985102249,0.10496520050066083,0.0,0.2943437121024257,1.0,0.044598381304623264,0.03298108402697452,1.2274751162830828,1.2274751162830828,0.0,7.131143545852099,1.1978526547067496,5.340258061139091,0.0,1.0,4.0,0.6118746603790083,0.3961512383661772,0.48527524659508153,0.47734027159841436,2.2445130787397685,0.0,0.0,0.39553873084093394,0.0,276.7894736842105,101.42105263157895,8.0,0.5333333333333333,19.0,19.0,0.5846518422185909,0.4351301990449429,0.11838503070175647,0.008455687621608376,0.082556445710361,0.0,0.27508070394396783,1.0,0.049622472887858746,0.08597568059558398,1.136678458613278,1.136678458613278,0.0,5.759950650855899,0.646974272859552,3.929345009103417,0.0,1.0,4.0,5.0
4,8,1.2860403976688088,0.5443435837759784,0.13025838651351238,0.00933048390709844,0.11139841637525119,0.0,0.2982515131956653,1.0,0.04251777263064133,0.03805824241410511,1.4904390486243708,1.4904390486243708,0.0,12.441966901255988,1.2597041894993566,10.60435721967341,0.0,1.0,8.0,0.9382051794152511,0.41018681306588023,0.5124820125730414,0.4533402613903347,2.215828675972788,0.0,0.0,0.3747283510471645,0.0,287.4736842105263,132.89473684210526,8.0,0.8000000000000004,19.0,19.0,0.6300438058824511,0.4944141171872616,0.11802917458117008,0.008741530927363784,0.08815223658457398,0.0,0.28446526229381563,1.0,0.0500530211487785,0.04697028492864774,1.0556608250582031,1.0556608250582031,0.0,8.628628044389188,0.5022643845725725,6.573703078047766,0.0,1.0,8.0,5.0
5,16,1.7458348956754075,0.5996133782655785,0.13433019343861624,0.009148386075761855,0.12237441741959437,0.0,0.30546394706164537,1.0,0.041940712835639715,0.03268319159572361,1.4952344079367896,1.4952344079367896,0.0,18.66539039200063,1.4558599446144111,17.44637759111969,0.0,1.0,16.0,0.9303922935536033,0.3825548895095524,0.5090160150276987,0.4271915280505231,2.338827509629099,0.0,0.0,0.36866752097481176,0.0,265.10526315789474,105.73684210526316,8.0,0.8000000000000004,19.0,19.0,0.764492937855539,0.5493013495579362,0.12131532542407512,0.009403791424119845,0.09150608996860683,0.0,0.28950374722480776,1.0,0.05051180784357712,0.03322660952858314,0.9647691860558097,0.9647691860558097,0.0,11.593458200013265,0.468875676375319,9.663350299723243,0.0,1.0,16.0,5.0
6,32,2.7090510298900257,0.6732232684367582,0.14119620387148307,0.009122235053310808,0.14580184335844884,0.0,0.3162361388094723,1.0,0.04348316435444806,0.02321411222408337,2.003548006961993,2.003548006961993,0.0,31.710236349195373,1.9022639752599921,31.35385157603933,0.0,1.0,32.0,0.9022958059059946,0.37896217327368886,0.4881771222541207,0.5119768820310894,2.189012314143934,0.0,0.0,0.34782726435284866,0.0,265.8421052631579,98.05263157894737,8.0,0.8000000000000004,19.0,19.0,2.353300517599564,0.6207568078301847,0.12729382333345712,0.010150497136055491,0.09545950198080391,0.0,0.29199797390028837,1.0,0.05493409233749844,0.021084612343281607,1.578395488667661,1.578395488667661,0.0,31.03960655514902,1.4233022122946095,29.986382627341662,0.0,1.0,32.0,5.0
7,32,2.6639778098026334,0.6907041731143468,0.14009271152807692,0.009344568917999584,0.14746480353642255,0.0,0.3154078060516009,1.0,0.04198081370161258,0.023247751710162697,1.8136198973734707,1.8136198973734707,0.0,31.71359378276938,1.8308389303913568,31.309487625820065,0.0,1.0,32.0,0.9162266223054183,0.4021372638250652,0.5004797907252061,0.35639821149800954,2.241198922458448,0.0,0.0,0.3667629321939067,0.0,265.5263157894737,109.15789473684211,8.0,0.8000000000000004,19.0,19.0,2.355989572883118,0.6207568058744073,0.12729382286779584,0.010150496993446723,0.09545950128231198,0.0,0.29199797390028837,1.0,0.054934092058101666,0.021084612291008397,1.578395484755538,1.578395484755538,0.0,31.039606554369858,1.4284626283395994,29.978238703758688,0.0,1.0,32.0,5.0
8,32,2.6773260759536672,0.6805294781531158,0.14131970077409947,0.00926549164547683,0.15014096705463567,0.0,0.3158540525228569,1.0,0.042189333676728176,0.023220704767753824,1.9553237938056771,1.9553237938056771,0.0,31.7170817779846,1.8536591053765954,31.30261095266829,0.0,1.0,32.0,0.9296209435713919,0.3952903465220803,0.5096338108966225,0.5278741160505697,2.2002138401332654,0.0,0.0,0.3430660688563397,0.0,285.57894736842104,126.78947368421052,8.0,0.8000000000000004,19.0,19.0,2.351467543086619,0.6207568032667041,0.12729382328689098,0.010150497051654384,0.09545950202737004,0.0,0.2919979757629335,1.0,0.05493409268674441,0.021084612306822237,1.5783954513860863,1.5783954513860863,0.0,31.039606553754858,1.421932676985375,29.96615738393739,0.0,1.0,32.0,5.0
9,32,2.7159770817946227,0.6734751712922987,0.14109416574386782,0.00910011694711437,0.14626814931704613,0.0,0.31379238481780414,1.0,0.04324604284729024,0.023560560741577325,2.0025634702678303,2.0025634702678303,0.0,31.71072293887722,1.915464940037183,31.333960840912034,0.0,1.0,32.0,0.8670638234991777,0.36472560151627187,0.4710746987869865,0.3440406510704442,2.235074469917699,0.0,0.0,0.33286495271481964,0.0,290.0,111.3157894736842,8.0,0.8000000000000004,19.0,19.0,2.3684687922650483,0.6207568031735718,0.12729382333345712,0.010150496975984424,0.09545950007159262,0.0,0.29199797390028837,1.0,0.054934092360781506,0.02108461232363652,1.5783954522671138,1.5783954522671138,0.0,31.0396065612219,1.4508269095261768,29.95945179107366,0.0,1.0,32.0,5.0
10,32,2.700829772519156,0.6809851659804975,0.1411439842593513,0.00919470029628811,0.14943137403430515,0.0,0.3154442024319188,1.0,0.04191140434092009,0.02330382241225948,1.946172499735169,1.946172499735169,0.0,31.71207073073327,1.8914713579950384,31.31893763652696,0.0,1.0,32.0,0.8549907991760656,0.3507473327611622,0.4552210334100221,0.4407432863586827,2.226712553124679,0.0,0.0,0.32463132550841883,0.0,285.36842105263156,141.3684210526316,8.0,0.8000000000000004,19.0,19.0,2.372588159900624,0.6207568030804396,0.12729382324032484,0.01015049708657898,0.09545950151514263,0.0,0.29199797390028837,1.0,0.054934092453913765,0.021084612293350347,1.5783954927827382,1.5783954927827382,0.0,31.0396065524641,1.4586620344398398,29.947817440525977,0.0,1.0,32.0,5.0
