# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-07-18T02:23:00+08:00	-	-5.272699800	0.0	pass	10 focused tests	baseline	uniform reward c48 exact-legal baseline
1	2026-07-18T03:00:00+08:00	-	-0.658750600	4.613949200	pass	3431/3431 exact legal	keep	uniform v5 q-context c48 prior seeds1024
2	2026-07-18T03:00:00+08:00	-	-3.487686000	-2.828935400	pass	3431/3431 exact legal	discard	uniform action-type calibrated q-context
3	2026-07-18T03:00:00+08:00	-	-4.566934000	-3.908183400	pass	3431/3431 exact legal	discard	uniform multi-head consensus type-context
