split	checkpoint_name	benchmark_id	state_id	candidate_strategy	rows	positive	zero	negative	negative_rate	control_negative	observe_negative	best_action	best_delta_tc	worst_action	worst_delta_tc	mean_delta_tc
topup		subckt_0002	initial	cached_hard_cone	36	0	36	0	0.0	0	0	CO2::control0	0.0	CO2::control0	0.0	0.0
topup		subckt_0002	initial	cached_random	36	0	36	0	0.0	0	0	__aig_not_273::control0	0.0	__aig_not_273::control0	0.0	0.0
topup		subckt_0002	initial	cached_stride	36	0	36	0	0.0	0	0	UC_27::control0	0.0	UC_27::control0	0.0	0.0
topup		subckt_0003	initial	cached_hard_cone	36	0	36	0	0.0	0	0	815::control0	0.0	815::control0	0.0	0.0
topup		subckt_0003	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_408::control0	0.0	__aig_and_408::control0	0.0	0.0
topup		subckt_0003	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_327::control0	0.0	__buf_split_327::control0	0.0	0.0
topup		subckt_0005	initial	cached_hard_cone	36	0	36	0	0.0	0	0	U402::control0	0.0	U402::control0	0.0	0.0
topup		subckt_0005	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_612::control0	0.0	__buf_split_612::control0	0.0	0.0
topup		subckt_0005	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_564::control0	0.0	__buf_split_564::control0	0.0	0.0
topup		subckt_0007	initial	cached_hard_cone	36	0	36	0	0.0	0	0	730::control0	0.0	730::control0	0.0	0.0
topup		subckt_0007	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_646::control0	0.0	__buf_split_646::control0	0.0	0.0
topup		subckt_0007	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_345::control0	0.0	__buf_split_345::control0	0.0	0.0
topup		subckt_0009	initial	cached_hard_cone	36	0	36	0	0.0	0	0	SUB_60_U68::control0	0.0	SUB_60_U68::control0	0.0	0.0
topup		subckt_0009	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_329::control0	0.0	__buf_split_329::control0	0.0	0.0
topup		subckt_0009	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_1128::control0	0.0	__buf_split_1128::control0	0.0	0.0
topup		subckt_0014	initial	cached_hard_cone	36	0	36	0	0.0	0	0	G250::control0	0.0	G250::control0	0.0	0.0
topup		subckt_0014	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_451::control0	0.0	__aig_and_451::control0	0.0	0.0
topup		subckt_0014	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_340::control0	0.0	__buf_split_340::control0	0.0	0.0
topup		subckt_0015	initial	cached_hard_cone	36	36	0	0	0.0	0	0	__aig_not_60449::observe	2.999999999997449e-05	__aig_not_60449::control0	1.999999999990898e-05	2.3055555555484553e-05
topup		subckt_0015	initial	cached_random	36	36	0	0	0.0	0	0	__aig_and_61887::observe	2.999999999997449e-05	__aig_and_61887::control0	1.999999999990898e-05	2.3055555555484553e-05
topup		subckt_0015	initial	cached_stride	36	35	0	1	0.027777777777777776	1	0	__aig_not_63250::control0	0.0012600000000000389	__aig_not_63250::control1	-0.0012300000000000644	2.305555555549072e-05
topup		subckt_0022	initial	cached_hard_cone	36	34	0	2	0.05555555555555555	1	1	__aig_and_21015::control1	0.0020699999999999052	__aig_not_21024::observe	-0.0040800000000000836	-0.00010222222222236454
topup		subckt_0022	initial	cached_random	36	36	0	0	0.0	0	0	__aig_not_20497::observe	1.999999999990898e-05	__aig_not_20497::control0	9.999999999843467e-06	1.305555555541904e-05
topup		subckt_0022	initial	cached_stride	36	35	0	1	0.027777777777777776	1	0	__buf_split_14625::observe	1.999999999990898e-05	__buf_split_14625::control0	-0.0020500000000001073	-4.416666666680181e-05
topup		subckt_0023	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n5056_::control0	0.0	new_n5056_::control0	0.0	0.0
topup		subckt_0023	initial	cached_random	36	0	36	0	0.0	0	0	new_n6341_::control0	0.0	new_n6341_::control0	0.0	0.0
topup		subckt_0023	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_3601::control0	0.0	__buf_split_3601::control0	0.0	0.0
topup		subckt_0025	initial	cached_hard_cone	36	0	36	0	0.0	0	0	2789::control0	0.0	2789::control0	0.0	0.0
topup		subckt_0025	initial	cached_random	36	0	36	0	0.0	0	0	2061::control0	0.0	2061::control0	0.0	0.0
topup		subckt_0025	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_659::control0	0.0	__buf_split_659::control0	0.0	0.0
topup		subckt_0026	initial	cached_hard_cone	36	0	36	0	0.0	0	0	2789::control0	0.0	2789::control0	0.0	0.0
topup		subckt_0026	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_536::control0	0.0	__aig_and_536::control0	0.0	0.0
topup		subckt_0026	initial	cached_stride	36	0	36	0	0.0	0	0	2789::control0	0.0	2789::control0	0.0	0.0
topup		subckt_0029	initial	cached_hard_cone	36	0	36	0	0.0	0	0	__aig_not_644::control0	0.0	__aig_not_644::control0	0.0	0.0
topup		subckt_0029	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_753::control0	0.0	__aig_and_753::control0	0.0	0.0
topup		subckt_0029	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_60::control0	0.0	__buf_split_60::control0	0.0	0.0
topup		subckt_0030	initial	cached_hard_cone	36	0	36	0	0.0	0	0	__aig_not_550::control0	0.0	__aig_not_550::control0	0.0	0.0
topup		subckt_0030	initial	cached_random	36	0	36	0	0.0	0	0	__aig_not_549::control0	0.0	__aig_not_549::control0	0.0	0.0
topup		subckt_0030	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_203::control0	0.0	__buf_split_203::control0	0.0	0.0
topup		subckt_0031	initial	cached_hard_cone	36	0	36	0	0.0	0	0	736::control0	0.0	736::control0	0.0	0.0
topup		subckt_0031	initial	cached_random	36	0	36	0	0.0	0	0	305::control0	0.0	305::control0	0.0	0.0
topup		subckt_0031	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_349::control0	0.0	__buf_split_349::control0	0.0	0.0
topup		subckt_0033	initial	cached_hard_cone	36	0	36	0	0.0	0	0	U260::control0	0.0	U260::control0	0.0	0.0
topup		subckt_0033	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_1::control0	0.0	__aig_and_1::control0	0.0	0.0
topup		subckt_0033	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_105::control0	0.0	__buf_split_105::control0	0.0	0.0
topup		subckt_0034	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n13755_::control0	0.0	new_n13755_::control0	0.0	0.0
topup		subckt_0034	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_519::control0	0.0	__buf_split_519::control0	0.0	0.0
topup		subckt_0034	initial	cached_stride	36	0	36	0	0.0	0	0	new_n13700_::control0	0.0	new_n13700_::control0	0.0	0.0
topup		subckt_0035	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n1066_::control0	0.0	new_n1066_::control0	0.0	0.0
topup		subckt_0035	initial	cached_random	36	0	36	0	0.0	0	0	new_n511_::control0	0.0	new_n511_::control0	0.0	0.0
topup		subckt_0035	initial	cached_stride	36	0	36	0	0.0	0	0	new_n1066_::control0	0.0	new_n1066_::control0	0.0	0.0
topup		subckt_0036	initial	cached_hard_cone	36	0	36	0	0.0	0	0	609::control0	0.0	609::control0	0.0	0.0
topup		subckt_0036	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_424::control0	0.0	__buf_split_424::control0	0.0	0.0
topup		subckt_0036	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_79::control0	0.0	__buf_split_79::control0	0.0	0.0
topup		subckt_0037	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n3002::control0	0.0	new_n3002::control0	0.0	0.0
topup		subckt_0037	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_336::control0	0.0	__buf_split_336::control0	0.0	0.0
topup		subckt_0037	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_3618::control0	0.0	__buf_split_3618::control0	0.0	0.0
topup		subckt_0039	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n7915_::control0	0.0	new_n7915_::control0	0.0	0.0
topup		subckt_0039	initial	cached_random	36	0	36	0	0.0	0	0	new_n8812_::control0	0.0	new_n8812_::control0	0.0	0.0
topup		subckt_0039	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_5167::control0	0.0	__buf_split_5167::control0	0.0	0.0
topup		subckt_0042	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n5954_::control0	0.0	new_n5954_::control0	0.0	0.0
topup		subckt_0042	initial	cached_random	36	0	36	0	0.0	0	0	new_n4826_::control0	0.0	new_n4826_::control0	0.0	0.0
topup		subckt_0042	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_4237::control0	0.0	__buf_split_4237::control0	0.0	0.0
topup		subckt_0047	initial	cached_hard_cone	36	0	36	0	0.0	0	0	__aig_and_788::control0	0.0	__aig_and_788::control0	0.0	0.0
topup		subckt_0047	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_4522::control0	0.0	__buf_split_4522::control0	0.0	0.0
topup		subckt_0047	initial	cached_stride	36	0	36	0	0.0	0	0	new_n599::control0	0.0	new_n599::control0	0.0	0.0
topup		subckt_0048	initial	cached_hard_cone	36	12	0	24	0.6666666666666666	24	0	ADD_65_U27::observe	0.006170000000000009	U504::control0	-0.03651000000000004	-0.024122777777777812
topup		subckt_0048	initial	cached_random	36	11	0	25	0.6944444444444444	24	1	__aig_and_357::observe	0.006170000000000009	__aig_and_15::control0	-0.03651000000000004	-0.024457500000000035
topup		subckt_0048	initial	cached_stride	36	12	0	24	0.6666666666666666	24	0	__aig_and_375::observe	0.006170000000000009	U274::control0	-0.03651000000000004	-0.023623333333333364
topup		subckt_0051	initial	cached_hard_cone	36	0	36	0	0.0	0	0	__aig_not_542::control0	0.0	__aig_not_542::control0	0.0	0.0
topup		subckt_0051	initial	cached_random	36	0	36	0	0.0	0	0	705::control0	0.0	705::control0	0.0	0.0
topup		subckt_0051	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_231::control0	0.0	__buf_split_231::control0	0.0	0.0
topup		subckt_0052	initial	cached_hard_cone	36	0	36	0	0.0	0	0	__aig_not_771::control0	0.0	__aig_not_771::control0	0.0	0.0
topup		subckt_0052	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_355::control0	0.0	__buf_split_355::control0	0.0	0.0
topup		subckt_0052	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_331::control0	0.0	__buf_split_331::control0	0.0	0.0
topup		subckt_0054	initial	cached_hard_cone	36	0	36	0	0.0	0	0	new_n1732_::control0	0.0	new_n1732_::control0	0.0	0.0
topup		subckt_0054	initial	cached_random	36	0	36	0	0.0	0	0	new_n4484_::control0	0.0	new_n4484_::control0	0.0	0.0
topup		subckt_0054	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_1344::control0	0.0	__buf_split_1344::control0	0.0	0.0
topup		subckt_0057	initial	cached_hard_cone	36	0	36	0	0.0	0	0	U468::control0	0.0	U468::control0	0.0	0.0
topup		subckt_0057	initial	cached_random	36	0	36	0	0.0	0	0	__buf_split_431::control0	0.0	__buf_split_431::control0	0.0	0.0
topup		subckt_0057	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_487::control0	0.0	__buf_split_487::control0	0.0	0.0
topup		subckt_0058	initial	cached_hard_cone	36	0	36	0	0.0	0	0	__aig_not_241::control0	0.0	__aig_not_241::control0	0.0	0.0
topup		subckt_0058	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_6069::control0	0.0	__aig_and_6069::control0	0.0	0.0
topup		subckt_0058	initial	cached_stride	36	0	36	0	0.0	0	0	new_n397::control0	0.0	new_n397::control0	0.0	0.0
topup		subckt_0059	initial	cached_hard_cone	36	0	36	0	0.0	0	0	748::control0	0.0	748::control0	0.0	0.0
topup		subckt_0059	initial	cached_random	36	0	36	0	0.0	0	0	__aig_and_416::control0	0.0	__aig_and_416::control0	0.0	0.0
topup		subckt_0059	initial	cached_stride	36	0	36	0	0.0	0	0	__buf_split_357::control0	0.0	__buf_split_357::control0	0.0	0.0
topup		subckt_0060	initial	cached_hard_cone	36	0	14	22	0.6111111111111112	21	1	new_n1484_::control0	0.0	new_n9654_::observe	-0.008929999999999993	-0.0020755555555555835
