split	bucket	value	rows	groups	positive	zero	negative	negative_rate	mean_delta_tc	min_delta_tc	max_delta_tc
topup	candidate_strategy	cached_hard_cone	6912	192	1498	5197	217	0.03139467592592592	-5.748553240741099e-05	-0.05152000000000001	0.24634
topup	candidate_strategy	cached_random	6912	192	1515	5184	213	0.030815972222222224	2.809895833333041e-05	-0.04359000000000002	0.28889
topup	candidate_strategy	cached_stride	6912	192	1510	5186	216	0.03125	2.293981481481177e-05	-0.05152000000000001	0.27825
