checkpoint	score_field	expanded_spearman	expanded_negative_top1	expanded_top1_regret	transfer_spearman	transfer_negative_top1	transfer_top1_regret	hard_macro_f1_tuned	hard_reduction_score	predictive_score
incumbent	hybrid_pred	0.031476491394793325	0.375	0.035482708333333335	0.32739827342251004	0.16666666666666666	0.012551666666666702	0.7948049980095285	0.7986198983708164	0.8201470045866093
incumbent	hard_reduction_total_pred	0.04403395544828171	0.375	0.035482708333333335	0.3244427102285325	0.16666666666666666	0.012551666666666702	0.7948049980095285	0.7986198983708164	0.8201470045866093
incumbent	bounded_residual_hybrid_pred	0.042002126329435306	0.375	0.035482708333333335	0.32483519949881423	0.16666666666666666	0.012551666666666702	0.7948049980095285	0.7986198983708164	0.8201470045866093
scratch_0p00	hybrid_pred	0.008166088582361276	0.5	0.033700833333333326	-0.05902805557035046	0.5	0.020396666666666712	0.16530085570697697	0.9038691827445291	0.48641370912852944
scratch_0p00	hard_reduction_total_pred	0.023336440565045923	0.5208333333333334	0.033702083333333334	-0.061165088688689494	0.5	0.020251666666666706	0.16530085570697697	0.9038691827445291	0.48641370912852944
scratch_0p00	bounded_residual_hybrid_pred	0.02033936098320969	0.5208333333333334	0.033702083333333334	-0.061984459503967214	0.5	0.020396666666666712	0.16530085570697697	0.9038691827445291	0.48641370912852944
scratch_0p05	hybrid_pred	-0.07245963309613769	0.5208333333333334	0.029890833333333325	-0.09555186327994379	0.5	0.021918333333333356	0.2138455962305183	0.8973290479552816	0.44905241734144974
scratch_0p05	hard_reduction_total_pred	-0.06959760348874434	0.5208333333333334	0.03133145833333332	-0.09529629798642675	0.5	0.021918333333333356	0.2138455962305183	0.8973290479552816	0.44905241734144974
scratch_0p05	bounded_residual_hybrid_pred	-0.0696018837415247	0.5208333333333334	0.03133145833333332	-0.09559906646320086	0.5	0.021918333333333356	0.2138455962305183	0.8973290479552816	0.44905241734144974
scratch_0p10	hybrid_pred	-0.08007139417423978	0.5625	0.03128083333333332	0.09930186583707838	0.3333333333333333	0.010468333333333357	0.16091456374731983	0.9217168926043087	0.4975858117998434
scratch_0p10	hard_reduction_total_pred	-0.08252791461164795	0.5625	0.03128083333333332	0.09979488860327435	0.3333333333333333	0.010468333333333357	0.16091456374731983	0.9217168926043087	0.4975858117998434
scratch_0p10	bounded_residual_hybrid_pred	-0.08090520748347131	0.5625	0.03128083333333332	0.0987740169569087	0.3333333333333333	0.010468333333333357	0.16091456374731983	0.9217168926043087	0.4975858117998434
scratch_0p20	hybrid_pred	0.013979999258789294	0.4166666666666667	0.024583124999999997	0.40266716856359763	0.16666666666666666	0.012670000000000015	0.18765843289265785	0.9028284032974625	0.499720263511231
scratch_0p20	hard_reduction_total_pred	0.0168324590577836	0.4375	0.025088749999999993	0.40312169897261835	0.16666666666666666	0.012670000000000015	0.18765843289265785	0.9028284032974625	0.499720263511231
scratch_0p20	bounded_residual_hybrid_pred	0.01832980937817533	0.4166666666666667	0.024583124999999997	0.40198335670659974	0.16666666666666666	0.012670000000000015	0.18765843289265785	0.9028284032974625	0.499720263511231
