strategy	benchmark_id	budget_requested	steps	max_candidates	total_candidates	first_step_sec	recall_elapsed_sec_sum	wall_elapsed_sec	avg_recall_sec_per_step	avg_recall_sec_per_candidate
hard_fault_cone	iscas99__b21	628	628	96	60288	15.05207009613514	62.285474453121424	62.29430330917239	0.09918069180433348	0.0010331322062951404
hard_fault_cluster	iscas99__b21	628	628	96	60288	63.65500529110432	334.80035924725235	334.8054392877966	0.5331215911580451	0.005553349907896303
heuristic_recall_pool	iscas99__b21	628	628	96	60288	60.565086022019386	863.4600566141307	863.4702603891492	1.3749363958823737	0.014322254123774726
