benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	score_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred
b15_C	initial	cached_stride	1	__buf_split_1	control0	__buf_split_1::control0	ok	-0.003269999999999995	-0.003269999999999995	0	0.47834000000000004	0.47834000000000004	12113	12113		autoresearch/oracle-action-probe-260629-evals-small/evals/b15_C/initial/__buf_split_1__control0	0.2648739218711853	0.002648739218711853	0.2239551991224289	0.2239551991224289	-0.06434640288352966	-5.945811167359352	0.2648739218711853	0.3065983057022095	-0.12485504150390625	-0.01684686355292797
b15_C	initial	cached_stride	2	__buf_split_1	control1	__buf_split_1::control1	ok	-0.002840000000000009	-0.002840000000000009	0	0.47877000000000003	0.47877000000000003	12103	12103		autoresearch/oracle-action-probe-260629-evals-small/evals/b15_C/initial/__buf_split_1__control1	0.2781575322151184	0.002781575322151184	0.23377731442451477	0.23377731442451477	-0.05738551542162895	-5.226616695523262	0.2781575322151184	0.30893218517303467	-0.12495674192905426	-0.015015656128525734
b15_C	initial	cached_stride	3	N9361	control0	N9361::control0	ok	-0.0028000000000000247	-0.0028000000000000247	0	0.47881	0.47881	12102	12102		autoresearch/oracle-action-probe-260629-evals-small/evals/b15_C/initial/N9361__control0	0.30438345670700073	0.0030438345670700073	0.24945855140686035	0.24945855140686035	-0.03621556982398033	-3.067714974284172	0.30438345670700073	0.31869250535964966	-0.11853940784931183	0.017039401456713676
b15_C	initial	cached_stride	4	N9361	control1	N9361::control1	ok	-0.0028000000000000247	-0.0028000000000000247	0	0.47881	0.47881	12102	12102		autoresearch/oracle-action-probe-260629-evals-small/evals/b15_C/initial/N9361__control1	0.3047252297401428	0.0030472522974014284	0.2479255646467209	0.2479255646467209	-0.037057217210531235	-3.1530709266662598	0.3047252297401428	0.31780821084976196	-0.11676645278930664	0.01735391467809677
