line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__aig_and_370 /1 undetected,output,,__aig_and_370,__aig_and_370,1,undetected,__aig_and_370,__aig_and_370,__aig_and_370,sa1,1
2,__aig_not_364->__aig_and_366 /1 undetected,input_edge,__aig_not_364,__aig_and_366,__aig_and_366,1,undetected,__aig_and_366,__aig_and_366,__aig_and_366,sa1,1
3,__aig_not_365 /1 undetected,output,,__aig_not_365,__aig_not_365,1,undetected,__aig_not_365,__aig_not_365,__aig_not_365,sa1,1
4,ADD_65_U16 /1 undetected,output,,ADD_65_U16,ADD_65_U16,1,undetected,ADD_65_U16,ADD_65_U16,ADD_65_U16,sa1,1
