checkpoint	score_field	groups	top1_accuracy	type_accuracy	within_best_type_top1_accuracy	mean_within_best_type_regret_pp	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	mean_same_type_pairwise_accuracy	selected_control0	selected_control1	selected_observe
round7_incumbent	typed_marginal_pred	192	0.24479166666666666	0.640625	0.3697916666666667	0.11505208333333328	0.6643124999999993	0.17347395833333337	0.041666666666666664	0.5345625428000703	0.7678438714999037	0.6355309570221851	9	56	127
round7_incumbent	typed_return_pred	192	0.08333333333333333	0.4895833333333333	0.2864583333333333	0.2638333333333332	0.1711249999999993	0.6666614583333333	0.11458333333333333	0.3204097123025981	0.6632066639732038	0.5822310405643739	33	34	125
round7_incumbent	typed_sa_reduction_total_pred	192	0.203125	0.5989583333333334	0.3177083333333333	0.4271249999999997	0.2784427083333332	0.5593437499999995	0.036458333333333336	0.43270792598355773	0.7096260305863699	0.48897707231040566	2	4	186
moe_experts_within_best_final_horizon	typed_marginal_pred	192	0.24479166666666666	0.640625	0.3645833333333333	0.11505208333333328	0.6660156249999993	0.1717708333333334	0.036458333333333336	0.5366168824371426	0.7687181437396049	0.6340689687180915	10	54	128
moe_experts_within_best_final_horizon	typed_return_pred	192	0.08854166666666667	0.4947916666666667	0.296875	0.26260937499999987	0.1719739583333326	0.6658125000000001	0.109375	0.32968805203164503	0.6681301441583718	0.5879397567994059	32	34	126
moe_experts_within_best_final_horizon	typed_sa_reduction_total_pred	192	0.20833333333333334	0.5989583333333334	0.3229166666666667	0.4271249999999997	0.2784427083333332	0.5593437499999995	0.036458333333333336	0.43274912327475545	0.7096260305863699	0.48897707231040566	2	4	186
moe_experts_within_epoch_010	typed_marginal_pred	192	0.23958333333333334	0.640625	0.359375	0.11505208333333328	0.6660156249999993	0.1717708333333334	0.036458333333333336	0.5366221621626178	0.7687181437396049	0.6340689687180915	10	54	128
moe_experts_within_epoch_010	typed_return_pred	192	0.08854166666666667	0.4947916666666667	0.2916666666666667	0.26260937499999987	0.1719739583333326	0.6658125000000001	0.109375	0.3296401386243848	0.6681301441583718	0.5879397567994059	32	34	126
moe_experts_within_epoch_010	typed_sa_reduction_total_pred	192	0.203125	0.5989583333333334	0.3229166666666667	0.4271249999999997	0.2784427083333332	0.5593437499999995	0.036458333333333336	0.43270792598355773	0.7096260305863699	0.48897707231040566	2	4	186
moe_joint_within_best_final_horizon	typed_marginal_pred	192	0.24479166666666666	0.6302083333333334	0.390625	0.11716145833333326	0.6466822916666661	0.19110416666666655	0.041666666666666664	0.5346280719906267	0.7712782401061271	0.6510164299637984	11	50	131
moe_joint_within_best_final_horizon	typed_return_pred	192	0.0625	0.5	0.2760416666666667	0.2608072916666665	0.2229218749999995	0.6148645833333332	0.125	0.34762303691762825	0.6762794849995081	0.5943516197902162	30	34	128
moe_joint_within_best_final_horizon	typed_sa_reduction_total_pred	192	0.22916666666666666	0.5989583333333334	0.3489583333333333	0.387083333333333	0.3311979166666664	0.5065885416666663	0.036458333333333336	0.42929988342946046	0.7083847365550265	0.48136080943098486	2	4	186
moe_joint_within_epoch_010	typed_marginal_pred	192	0.20833333333333334	0.5833333333333334	0.3645833333333333	0.14942187499999993	0.5998958333333326	0.23789062500000005	0.0625	0.5095495239770034	0.7562110205624678	0.6511835143414091	13	66	113
moe_joint_within_epoch_010	typed_return_pred	192	0.0625	0.4895833333333333	0.2708333333333333	0.2608072916666665	0.22513541666666606	0.6126510416666666	0.11458333333333333	0.34356009452455755	0.6738901115212509	0.5962916550635848	29	37	126
moe_joint_within_epoch_010	typed_sa_reduction_total_pred	192	0.25	0.6041666666666666	0.359375	0.415583333333333	0.31859895833333307	0.5191874999999996	0.036458333333333336	0.4222811502967881	0.7055076789702208	0.47550589436554347	3	4	185
