variant_id	benchmark_count	macro_mean_delta_tc	min_delta_tc	b17_C_delta_tc	positive_count	negative_count	safe
beam__cumulative__guarded_reward__bw2__d2__c64__g1p0__candcached_stride__div0p0__s2026	4	0.00026249999999994333	-0.026570000000000094	-0.008760000000000101	2	2	False
beam__cumulative__guarded_reward__bw2__d2__c64__g1p0__candcached_random__div0p0__s2026	4	-0.00012250000000002537	-0.025680000000000147	-0.011050000000000004	2	2	False
