step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,q_typed_residual_context,q_typed_trust_context,q_typed_reliable_context,typed_residual_correction,typed_residual_effective_alpha,typed_trust_support_count,typed_trust_required_heads,typed_trust_eligible,typed_trust_correction,typed_reliable_correction,typed_reliable_support_count,typed_reliable_required_heads,typed_reliable_eligible,typed_reliable_applied_correction,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,typed_marginal_pred,typed_return_pred,typed_sa_reduction_total_pred,typed_sa0_reduction_pred,typed_sa1_reduction_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,__aig_and_35145,control1,1.587481141090393,6.316886504292488,5.30573694705963,0.5834732300043106,4.1059762277901175,6.374098621821983,6.316886504292488,6.316886504292488,0.572121175294955,0.1,3,2,1,0.0,1.0,2,1,1,0.0,1.587481141090393,0.13336658477783203,4.246543660759926,3.2347853183746333,0.0013336658477783204,0.3820706307888031,-0.03112444467842579,1.8951398134231567,3.08280873298645,-0.06909750401973724,-0.09260015189647675,-0.04559485614299774,-0.03112444467842579,2.163912023901939,0.03963685780763626,0.059380508959293365,0.03559704124927521,1013.7694702148438,427.6839599609375,586.0855102539062,987.1347045898438,422.76385498046875,564.370849609375,0.026273000985383987,0.011504067108035088,0.03705032914876938,2.6273000985383987,4.065927920863032,6.845207959413528,3.9892463157884777,6.845207959413528,5.092575979232788,4.347419424802065,6.316886504292488,6.316886504292488,6.316886504292488,greedy,6.316886504292488,0.0,hard_fault_cluster,0.04421379535796015,False
2,__aig_and_35143,control1,1.0115156173706055,2.218364380975254,1.8153177499771118,0.39112530353013425,1.441936847633915,2.1936498476801045,2.218364380975254,2.218364380975254,-0.2630848374742743,0.09394130628134759,0,2,0,0.0,0.08873181426146828,0,1,0,0.0,1.0115156173706055,0.05397404730319977,2.156762229790911,1.8814217448234558,0.0005397404730319977,0.3690401017665863,-0.022357305511832237,0.5327458381652832,2.2744991779327393,-0.08184517826884985,-0.1661924123764038,0.002502055838704109,-0.022357305511832237,0.5037757739424704,0.020389877259731293,0.02601373940706253,0.01687690243124962,986.6171875,422.2471923828125,564.3699951171875,1002.5322265625,429.7008056640625,572.8314208984375,-0.01613091677427292,-0.017652250826358795,-0.01499269250780344,-1.6130916774272919,2.070604467764497,1.9703782111406327,2.046891911420971,1.9420637398958207,1.9739994660019873,1.908348078653216,2.218364380975254,8.535250885267741,8.535250885267741,greedy,2.218364380975254,0.0,hard_fault_cluster,0.06774588491361719,False
3,new_n14942,control1,1.447748064994812,7.595084787011147,5.227225112915038,1.3968721371889115,4.936805111557246,7.66690001742091,7.595084787011147,7.595084787011147,0.8137731724546097,0.08824969025845955,3,2,1,0.0,1.0,2,1,1,0.0,1.447748064994812,0.11692039668560028,7.00115600824356,5.768309354782104,0.0011692039668560028,0.3562811017036438,-0.013701114803552628,1.230754017829895,2.7201168537139893,-0.12866506725549698,-0.198916494846344,-0.05841363966464996,-0.013701114803552628,2.8862992894649504,0.029046140611171722,0.022197633981704712,0.024398695677518845,1003.8533935546875,431.3150634765625,572.538330078125,996.8690795898438,428.2388916015625,568.6301879882812,0.006957503966987133,0.007132076192647219,0.006825991906225681,0.6957503966987133,3.00783334299922,6.94711332321167,2.930418881587684,6.94711332321167,6.4281219184398655,5.662957021594048,7.595084787011147,16.13033567227889,16.13033567227889,greedy,7.595084787011147,0.0,hard_fault_cluster,0.13936744664438155,False
4,new_n14929,observe,1.1182687282562256,3.1954072843678296,1.8458202004432678,0.9901215998642146,2.0770147348390893,3.2594989462482293,3.22644822043193,3.2279823766936335,0.7730930129579959,0.08290291181804005,3,2,1,0.3744251605086078,0.6720029651549245,2,1,1,0.3929306174106615,1.1182687282562256,0.08822822570800781,3.25529082451947,2.584015893936157,0.0008822822570800781,0.36477068066596985,-0.003363998606801033,0.8851264715194702,2.6086881160736084,0.059644198045134544,-0.0032164789736270905,0.12250487506389618,-0.003363998606801033,4.592203247053549,0.01912829279899597,0.01169346272945404,0.01793079823255539,996.658203125,428.07281494140625,568.5853881835938,1003.95849609375,430.84722900390625,573.1112670898438,-0.007324771024286747,-0.006481173448264599,-0.007959892973303795,-0.7324771024286747,1.997693507000804,3.6481433017924427,1.9340453366748989,3.59560655195266,2.2256562252528966,2.1800237955944612,3.2279823766936335,19.35831804897252,19.35831804897252,greedy,3.2279823766936335,0.0,hard_fault_cluster,0.09033262876849485,False
5,new_n14935,control0,0.9302972555160522,2.300455794632435,1.1200390219688414,0.8763105627894402,1.4952962665110827,2.286904552946911,2.300455794632435,2.300455794632435,-0.1740013875189086,0.0778800783071405,0,3,0,0.0,-0.4271697142465469,0,2,0,0.0,0.9302972555160522,0.07430759072303772,2.91085263043642,2.1466514706611632,0.0007430759072303772,0.3309546411037445,0.01215250976383686,0.34006890654563904,2.345630645751953,-0.05495530180633068,0.004819381982088089,-0.11472998559474945,0.01215250976383686,3.699471272975206,0.01070745661854744,-0.008022584021091461,0.013744175434112549,1003.9052734375,430.9559326171875,572.9493408203125,991.5682373046875,420.9079895019531,570.6602783203125,0.012289044447243214,0.02331547625362873,0.003995226696133614,1.2289044447243214,1.1572057623416185,1.390535664409399,1.0923606869764626,1.1835796950757502,1.6819004192948341,1.5427713264524938,2.300455794632435,21.658773843604955,21.658773843604955,greedy,2.300455794632435,0.0,hard_fault_cluster,0.09940714187232873,False
6,__buf_split_22260,control0,1.013939380645752,3.9126489329338074,2.2066476345062256,1.3122316861152645,2.543221806406975,3.924764277086563,3.9126489329338074,3.9126489329338074,0.1655971205836482,0.07316156289466418,3,3,1,0.0,0.09638398795776623,2,2,1,0.0,1.013939380645752,0.08593140542507172,3.664915347099304,2.407002091407776,0.0008593140542507171,0.2852884531021118,0.03531806915998459,0.9805816411972046,2.335031270980835,0.037492021918296814,0.11794741451740265,-0.04296337068080902,0.03531806915998459,6.2207052040100095,0.012591354548931122,-0.013490311801433563,0.015388727188110352,991.6848754882812,421.03265380859375,570.6522216796875,979.3299560546875,412.36181640625,566.9681396484375,0.012458513490855694,0.020594216883182526,0.006455914583057165,1.2458513490855694,1.3803849294781685,4.839557970762253,1.2894478235393763,4.6938613307476045,2.805139887332916,2.6947615683078765,3.9126489329338074,25.57142277653876,25.57142277653876,greedy,3.9126489329338074,0.0,hard_fault_cluster,0.1699336984721822,False
7,__aig_not_35101,control0,0.9808429479598999,2.271196281686425,1.9416218400001526,0.35547063119709493,1.4762775830961763,2.249844256976093,2.271196281686425,2.271196281686425,-0.31067012638249397,0.06872892787909722,3,3,1,0.0,-0.37203786374607256,2,2,1,0.0,0.9808429479598999,0.07733890414237976,1.7006046812981368,1.250224244594574,0.0007733890414237976,0.2776743471622467,0.014399202540516853,0.6959600448608398,2.252323627471924,-0.06453250534832478,0.04572884365916252,-0.17479385435581207,0.014399202540516853,1.1519715634733438,0.006701711565256119,-0.014988400042057037,0.009743425995111465,979.535400390625,412.3484191894531,567.18701171875,983.0969848632812,418.24737548828125,564.849609375,-0.00363599369302392,-0.014305757358670235,0.004121043719351292,-0.363599369302392,0.7619092632085085,1.880859612375498,0.693105683196336,1.9393218983709812,1.6255572978407145,1.5172268805094062,2.271196281686425,27.842619058225186,27.842619058225186,greedy,2.271196281686425,0.0,hard_fault_cluster,0.006300204756654597,False
8,__aig_and_36114,observe,0.9347119331359863,1.54841626226902,1.053911954164505,0.36478796780109407,1.006470570474863,1.5791200756712132,1.54841626226902,1.54841626226902,0.47554996480925327,0.0645648526427892,3,2,1,0.0,0.8759421811196372,2,1,1,0.0,0.9347119331359863,0.07350382208824158,1.4863638609647751,0.9903488934040069,0.0007350382208824158,0.30233344435691833,0.002166295424103737,1.600401520729065,2.4153378009796143,-0.027810081839561462,-0.14091277122497559,0.08529260754585266,0.002166295424103737,0.9583337718248366,0.005711827427148819,-0.012856785207986832,0.009213998913764954,983.5411376953125,418.5454406738281,564.9957275390625,971.2261962890625,412.22998046875,558.9962158203125,0.01252102293074131,0.015089066699147224,0.010618684813380241,1.252102293074131,0.6468528602272272,1.6765372836589814,0.5901002720929682,1.6793752753734588,1.4164380222558974,1.2621627372503281,1.54841626226902,29.391035320494204,29.391035320494204,greedy,1.54841626226902,0.0,hard_fault_cluster,0.01215447951382083,False
9,__aig_and_36083,observe,0.9058569073677063,1.709987403806299,1.0975157916545868,0.4394893660582602,1.1114918124740945,1.7446142646123692,1.7117794627464458,1.709987403806299,0.5709004194854046,0.06065306597126335,2,2,1,0.029546056929684483,0.47304046939896677,1,1,0,0.0,0.9058569073677063,0.11387670040130615,2.1599979212507607,1.7987769246101377,0.0011387670040130615,0.21100854873657227,-0.007801121100783348,1.239395022392273,2.193066358566284,0.08284036628901958,0.04000807926058769,0.12567265331745148,-0.007801121100783348,0.5538829919695853,0.008478164672851562,-0.01595967635512352,0.008265957236289978,970.7377319335938,412.1124267578125,558.6253051757812,960.4486694335938,406.94097900390625,553.5076904296875,0.010599220171570778,0.01254863291978836,0.00916108675301075,1.0599220171570778,0.953892046585679,1.984124955385923,0.874335362110287,1.7921767441928387,1.8171457111835478,1.592954938709736,1.709987403806299,31.101022724300503,31.101022724300503,greedy,1.709987403806299,0.0,hard_fault_cluster,0.08425414364640882,False
10,__aig_not_35128,control0,0.97566157579422,2.0716699285805227,1.3736677408218383,0.495904581695795,1.3465854535773398,2.052955425624865,2.0716699285805227,2.0716699285805227,-0.32844975565024453,0.05697828247309231,0,3,0,0.0,-0.2998491174050331,0,2,0,0.0,0.97566157579422,0.1436528116464615,2.1906453512609008,1.6412247538566587,0.001436528116464615,0.18981033563613892,0.015041999518871307,0.3171343505382538,2.04968523979187,-0.09563224576413631,-0.03483150526881218,-0.15643298625946045,0.015041999518871307,1.5386868353188037,0.007609829306602478,-0.014714092016220093,0.006786718964576721,960.9254150390625,406.666015625,554.2593994140625,958.39453125,406.2843322753906,552.1102294921875,0.0026337984018027782,0.0009385671000927687,0.0038775524590164423,0.2633798401802778,0.9196777418255806,1.8660056093335151,0.800656633451581,1.8193271258473396,1.6712466903030871,1.4136286746151745,2.0716699285805227,33.172692652881025,33.172692652881025,greedy,2.0716699285805227,0.0,hard_fault_cluster,0.045537340619307844,False
