epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,8,0.38946077986620364,0.38946077986620364,0.15958036712060372,0.010169311145727989,0.12640586857451125,0.0,0.32707628902668756,1.0,0.04519727588049136,0.0034780860734991313,0.7082294414319031,0.7082294414319031,0.0,0.0015170527942858373,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,0.2617424434283748,0.2617424434283748,0.15808791754534468,0.006398275034371181,0.0942230247601401,0.0,0.316106102662161,1.0,0.06951308940188028,6.258827351857121e-05,0.0011620235111741706,0.0011620235111741706,0.0,0.0011420868209478453,1.0,8.0,32.0
2,16,0.3852929444052279,0.3852929444052279,0.16123227132096266,0.0076417160883769,0.11381504171295091,0.0,0.31484063308065136,1.0,0.048674259435210844,0.002431153608177583,0.3802430562742343,0.3802430562742343,0.0,0.0015144811790297722,1.0,16.0,0.06553741736958424,0.07014066514869531,0.18819657905648152,2.3564785053332646,0.0,0.0,0.049458186017970245,312.975,10.0,0.04999999999999989,120.0,120.0,0.2834985001536552,0.2834985001536552,0.16078146462677978,0.006160865401398041,0.09937350910331588,0.0,0.32731861079810187,1.0,0.06426253615791211,8.894849909779623e-05,0.0025573717602876134,0.0025573717602876134,0.0,0.0011261178513244374,1.0,16.0,32.0
3,24,0.4046645164489748,0.4046645164489748,0.15719238552006168,0.007152147707044301,0.11244708763099175,0.0,0.3266016974424322,1.0,0.047128457877099426,0.0014463814706219343,0.28918501593641116,0.28918501593641116,0.0,0.0015615026615608198,1.0,24.0,0.13104018811136484,0.06215794311525921,0.1794916714231173,2.3770734796921413,0.0,0.0,0.047617668906847634,306.8666666666667,10.0,0.09999999999999978,120.0,120.0,0.3122536126757041,0.3122536126757041,0.15991508803563195,0.005652977619926483,0.10201531119916281,0.0,0.33224843322144204,1.0,0.05942629679824072,6.772685432565595e-05,0.0024552551839208537,0.0024552551839208537,0.0,0.00042434478870551567,1.0,24.0,32.0
4,32,0.43627008444552,0.43627008444552,0.16588378170854412,0.007439890427607073,0.11958882803058563,0.0,0.3346743042076317,1.0,0.043261411647108616,0.0014187794003921153,0.31468472499778594,0.31468472499778594,0.0,0.0018073176298019759,1.0,32.0,0.1301661425580581,0.059223147310937446,0.177386913386484,2.367335404952367,0.0,0.0,0.046586374007165435,313.15833333333336,10.0,0.09999999999999978,120.0,120.0,0.33133607284980826,0.33133607284980826,0.16388807362818625,0.005510958645572828,0.10146140181313967,0.0,0.3317494996881578,1.0,0.056163563600421185,7.763325226761708e-05,0.0020459404924990654,0.0020459404924990654,0.0,0.00048281897769332055,1.0,32.0,32.0
