epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,2,1.1793728643693029,0.13233940021693708,0.15553882950544357,0.02730273942556232,0.6719231672175229,0.21089325672015546,0.18132151839509605,0.9336398164629937,0.045200860571465454,0.03149731792903367,1.0731879418261947,1.0731879418261947,0.0,1.7555133402817014,1.4992402664422988,2.0,1000.0,0.0,0.18850241211475804,0.0561399727666867,0.2657404526253231,0.024996129010105506,0.7633049900177866,0.19280964748759288,0.15882925456389785,0.9860904747620225,0.01800159398044343,0.014099477376362302,0.032463635905202785,0.032463635905202785,0.0,0.07056407228702287,1.5559804139193147,2.0,256.0
2,2,1.2392396386377513,0.19306383556872606,0.2036064508780837,0.021932478511705995,0.6072826609560289,0.22613781829643995,0.11435891162604093,0.9079670912325383,0.09150872806925327,0.02678070917399714,1.1442806270117785,1.1442806270117785,0.0,1.8611114073716823,1.496965163886547,2.0,1000.0,0.0,0.5268827416293789,0.26450965070398524,0.27585879710386507,0.018836157432815526,0.8161975607508793,0.15792639123219487,0.10215632835024735,0.9822818486718461,0.046278995814645896,0.014707164480995516,0.3267904394660377,0.3267904394660377,0.0,0.6291238547082685,1.5559804139193147,2.0,256.0
3,2,1.0522194335013628,0.23092331758886575,0.20518304505199195,0.016329686117824167,0.5321861707996577,0.20522236621298362,0.07002613529469817,0.8682427986562252,0.07969407571991906,0.024816335985481885,0.9392611980553462,0.9392611980553462,0.0,1.573791070678143,1.5007045679688453,2.0,1000.0,0.0,0.2382389678969048,0.12046604766510427,0.28125793777871877,0.01611563748338085,0.7151827499037609,0.1295909290374766,0.08185133902588859,0.9781127495225519,0.02424170391896041,0.014124711444466698,0.07796476904942828,0.07796476904942828,0.0,0.1517268203580464,1.5559804139193147,2.0,256.0
4,2,1.1297068951390683,0.23563652613386513,0.2066300011202693,0.013657332794973626,0.4747755717705004,0.20549819029602803,0.04728375260392204,0.828306708663702,0.08716857385355979,0.025296264119571164,1.0287090988480234,1.0287090988480234,0.0,1.6906496764506864,1.501030721604824,2.0,1000.0,0.0,0.2973702868039254,0.14761074670241214,0.27697697159601375,0.01766339498135494,0.7756421758094802,0.10377157490620448,0.057337472775543574,0.9718795265071094,0.021343278531276155,0.013968889491366099,0.13315423620188316,0.13315423620188316,0.0,0.2283668861271142,1.5559804139193147,2.0,256.0
5,2,0.9558411237709225,0.237623263284564,0.20471287578716874,0.01307417229632847,0.42433486962178724,0.19095373853992306,0.036516175070777535,0.7881379151642323,0.08045853009773418,0.026852547787561888,0.8599485726738014,0.8599485726738014,0.0,1.4295619810379994,1.500461755156517,2.0,1000.0,0.0,0.1898761633783579,0.14049181042355485,0.27909213257953525,0.01563490863009065,0.6166707229567692,0.06986825060903357,0.03939986113982741,0.9651993742445484,0.02771689213841455,0.014015692819157266,0.03533088491339775,0.03533088491339775,0.0,0.08124360049626231,1.5559804139193147,2.0,256.0
6,2,1.0896496948488057,0.24849836268275977,0.2016559870429337,0.011737362631596625,0.4159764737386722,0.20078820738366265,0.029860669930931182,0.7535383624136448,0.08189363941596821,0.03101688357680152,0.9971645719747043,0.9971645719747043,0.0,1.6480546090175836,1.4955295823812484,2.0,1000.0,0.0,0.22954684952856041,0.17522067960817367,0.2657942825462669,0.011860718832394923,0.6515694110421464,0.04502199092257797,0.031031124814035138,0.9499360719928518,0.03450665437776479,0.013864659830922221,0.05715168764009761,0.05715168764009761,0.0,0.18749274238469787,1.5559804139193147,2.0,256.0
7,2,1.0200527609325944,0.24986983757466077,0.2000929152071476,0.01230205773038324,0.4056828560626018,0.1971415373679438,0.02533529049232311,0.713121810078621,0.08284391397051513,0.024670385898384665,0.9360678065752609,0.9360678065752609,0.0,1.5465152772511674,1.4962877777814865,2.0,1000.0,0.0,0.27233146884827875,0.1640722184383776,0.2685842582141049,0.008824651004943007,0.9015566835878417,0.04904569617428933,0.019929753887481638,0.9192244873847812,0.029409362883598078,0.013901937603662873,0.08461068708949293,0.08461068708949293,0.0,0.2386689082011635,1.5559804139193147,2.0,256.0
8,2,0.9233542793076486,0.2555775568038225,0.2017211239375174,0.011110885531175882,0.36458677509443077,0.18070416524325356,0.02153932423383776,0.6651227307319642,0.08838770358078182,0.02359192808863554,0.8281643818037823,0.8281643818037823,0.0,1.3851351284021307,1.5008436239361762,2.0,1000.0,0.0,0.30429886786441784,0.1844308466243092,0.276259431935614,0.009534544315101812,0.7248773333849385,0.028339574067558715,0.0077912399751767225,0.8373129616957158,0.0414765486784745,0.013832467572370888,0.13664148213838012,0.13664148213838012,0.0,0.3091103994104938,1.5559804139193147,2.0,256.0
9,2,0.8712973391357809,0.23498220079019666,0.20241311215236782,0.010937547731096856,0.35022123164273217,0.179921567313218,0.019796112755684818,0.6210681063532829,0.08801155679812654,0.023315045261670095,0.7872225186328939,0.7872225186328939,0.0,1.3227134522070452,1.49566591411829,2.0,1000.0,0.0,0.3622256608941825,0.16170148341916502,0.2773015599232167,0.0084931725568822,0.8186595586012118,0.05860092295540653,0.01333678036735364,0.90593418746721,0.03992308667511679,0.014224779377116192,0.16602802853551624,0.16602802853551624,0.0,0.49419650687312355,1.5559804139193147,2.0,256.0
10,2,0.807170687219128,0.22636592395603658,0.20297486847639085,0.009729264777619392,0.3465701149983506,0.1760472974678587,0.020263497142532515,0.6112156190276146,0.08801492009777576,0.022606263743687124,0.7130373837162216,0.7130373837162216,0.0,1.207528249035306,1.4959831721186638,2.0,1000.0,0.0,1.3060646903177258,0.21608903401647694,0.257770826050546,0.008885129386726476,0.6232682158006355,0.03837617158724882,0.02160875525260053,0.9153811832657084,0.039132577872805996,0.015342961971185787,1.1737171875347485,1.1737171875347485,0.0,2.049586545166676,1.5559804139193147,2.0,256.0
11,2,0.8900683431979268,0.22669306037575007,0.20126838852465154,0.009430195483844727,0.3358985626984577,0.17032319019907483,0.01987823440603438,0.6066974668800831,0.08567389741912484,0.02411355317475727,0.7978089969303113,0.7978089969303113,0.0,1.3707497446601111,1.4999966997504235,2.0,1000.0,0.0,0.5044254109670874,0.16785059464746155,0.27236906497273594,0.0070426212059828686,1.0220236797467805,0.054442532757661866,0.008338889216702228,0.8542578695341945,0.044472284920630045,0.014081962244262058,0.3057318462963883,0.3057318462963883,0.0,0.6859956040871111,1.5559804139193147,2.0,256.0
12,2,0.9960869880504906,0.2230907534621656,0.20027814746648073,0.008200467239366844,0.3426796470472764,0.1749778513368983,0.019269802415384604,0.5984083470404148,0.08143569387681782,0.02466441670021868,0.9251739313068661,0.9251739313068661,0.0,1.543853805628566,1.4952125365734101,2.0,1000.0,0.0,1.238287065163604,0.19261516249389388,0.2647648378042504,0.00763928785090684,3.340104143891949,0.15002244505643603,0.006803709251926193,0.8635484743863344,0.04468486774567282,0.01481937786098797,0.8728043030043295,0.8728043030043295,0.0,1.6059240757081454,1.5559804139193147,2.0,256.0
13,2,0.735023806527257,0.20215722438693046,0.2033350059837103,0.0076245221004355695,0.34061717974717615,0.15404900390805415,0.016827692275873544,0.5718327083587647,0.08050412121415139,0.023562523767794004,0.6536851385738578,0.6536851385738578,0.0,1.1119786560659697,1.4943721074461938,2.0,1000.0,0.0,0.29334959645348135,0.13474670152936596,0.2729492211365141,0.0059253858926240355,0.7517415673937649,0.03444284144882204,0.013384824600507272,0.8739622307475656,0.041320910830108915,0.01381520089063315,0.11461785573609973,0.11461785573609973,0.0,0.3703344972748823,1.5559804139193147,2.0,256.0
14,2,0.8120584957562387,0.20469556307792663,0.2040756620913744,0.007307966638822109,0.3266948059977949,0.15506445291652948,0.017203343343351975,0.5836791799366474,0.08070858889445663,0.02563131979279842,0.7319658947825022,0.7319658947825022,0.0,1.2326418387402185,1.4939386268258095,2.0,1000.0,0.0,0.6691672996676061,0.16812563546409365,0.26474364995374344,0.004935857174132252,1.4956794860772789,0.1336110561774717,0.021580740399258502,0.9306503947591409,0.03762674366225838,0.014434550063811002,0.4335131299274586,0.4335131299274586,0.0,0.8813494952493244,1.5559804139193147,2.0,256.0
15,2,0.8180408996054903,0.20304563188925384,0.20186112530529499,0.00652048644120805,0.31757878669483397,0.1667774120339709,0.0177820939301324,0.5615482115447521,0.08524790300894529,0.023941300501648582,0.7362987237895181,0.7362987237895181,0.0,1.2401606102764082,1.5004328624606134,2.0,1000.0,0.0,0.49007955379784107,0.12936613894999027,0.2717264473903924,0.004182854169357597,1.6417901698150672,0.09065377004446873,0.00861879092099116,0.8533048196695745,0.03826143977494212,0.013866003321425069,0.21005638809666394,0.21005638809666394,0.0,0.753469662039933,1.5559804139193147,2.0,256.0
16,2,0.868147153198719,0.2056851630434394,0.20503206019848585,0.0064202988323522735,0.30407038208501036,0.15726536999830706,0.0177560425538324,0.5740516773462295,0.07846854123985395,0.02456296471399389,0.7919608798509684,0.7919608798509684,0.0,1.3350990259522355,1.4975721265673638,2.0,1000.0,0.0,0.871295368851861,0.14212599951133598,0.2691250774660148,0.0046540651592295035,1.2278973757638596,0.07691239426628727,0.010564853235337068,0.8563413746887818,0.03622733405791223,0.014290635862266754,0.5646535589161203,0.5646535589161203,0.0,1.7979795204737457,1.5559804139193147,2.0,256.0
