method	n	macro_delta_pctpt	positive	negative	zero	sum_plan_sec	sum_eval_sec	sum_elapsed_sec
A heuristic	8	1.3242	7	1	0			
B world-rerank	8	0.5276	5	3	0	441.6	384.0	825.6
C depth2	8	0.5281	5	3	0	496.4	368.4	864.8
D depth3-small	2	0.7585	1	1	0	35.7	9.6	45.4
