epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.31156974384768144,0.14758134509954188,0.2999038449343708,0.033736834493983126,0.9601380282640457,0.21862797470556364,0.446869824330012,0.9242094178994497,0.06857199678663164,0.032252021774031366,0.674147001443156,0.674147001443156,0.0,0.6808335983232039,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.26119603957340587,0.0991518582450226,0.3185383102390915,0.03104638417426031,0.9122914503095672,0.22015373379690573,0.3902476863004267,0.9224469508044422,0.06332623238267843,0.014814239531006024,0.6048575357319219,0.6048575357319219,0.0,0.6362446681532674,1.0,1.0,256.0
2,2,0.3478340777899656,0.2608481636105312,0.2533242638409138,0.03416127160501977,0.9069371172785758,0.2206136956686775,0.3624265584680769,0.9170593417684237,0.05731466469665369,0.030185661616225035,0.6927399217991834,0.6927399217991834,0.0,1.1615743821239886,1.0,2.0,0.36429212210906875,0.35662829531563656,0.5513487845949001,2.8034558481640284,0.0,0.0,0.4570432307985094,307.8488888888889,10.0,0.18999999999999825,900.0,900.0,0.3825288540974725,0.22826064919354394,0.28367620980134234,0.03449032981370692,0.9243111631658394,0.22895000605785754,0.3586650085344445,0.9262402842286974,0.0567276375622896,0.016324092778191357,0.8749121232591375,0.8749121232591375,0.0,1.4300376621344801,1.0,2.0,256.0
3,2,0.37386582168440025,0.2841650548080603,0.24250857358591424,0.033073933125059636,0.8800396864737073,0.22289679769012663,0.32676829979651506,0.9090893299380938,0.055350716565218235,0.028846386664450215,0.7626861648873118,0.7626861648873118,0.0,1.2643946113300082,1.0,2.0,0.5429074434439342,0.1417002656000356,0.5234132362322674,2.529325079917908,0.0,0.0,0.24523908332818084,311.9144444444444,10.0,0.3799999999999965,900.0,900.0,0.37387161968217697,0.23872589936945587,0.2906535957590677,0.03251428611474694,0.9477433959837072,0.24117491650395095,0.37393475708086044,0.924838007078506,0.05248726119316416,0.01539188606173525,0.8357260302201724,0.8357260302201724,0.0,1.4112968294827002,1.0,2.0,256.0
4,3,0.343502850317293,0.2996088241978929,0.24609020505790355,0.02855097414028864,0.875669110952704,0.22027307467397164,0.3192226698180594,0.9221407496046131,0.05331582358486398,0.027018424597060615,0.6507001973553916,0.6507001973553916,0.0,1.7124662011779097,1.0,3.0,0.47939004080163106,0.08629988309202923,0.4768783518920342,2.4288268801901074,0.0,0.0,0.15599086691108016,312.83,10.0,0.3799999999999965,900.0,900.0,0.4285025753682323,0.2608288270615352,0.25482069673792773,0.02673689743096474,0.8647238119350125,0.2214250775723484,0.3376423303852788,0.9249968616447105,0.05707346514342739,0.017148138747399667,0.9994556220386107,0.9994556220386107,0.0,2.5704003577492056,1.0,3.0,256.0
5,3,0.3741657735241785,0.3033557715460106,0.24171657543215486,0.027342389024173217,0.8008482713831803,0.2080703573179846,0.3070652261928276,0.9150721577582545,0.06517206733839374,0.027862366005102647,0.7547335693106048,0.7547335693106048,0.0,1.8427782618675403,1.0,3.0,0.45579134836792945,0.07264383764627079,0.4280392893403768,2.3902979746129778,0.0,0.0,0.11749229755666521,310.6644444444444,10.0,0.3799999999999965,900.0,900.0,0.42810501610316953,0.26935443668238196,0.27673735710171354,0.031151176757703073,0.8699699995389283,0.22686289665580264,0.3432168856185552,0.926358300183589,0.057519942944054485,0.01671301217475238,0.9901570790099743,0.9901570790099743,0.0,2.583789323685711,1.0,3.0,256.0
6,4,0.39574319472536446,0.33043079361319544,0.2411217147898343,0.028807785481266262,0.7786652444861829,0.1997792441032167,0.3205240155652993,0.9152404218746556,0.06218443435953102,0.026852222206745276,0.8044212288787425,0.8044212288787425,0.0,2.933419637545735,1.0,4.0,0.4441674991779857,0.06412568166955478,0.4048783650332027,2.3813571666346656,0.0,0.0,0.09512947115219302,311.18555555555554,10.0,0.3799999999999965,900.0,900.0,0.49186623592686374,0.26909255943610333,0.2545433509949362,0.026251385825162288,1.0021190554616624,0.23866857452958357,0.34599178422649857,0.9284146036952734,0.05540416009353066,0.02013755242744253,1.1807553760691905,1.1807553760691905,0.0,4.024032565607514,1.0,4.0,256.0
7,4,0.344712341202216,0.3271582504444652,0.22807078398557173,0.029675012645829054,0.7725945304892957,0.19845931785814983,0.3326404214753873,0.9194200558463732,0.059747282155892915,0.025042921927699177,0.6427349991550104,0.6427349991550104,0.0,2.563942718795705,1.0,4.0,0.4386868574718634,0.059092313719706406,0.38335219338536264,2.3827346726258596,0.0,0.0,0.0839059781241748,309.9766666666667,10.0,0.3799999999999965,900.0,900.0,0.4859170462586917,0.2828424131585052,0.25275103774038143,0.03215394523431314,0.9354028737725457,0.2206167045442271,0.3521866378287086,0.9318259626743384,0.05489192114873731,0.019501529501646075,1.1553637185943086,1.1553637185943086,0.0,4.023293643818337,1.0,4.0,256.0
8,5,0.38309807377225813,0.3419921306239234,0.2280205557131105,0.026704686072137603,0.7497759479780983,0.19197687683606313,0.3417856628033851,0.9185895287460752,0.05700970542968974,0.026009910634151198,0.7556544653212816,0.7556544653212816,0.0,3.6754551251761733,1.0,5.0,0.4298400315973494,0.05516962394946151,0.36667365679310426,2.3570978956752353,0.0,0.0,0.07407039474282,310.65222222222224,10.0,0.3799999999999965,900.0,900.0,0.568526503798785,0.2918880687793716,0.254510291921906,0.02219077732297592,1.010171578795416,0.23651288158289382,0.3599392686272039,0.9343034719116992,0.0524952376639703,0.01943914092921658,1.4142691494970818,1.4142691494970818,0.0,5.575672102846372,1.0,5.0,256.0
9,5,0.4300530296415091,0.3494412693248856,0.22456994237833564,0.02522301780929171,0.7384596305804121,0.1870893194350743,0.33211996111108194,0.9144592248996101,0.05463620504695507,0.025619026061274416,0.9070349816402288,0.9070349816402288,0.0,4.009744477089223,1.0,5.0,0.4257416319019265,0.0534979318216857,0.35209230865041413,2.3481430139806534,0.0,0.0,0.06838133682186405,311.5933333333333,10.0,0.3799999999999965,900.0,900.0,0.5152904396003581,0.3056391496327704,0.2740648588747718,0.024085603014100353,0.9377817096305078,0.21863747526658697,0.3721732923411766,0.9339187609031797,0.05288918896403627,0.019299445480191912,1.2306821089995614,1.2306821089995614,0.0,5.556665243575607,1.0,5.0,256.0
10,5,0.3889116058697304,0.35504700558715396,0.22319008126192638,0.025399043243171434,0.7212301690644689,0.18726328393827857,0.325765363785956,0.9107842635975953,0.051542893090181834,0.024928353590459282,0.7679568653440348,0.7679568653440348,0.0,3.878797946686721,1.0,5.0,0.4244789502686924,0.05212735753299461,0.31989646240241,2.3585834536287518,0.0,0.0,0.06321541829241646,306.1488888888889,10.0,0.3799999999999965,900.0,900.0,0.5575594640569763,0.3132038681884298,0.2470315138809383,0.01985275564002222,0.9854634097660887,0.22533066270989352,0.3462781912530771,0.9345353585667908,0.04590294285299029,0.0196739111477541,1.3582476936475583,1.3582476936475583,0.0,5.558239898487196,1.0,5.0,256.0
