checkpoint	score_field	groups	top1_accuracy	type_accuracy	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	selected_control0	selected_control1	selected_observe
cone_long_rank_best_final_horizon	typed_marginal_pred	116	0.2672413793103448	0.9224137931034483	0.1371551724137934	0.1775344827586206	0.04310344827586207	0.6624213867092128	0.8183579187996685	3	3	110
cone_long_rank_best_final_horizon	typed_return_pred	116	0.20689655172413793	0.7931034482758621	0.10078448275862115	0.21390517241379287	0.09482758620689655	0.5245219770653546	0.7562270520564347	15	7	94
cone_long_rank_best_final_horizon	typed_sa_reduction_total_pred	116	0.28448275862068967	0.896551724137931	0.1507413793103455	0.1639482758620685	0.0603448275862069	0.6114438486485588	0.7895748131178604	1	7	108
cone_long_rank_epoch_010	typed_marginal_pred	116	0.25862068965517243	0.9051724137931034	0.12264655172413813	0.19204310344827588	0.06896551724137931	0.658894894895674	0.8151785917432134	2	5	109
cone_long_rank_epoch_010	typed_return_pred	116	0.20689655172413793	0.8189655172413793	0.10280172413793148	0.21188793103448253	0.08620689655172414	0.5330894019995777	0.7586989647063265	12	7	97
cone_long_rank_epoch_010	typed_sa_reduction_total_pred	116	0.28448275862068967	0.8879310344827587	0.168629310344828	0.146060344827586	0.06896551724137931	0.6029892346509841	0.7846144263542832	0	9	107
cone_long_toplist_best_final_horizon	typed_marginal_pred	116	0.2672413793103448	0.9224137931034483	0.13206034482758644	0.18262931034482757	0.04310344827586207	0.6542241860513122	0.8130717227759516	3	3	110
cone_long_toplist_best_final_horizon	typed_return_pred	116	0.21551724137931033	0.8017241379310345	0.11333620689655227	0.2013534482758617	0.08620689655172414	0.5389074258345238	0.7625088705004434	12	7	97
cone_long_toplist_best_final_horizon	typed_sa_reduction_total_pred	116	0.28448275862068967	0.896551724137931	0.1528189655172419	0.16187068965517212	0.06896551724137931	0.6151894563714699	0.7920263654693677	0	9	107
cone_long_toplist_epoch_010	typed_marginal_pred	116	0.2413793103448276	0.9051724137931034	0.12009482758620703	0.194594827586207	0.0603448275862069	0.6599011989046695	0.8143044545662157	2	5	109
cone_long_toplist_epoch_010	typed_return_pred	116	0.23275862068965517	0.853448275862069	0.11423275862068986	0.20045689655172413	0.06896551724137931	0.5487007928628521	0.7662200319039162	8	5	103
cone_long_toplist_epoch_010	typed_sa_reduction_total_pred	116	0.29310344827586204	0.8879310344827587	0.17598275862069004	0.138706896551724	0.06896551724137931	0.6002519955132978	0.7826839311679997	0	9	107
