step,node,type,q_pred,q_pred_context,q_pred_type_context,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N2201,control1,1.6904406547546387,2.2992801815271378,1.9570741236209868,1.6904406547546387,0.6560351848602295,1.5402712032198904,2.421439445018768,0.006560351848602295,0.3550802171230316,0.023363852873444557,0.023363852873444557,-0.17803489416837692,0.07791914790868759,0.19083820283412933,0.051535237580537796,105212.0,42459.12109375,62752.8828125,107750.59375,45339.38671875,62411.2109375,-0.024128366261720657,-0.0678362026810646,0.005444719921797514,-2.4128366261720657,8.471313828602433,2.0456408864259723,7.961764550302178,1.9298059350252152,1.9216382190585137,2.0131247716769574,1.9570741236209868,1.9570741236209868,1.9570741236209868,greedy,1.9570741236209868,0.0,hard_fault_cluster
2,N7781,observe,1.1972237825393677,1.5397002607584,2.080736219882965,1.1972237825393677,0.5990936756134033,1.3002433225512504,1.8086485385894773,0.0059909367561340335,0.3541280925273895,0.017019489780068398,0.017019489780068398,-2.061112644374371,0.06714697182178497,0.1681119054555893,0.0461280420422554,107750.75,45340.03125,62410.71875,109934.65625,46921.66015625,63012.99609375,-0.02026813104748726,-0.03488371893763542,-0.009650222957134247,-2.026813104748726,7.330810347571969,3.6921873968839645,6.868725473526865,3.7573637884855273,1.8782283186912536,2.112888649255037,2.080736219882965,4.037810343503952,4.037810343503952,greedy,2.080736219882965,0.0,hard_fault_cluster
3,N8089,observe,0.9073461294174194,0.8380974546074867,1.2687076449394223,0.9073461294174194,0.52728271484375,0.728211535513401,1.0841312646865844,0.0052728271484375,0.35559263825416565,0.017304638400673866,0.017304638400673866,-0.4585696125030518,0.06109277904033661,0.15963007509708405,0.041196390986442566,109934.8203125,46921.76171875,63013.05859375,110468.75,47283.24609375,63185.5078125,-0.004856783896684647,-0.00770398136228323,-0.0027367218863219023,-0.48567838966846466,6.653865257278085,1.3497289562225343,6.245424742344767,1.3938209319114685,0.8441715270280838,1.2326445861160753,1.2687076449394223,5.306517988443375,5.306517988443375,greedy,1.2687076449394223,0.0,hard_fault_cluster
4,N5319,control0,0.9985723495483398,1.378060800372623,1.3409274220466614,0.9985723495483398,0.5562958121299744,1.6669880231609568,1.6870139598846434,0.0055629581212997435,0.3745146095752716,0.018779071047902107,0.018779071047902107,0.38013939205557107,0.057753756642341614,0.16067102551460266,0.040958307683467865,110469.3203125,47284.03125,63185.2890625,109684.921875,46741.9296875,62942.9921875,0.007100599817931652,0.011464791372418404,0.0038347039371728897,0.7100599817931652,6.350450547412038,1.3956836698763073,5.9191443850286305,1.2835827825777233,1.3927554175257681,1.536162006780505,1.3409274220466614,6.647445410490036,6.647445410490036,greedy,1.3409274220466614,0.0,hard_fault_cluster
5,N18496,control1,0.9093747138977051,0.5510930471122265,2.0976389706134797,0.9093747138977051,0.5422900915145874,0.5863687224686145,2.1802029609680176,0.005422900915145874,0.3898923099040985,0.019158126786351204,0.019158126786351204,-0.006048325002193489,0.05487748980522156,0.15741169452667236,0.0381217822432518,109680.640625,46735.8515625,62944.7890625,109322.265625,46481.5234375,62840.73828125,0.003267440712079406,0.005441820714622736,0.0016530483262613416,0.3267440712079406,6.049197198823094,0.5756972843408584,5.62811103509739,0.5850841575860978,0.5678285777568818,2.3180520161986347,2.0976389706134797,8.745084381103515,8.745084381103515,greedy,2.0976389706134797,0.0,hard_fault_cluster
6,N14047,control1,0.8150023221969604,0.3793223716318607,1.0377709865570068,0.8150023221969604,0.5184031128883362,0.5008266352117061,0.75352383852005,0.005184031128883362,0.4011591970920563,0.019812772050499916,0.019812772050499916,-0.29285326033830644,0.0524478405714035,0.15445739030838013,0.03702720254659653,109325.640625,46486.52734375,62839.109375,109226.3046875,46448.61328125,62777.69140625,0.0009086243226192892,0.000815592473372817,0.00097738450858742,0.09086243226192892,5.782999942079186,0.36336423695087433,5.379338028375059,0.38399356245994565,0.456437374651432,0.9350270758289844,1.0377709865570068,9.782855367660522,9.782855367660522,greedy,1.0377709865570068,0.0,hard_fault_cluster
7,N14174,control1,0.47732922434806824,0.3432951606810093,2.0977200150489805,0.47732922434806824,0.45024609565734863,0.22416814044117928,1.9857891321182248,0.004502460956573486,0.40840569138526917,0.01941210962831974,0.01941210962831974,-0.39284307301044463,0.04940806329250336,0.15044264495372772,0.03271392360329628,109226.6875,46448.984375,62777.69921875,109349.9765625,46485.8359375,62864.140625,-0.0011287449160590768,-0.0007933771703392267,-0.0013769444776698947,-0.11287449160590768,5.410464534536004,0.30672558784484866,5.058220880571753,0.30894353330135343,0.3132171630859375,1.8918917402625084,2.0977200150489805,11.880575382709502,11.880575382709502,greedy,2.0977200150489805,0.0,hard_fault_cluster
8,N13662,control0,0.9663553833961487,2.2261069089174272,1.9793144822120665,0.9663553833961487,0.5427537560462952,1.9833095103502272,3.028789973258972,0.005427537560462952,0.41767916083335876,0.021030688658356667,0.021030688658356667,0.17559345722198472,0.05753178894519806,0.16477103531360626,0.03663389012217522,109350.078125,46486.0234375,62864.05859375,108727.015625,46137.296875,62589.72265625,0.005697869695723057,0.007501750718802214,0.0043639554642140865,0.5697869695723057,6.316963339224458,2.1851618576049807,5.894125005695969,2.1717564988136293,2.0203299939632418,2.580880275145173,1.9793144822120665,13.859889864921568,13.859889864921568,greedy,1.9793144822120665,0.0,hard_fault_cluster
9,N2219,control1,0.1817038655281067,0.11904891505837448,2.080304083228111,0.1817038655281067,0.45244675874710083,0.08649975731968879,1.3773299485445023,0.004524467587471008,0.398857057094574,0.014892445877194405,0.014892445877194405,-1.666615400314331,0.04375805705785751,0.13359181582927704,0.02239902690052986,108727.0,46136.83984375,62590.1640625,108279.3359375,45848.9140625,62430.421875,0.004117322154343128,0.006240691523998976,0.002552193123847246,0.4117322154343128,4.843144910410047,-0.47108548045158377,4.492640506941825,-0.6493500378727912,0.3475693047046662,1.3477249187231064,2.080304083228111,15.940193948149679,15.940193948149679,greedy,2.080304083228111,0.0,hard_fault_cluster
10,N2086,control1,0.5708377361297607,1.3423402041196824,2.817498755455017,0.5708377361297607,0.4348931312561035,0.8407621681690216,2.2859694421291348,0.0043489313125610355,0.41588059067726135,0.020000280812382698,0.020000280812382698,-0.49659167706966406,0.05036540329456329,0.14550119638442993,0.028005916625261307,108268.75,45834.2890625,62434.46484375,108110.5078125,45860.8359375,62249.671875,0.0014615684049203992,-0.0005791924777440727,0.0029597911052405834,0.14615684049203992,5.491433741524816,1.4385420411825178,5.150263682473451,1.6436390846967697,1.1898541063070298,2.3484051690995695,2.817498755455017,18.757692703604697,18.757692703604697,greedy,2.817498755455017,0.0,hard_fault_cluster
