benchmark_id	state_id	candidate_strategy	candidate_count	finite_count	ok_count	positive_count	zero_count	negative_count	oracle_best_action	oracle_best_delta_tc	oracle_worst_action	oracle_worst_delta_tc	mean_delta_tc	base_test_coverage	base_fault_coverage
subckt_0057	initial	cached_hard_cone	36	36	36	0	36	0	U468::control0	0.0	U468::control0	0.0	0.0	1.0	1.0
subckt_0057	initial	cached_random	36	36	36	0	36	0	__buf_split_431::control0	0.0	__buf_split_431::control0	0.0	0.0	1.0	1.0
subckt_0057	initial	cached_stride	36	36	36	0	36	0	__buf_split_487::control0	0.0	__buf_split_487::control0	0.0	0.0	1.0	1.0
subckt_0232	initial	cached_hard_cone	36	36	36	0	36	0	__aig_not_334::control0	0.0	__aig_not_334::control0	0.0	0.0	1.0	1.0
subckt_0232	initial	cached_random	36	36	36	0	36	0	__aig_not_360::control0	0.0	__aig_not_360::control0	0.0	0.0	1.0	1.0
subckt_0232	initial	cached_stride	36	36	36	0	36	0	new_n517::control0	0.0	new_n517::control0	0.0	0.0	1.0	1.0
subckt_0066	initial	cached_hard_cone	36	36	36	35	0	1	new_n744_::control1	0.0035200000000000786	__buf_split_549::control1	-0.003469999999999862	2.8611111111233784e-05	0.9964799999999999	0.9964799999999999
subckt_0066	initial	cached_random	36	36	36	36	0	0	new_n428_::control1	0.0035200000000000786	__buf_split_1269::control0	2.0000000000131024e-05	0.0002227777777778988	0.9964799999999999	0.9964799999999999
subckt_0066	initial	cached_stride	36	36	36	36	0	0	__buf_split_240::control1	0.0035200000000000786	__buf_split_240::control0	2.0000000000131024e-05	0.00012472222222234541	0.9964799999999999	0.9964799999999999
subckt_0393	initial	cached_hard_cone	36	36	36	36	0	0	309::control0	0.01149	309::control1	0.0001300000000000745	0.00047222222222229667	0.98851	0.98851
subckt_0393	initial	cached_random	36	36	36	35	0	1	__buf_split_157::control1	0.01149	__buf_split_174::control1	-0.005560000000000009	0.0003275000000000731	0.98851	0.98851
subckt_0393	initial	cached_stride	36	36	36	35	0	1	__buf_split_175::observe	0.0002500000000000835	__buf_split_175::control1	-0.005560000000000009	5.277777777852445e-06	0.98851	0.98851
subckt_0272	initial	cached_hard_cone	36	36	36	0	36	0	new_n1865_::control0	0.0	new_n1865_::control0	0.0	0.0	1.0	1.0
subckt_0272	initial	cached_random	36	36	36	0	36	0	__buf_split_1194::control0	0.0	__buf_split_1194::control0	0.0	0.0	1.0	1.0
subckt_0272	initial	cached_stride	36	36	36	0	36	0	__buf_split_1494::control0	0.0	__buf_split_1494::control0	0.0	0.0	1.0	1.0
subckt_0007	initial	cached_hard_cone	36	36	36	0	36	0	730::control0	0.0	730::control0	0.0	0.0	1.0	1.0
subckt_0007	initial	cached_random	36	36	36	0	36	0	__buf_split_646::control0	0.0	__buf_split_646::control0	0.0	0.0	1.0	1.0
