checkpoint,epoch,samples,latent_smooth_l1,scoap_mae,delta_scoap_mae,hard_bce,hard_sa0_precision,hard_sa0_recall,hard_sa0_f1,hard_sa0_pr_auc,hard_sa1_precision,hard_sa1_recall,hard_sa1_f1,hard_sa1_pr_auc,hard_macro_f1,hard_macro_f1_tuned,hard_threshold_sa0,hard_threshold_sa1,hard_micro_accuracy,hard_recall_at_top_1pct,hard_recall_at_top_5pct,hard_recall_at_top_10pct,hard_count_mae,hard_count_spearman,hard_count_top10_overlap,hard_reduction_mae,hard_reduction_sign_acc,hard_reduction_score,reward_mae,latent_cosine,scoap_acc_at_005,delta_scoap_acc_at_001,hard_count_acc_at_010,hard_reduction_acc_at_005,reward_sign_acc,predictive_score
autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt,1,512,0.08045018908160273,0.11840719974134117,0.006343015982565703,0.615646113990806,0.031914893617021274,0.6923076923076923,0.06101694915254237,0.04500611550298221,0.027705876713642028,0.9870218579234973,0.05389880452824559,0.08625893964066202,0.05745787684039398,0.09096304356774809,0.95,0.95,0.8038954847440944,0.06835937499999996,0.3276367187500009,0.6665039062500022,0.5139237886760384,0.22079286220832728,0.16428786057692402,0.11559498752467334,0.3372395933838561,0.8844050124753267,0.3441964731027838,0.9607215014984831,0.19292620103806257,0.8119668600847945,0.0,0.1764322969247587,0.09765625,0.4435087344523479
autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt,2,512,0.06836582886171527,0.09170009876834229,0.006146649110633007,0.3580012460006401,0.021052631578947368,0.9230769230769231,0.0411663807890223,0.15154555838641065,0.04977762572699282,0.9938524590163934,0.09480680263243632,0.1627239420972992,0.06798659171072931,0.12071805006587616,0.85,0.95,0.8910286970964567,0.22477213541666582,0.6516927083333348,0.9791666666666669,0.5112248064251617,-0.295307000662433,0.1847205528846162,0.08303782850998687,0.044270834478084,0.9169621714900131,0.3130134393868502,0.9655163312563673,0.2883217468042858,0.801442540017888,0.0,0.40755209542112425,0.09765625,0.5638622044275927
autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt,3,512,0.0752912496245699,0.08011733762396034,0.005194876260247838,0.4932021036511287,0.01195219123505976,0.9230769230769231,0.02359882005899705,0.05285918040444362,0.03636544784298097,0.9972677595628415,0.07017206575026434,0.17834392838989152,0.046885442904630696,0.09861160829703876,0.95,0.95,0.84742172121063,0.3217773437500007,0.3557942708333343,0.9269205729166672,0.5181607564445585,-0.20628471155941952,0.1843449519230777,0.09182989696637378,0.9498697926755995,0.9081701030336262,0.19678764156560646,0.9614855658728629,0.39515409572049975,0.8806184366112575,0.0,0.20572917273966596,0.189453125,0.5515302469164968
autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt,4,512,0.056694437393161934,0.07243211405875627,0.0031485800259360985,0.23030388486222364,0.011180124223602485,0.6923076923076923,0.022004889975550123,0.04953273760349132,0.08423739629865985,0.9918032786885246,0.15528581359285598,0.19790534026651121,0.08864535178420305,0.14514192946049165,0.95,0.95,0.9361889456200787,0.3302408854166677,0.8800455729166682,0.9811197916666669,0.5069857460912317,0.36190060287481174,0.18449519230769312,0.047517433228676964,0.6406250189174898,0.952482566771323,0.2651560650556348,0.9702344513498247,0.3655496416031383,0.9682604322442785,0.0,0.9335937508731149,0.09765625,0.5853471762258553
autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt,-2,512,0.05669443733495427,0.07243211404420435,0.003148580034576298,0.2303038848331198,0.011180124223602485,0.6923076923076923,0.022004889975550123,0.04953273760349132,0.08423739629865985,0.9918032786885246,0.15528581359285598,0.19790534026651121,0.08864535178420305,0.14514192946049165,0.95,0.95,0.9361889456200787,0.3302408854166677,0.8800455729166682,0.9811197916666669,0.5069857459748164,0.36190060287481174,0.18449519230769312,0.047517433215034544,0.6406250189174898,0.9524825667849655,0.26515606441535056,0.9702344512334093,0.3655496416031383,0.9682604322442785,0.0,0.9335937508731149,0.09765625,0.5853471762285838
autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt,-1,512,0.0566944373640581,0.07243211407330818,0.0031485800323025614,0.23030388497863896,0.011180124223602485,0.6923076923076923,0.022004889975550123,0.04953273760349132,0.08423739629865985,0.9918032786885246,0.15528581359285598,0.19790534026651121,0.08864535178420305,0.14514192946049165,0.95,0.95,0.9361889456200787,0.3302408854166677,0.8800455729166682,0.9811197916666669,0.5069857460912317,0.36190060287481174,0.18449519230769312,0.047517433238681406,0.6406250189174898,0.9524825667613186,0.26515606392058544,0.9702344516990706,0.3655496416031383,0.9682604322442785,0.0,0.9335937508731149,0.09765625,0.5853471762238543
