checkpoint	epoch	policy	shrinkage	benchmarks	nodes_evaluated	threshold_sa0	threshold_sa1	hard_macro_f1	hard_sa0_precision	hard_sa0_recall	hard_sa0_f1	hard_sa1_precision	hard_sa1_recall	hard_sa1_f1	mean_benchmark_f1	worst_benchmark_f1	best_benchmark_f1	brier_sa0	brier_sa1	ece_sa0	ece_sa1	fp_rate	fn_rate
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	global_0p5		1	32512	0.5	0.5	0.016820380907487432	0.0005840268652358008	1.0	0.001167371953888808	0.01651073197578426	0.9782608695652174	0.032473389861086055	0.016820380907487432	0.016820380907487432	0.016820380907487432	0.15616873181476432	0.3756807437595659	0.3705425572542173	0.5790130072566644	0.43505474901574803	0.00012303149606299212
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	class_tuned		1	32512	0.6385540962219238	0.9730979204177856	0.1957880301694583	0.012658227848101266	0.25	0.024096385542168672	0.4574898785425101	0.3070652173913043	0.3674796747967479	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.15616873181476432	0.3756807437595659	0.3705425572542173	0.5790130072566644	0.003260334645669291	0.003967765748031496
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_tuned		1	32512	mixed	mixed	0.1957880301694583	0.012658227848101266	0.25	0.024096385542168672	0.4574898785425101	0.3070652173913043	0.3674796747967479	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.15616873181476432	0.3756807437595659	0.3705425572542173	0.5790130072566644	0.003260334645669291	0.003967765748031496
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_shrinkage_0.25	0.25	1	32512	mixed	mixed	0.1957880301694583	0.012658227848101266	0.25	0.024096385542168672	0.4574898785425101	0.3070652173913043	0.3674796747967479	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.15616873181476432	0.3756807437595659	0.3705425572542173	0.5790130072566644	0.003260334645669291	0.003967765748031496
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_shrinkage_0.5	0.5	1	32512	mixed	mixed	0.1957880301694583	0.012658227848101266	0.25	0.024096385542168672	0.4574898785425101	0.3070652173913043	0.3674796747967479	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.15616873181476432	0.3756807437595659	0.3705425572542173	0.5790130072566644	0.003260334645669291	0.003967765748031496
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_shrinkage_0.75	0.75	1	32512	mixed	mixed	0.1957880301694583	0.012658227848101266	0.25	0.024096385542168672	0.4574898785425101	0.3070652173913043	0.3674796747967479	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.15616873181476432	0.3756807437595659	0.3705425572542173	0.5790130072566644	0.003260334645669291	0.003967765748031496
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	global_0p5		1	32512	0.5	0.5	0.034436008029578635	0.015151515151515152	1.0	0.02985074626865672	0.01990103855146539	0.9945652173913043	0.03902126979050056	0.034436008029578635	0.034436008029578635	0.034436008029578635	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.2812038631889764	3.075787401574803e-05
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	class_tuned		1	32512	0.7542041540145874	0.9248530864715576	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_tuned		1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_shrinkage_0.25	0.25	1	32512	mixed	mixed	0.26655997154796834	0.06153846153846154	1.0	0.11594202898550725	0.3344262295081967	0.5543478260869565	0.4171779141104294	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.041020350049091645	0.32906484917840306	0.1855190762507273	0.5249712786581788	0.007181963582677166	0.0025221456692913384
