checkpoint	epoch	policy	shrinkage	hard_macro_f1	delta_vs_class_tuned	delta_vs_global_0p5	mean_benchmark_f1	worst_benchmark_f1	best_benchmark_f1	ece_sa0	ece_sa1	decision
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	global_0p5		0.016820380907487432	-0.17896764926197087	0.0	0.016820380907487432	0.016820380907487432	0.016820380907487432	0.3705425572542173	0.5790130072566644	reject
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	class_tuned		0.1957880301694583	0.0	0.17896764926197087	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.3705425572542173	0.5790130072566644	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_tuned		0.1957880301694583	0.0	0.17896764926197087	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.3705425572542173	0.5790130072566644	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_shrinkage_0.25	0.25	0.1957880301694583	0.0	0.17896764926197087	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.3705425572542173	0.5790130072566644	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_shrinkage_0.5	0.5	0.1957880301694583	0.0	0.17896764926197087	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.3705425572542173	0.5790130072566644	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	benchmark_shrinkage_0.75	0.75	0.1957880301694583	0.0	0.17896764926197087	0.1957880301694583	0.1957880301694583	0.1957880301694583	0.3705425572542173	0.5790130072566644	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	global_0p5		0.034436008029578635	-0.2321239635183897	0.0	0.034436008029578635	0.034436008029578635	0.034436008029578635	0.1855190762507273	0.5249712786581788	reject
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	class_tuned		0.26655997154796834	0.0	0.2321239635183897	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.1855190762507273	0.5249712786581788	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_tuned		0.26655997154796834	0.0	0.2321239635183897	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.1855190762507273	0.5249712786581788	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_shrinkage_0.25	0.25	0.26655997154796834	0.0	0.2321239635183897	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.1855190762507273	0.5249712786581788	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_shrinkage_0.5	0.5	0.26655997154796834	0.0	0.2321239635183897	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.1855190762507273	0.5249712786581788	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	benchmark_shrinkage_0.75	0.75	0.26655997154796834	0.0	0.2321239635183897	0.26655997154796834	0.26655997154796834	0.26655997154796834	0.1855190762507273	0.5249712786581788	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	global_0p5		0.04200669904758159	-0.2106158383258604	0.0	0.04200669904758159	0.04200669904758159	0.04200669904758159	0.10583263826362861	0.4211215311514697	reject
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	class_tuned		0.252622537373442	0.0	0.2106158383258604	0.252622537373442	0.252622537373442	0.252622537373442	0.10583263826362861	0.4211215311514697	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_tuned		0.252622537373442	0.0	0.2106158383258604	0.252622537373442	0.252622537373442	0.252622537373442	0.10583263826362861	0.4211215311514697	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_shrinkage_0.25	0.25	0.252622537373442	0.0	0.2106158383258604	0.252622537373442	0.252622537373442	0.252622537373442	0.10583263826362861	0.4211215311514697	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_shrinkage_0.5	0.5	0.252622537373442	0.0	0.2106158383258604	0.252622537373442	0.252622537373442	0.252622537373442	0.10583263826362861	0.4211215311514697	neutral
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	benchmark_shrinkage_0.75	0.75	0.252622537373442	0.0	0.2106158383258604	0.252622537373442	0.252622537373442	0.252622537373442	0.10583263826362861	0.4211215311514697	neutral
