checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	score_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
A_base	b15_C	initial	cached_hard_cone	1	__buf_split_1	control0	__buf_split_1::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control0	0.35462453961372375	0.0035462453961372375	0.2587280869483948	0.2587280869483948	0.01745595782995224	2.3589484095573425	1.8989339396357536	0.3117672801017761	31.176728010177612	0.35462453961372375	0.3583526015281677	0.04860977828502655	0.02619200572371483	0.5086686611175537	0.260174423456192	11223.3203125	7724.25634765625
A_base	b15_C	initial	cached_hard_cone	2	__buf_split_1	control1	__buf_split_1::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control1	0.33967283368110657	0.0033967283368110655	0.26214882731437683	0.26214882731437683	0.02092330902814865	2.6941525638103485	2.242786318063736	0.30113306641578674	30.113306641578674	0.33967283368110657	0.32636141777038574	0.04146734997630119	0.028347274288535118	0.4993155896663666	0.24920453131198883	11223.3203125	7843.607421875
A_base	b15_C	initial	cached_hard_cone	3	__buf_split_1	observe	__buf_split_1::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__observe	0.33841827511787415	0.0033841827511787415	0.2544138729572296	0.2544138729572296	0.020151665434241295	2.6079986914992332	2.1633745804429054	0.29434511065483093	29.434511065483093	0.33841827511787415	0.3329261541366577	0.043548572808504105	0.02937207743525505	0.5135247111320496	0.23691479861736298	11223.3203125	7919.791015625
A_base	b15_C	initial	cached_hard_cone	4	N16715	control0	N16715::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control0	0.38509565591812134	0.0038509565591812135	0.26577049493789673	0.26577049493789673	0.007438499480485916	1.3947160989046097	0.9065664857625961	0.32844531536102295	32.844531536102295	0.38509565591812134	0.38419049978256226	0.055911846458911896	0.025767983868718147	0.5174651145935059	0.2788756489753723	11220.7666015625	7535.3583984375
A_base	b15_C	initial	cached_hard_cone	5	N16715	control1	N16715::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control1	0.37449121475219727	0.0037449121475219725	0.27332568168640137	0.27332568168640137	0.013826383277773857	2.0304552242159843	1.5445925518870354	0.3202872574329376	32.02872574329376	0.37449121475219727	0.3668217658996582	0.04947793111205101	0.024262670427560806	0.5006384253501892	0.2729909121990204	11220.7666015625	7626.89794921875
A_base	b15_C	initial	cached_hard_cone	6	N16715	observe	N16715::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__observe	0.36294832825660706	0.0036294832825660706	0.25398457050323486	0.25398457050323486	0.01536867767572403	2.153800666332245	1.6911009922623634	0.3054674565792084	30.546745657920837	0.36294832825660706	0.37936460971832275	0.05124368518590927	0.02221306972205639	0.5136546492576599	0.2508712112903595	11220.7666015625	7793.1875
A_base	b15_C	initial	cached_hard_cone	7	__buf_split_3	control0	__buf_split_3::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control0	0.35462453961372375	0.0035462453961372375	0.2587280869483948	0.2587280869483948	0.017455967143177986	2.358949340879917	1.8989348709583282	0.3117668926715851	31.17668926715851	0.35462453961372375	0.35835254192352295	0.04860977455973625	0.026192057877779007	0.5086679458618164	0.26017409563064575	11223.3203125	7724.2607421875
A_base	b15_C	initial	cached_hard_cone	8	__buf_split_3	control1	__buf_split_3::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control1	0.3396728038787842	0.0033967280387878418	0.262148916721344	0.262148916721344	0.020923323929309845	2.6941541135311127	2.2427878230810165	0.301132470369339	30.1132470369339	0.3396728038787842	0.3263615369796753	0.041467346251010895	0.02834729664027691	0.4993143677711487	0.24920403957366943	11223.3203125	7843.6142578125
A_base	b15_C	initial	cached_hard_cone	9	__buf_split_3	observe	__buf_split_3::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__observe	0.3384183645248413	0.003384183645248413	0.254413902759552	0.254413902759552	0.020151667296886444	2.6079989969730377	2.1633747965097427	0.29434436559677124	29.434436559677124	0.3384183645248413	0.3329261541366577	0.0435485877096653	0.02937212958931923	0.513523280620575	0.2369142472743988	11223.3203125	7919.79931640625
A_base	b15_C	initial	cached_hard_cone	10	N16717	control0	N16717::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16717__control0	0.3852021396160126	0.0038520213961601257	0.26644521951675415	0.26644521951675415	0.007531238719820976	1.4047712311148643	0.9160357117652893	0.32942429184913635	32.942429184913635	0.3852021396160126	0.3838847875595093	0.05559827387332916	0.025759337469935417	0.5170173048973083	0.2802298367023468	11220.8173828125	7524.40771484375
