[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N3911 type=control0 q_typed_residual_context=0.812598 sequence=146.742001
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N2040 type=observe q_typed_residual_context=1.485529 sequence=148.227529
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.187406 sequence=154.414935
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N7881 type=control1 q_typed_residual_context=4.730590 sequence=159.145525
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7882 type=control1 q_typed_residual_context=4.772699 sequence=163.918224
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N2044 type=observe q_typed_residual_context=0.869637 sequence=164.787861
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=6.038006 sequence=170.825867
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4656 type=control0 q_typed_residual_context=4.012706 sequence=174.838573
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N7884 type=control1 q_typed_residual_context=1.285409 sequence=176.123982
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N3701 type=control0 q_typed_residual_context=0.847470 sequence=176.971453
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=2.541328 sequence=179.512780
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N3904 type=control0 q_typed_residual_context=0.862984 sequence=180.375764
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_residual_context=2.493163 sequence=182.868927
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N3897 type=control0 q_typed_residual_context=0.957881 sequence=183.826808
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N4670 type=control0 q_typed_residual_context=2.294266 sequence=186.121074
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N713 type=observe q_typed_residual_context=1.952375 sequence=188.073450
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.957638 sequence=190.031088
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_residual_context=1.668692 sequence=191.699780
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N724 type=observe q_typed_residual_context=1.734841 sequence=193.434621
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=1.767864 sequence=195.202486
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N7888 type=control1 q_typed_residual_context=1.166255 sequence=196.368741
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.574441 sequence=197.943182
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N3862 type=control0 q_typed_residual_context=0.946932 sequence=198.890113
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N4698 type=control0 q_typed_residual_context=1.482663 sequence=200.372777
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N3855 type=control0 q_typed_residual_context=0.995226 sequence=201.368002
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4705 type=control0 q_typed_residual_context=1.269656 sequence=202.637659
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N3848 type=control0 q_typed_residual_context=0.967880 sequence=203.605539
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4712 type=control0 q_typed_residual_context=1.342321 sequence=204.947860
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.315882 sequence=206.263742
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N3827 type=control0 q_typed_residual_context=1.137490 sequence=207.401232
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_residual_context=1.124514 sequence=208.525746
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N3820 type=control0 q_typed_residual_context=1.155392 sequence=209.681138
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N3813 type=control0 q_typed_residual_context=1.315608 sequence=210.996746
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N3799 type=control0 q_typed_residual_context=2.021163 sequence=213.017909
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N3792 type=control0 q_typed_residual_context=2.009744 sequence=215.027652
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3785 type=control0 q_typed_residual_context=2.094867 sequence=217.122519
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N722 type=observe q_typed_residual_context=2.551932 sequence=219.674451
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3889 type=control0 q_typed_residual_context=4.031942 sequence=223.706394
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N3882 type=control0 q_typed_residual_context=4.253332 sequence=227.959726
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N4585 type=control0 q_typed_residual_context=4.409033 sequence=232.368759
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N4557 type=control0 q_typed_residual_context=4.770662 sequence=237.139421
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N4606 type=control0 q_typed_residual_context=4.387399 sequence=241.526820
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N7854 type=control0 q_typed_residual_context=4.224043 sequence=245.750862
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N1539 type=control0 q_typed_residual_context=3.768942 sequence=249.519805
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N4578 type=control0 q_typed_residual_context=3.405826 sequence=252.925631
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N7724 type=control0 q_typed_residual_context=3.492429 sequence=256.418060
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N4564 type=control0 q_typed_residual_context=3.874790 sequence=260.292850
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N7722 type=control0 q_typed_residual_context=3.561456 sequence=263.854306
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N519 type=control1 q_typed_residual_context=3.161668 sequence=267.015974
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N3742 type=control0 q_typed_residual_context=3.751514 sequence=270.767489
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7887 type=control1 q_typed_residual_context=3.772951 sequence=274.540439
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N7889 type=control1 q_typed_residual_context=3.857795 sequence=278.398234
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7890 type=control1 q_typed_residual_context=3.993514 sequence=282.391748
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N3903 type=control0 q_typed_residual_context=3.087255 sequence=285.479004
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N4520 type=control0 q_typed_residual_context=3.114688 sequence=288.593692
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N7886 type=control1 q_typed_residual_context=3.858643 sequence=292.452335
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N3896 type=control0 q_typed_residual_context=2.896565 sequence=295.348900
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N7723 type=control0 q_typed_residual_context=3.340276 sequence=298.689176
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N7725 type=control0 q_typed_residual_context=3.156932 sequence=301.846109
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_residual_context=4.393815 sequence=306.239923
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N7408 type=control0 q_typed_residual_context=3.044516 sequence=309.284439
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N7541 type=control0 q_typed_residual_context=2.121482 sequence=311.405921
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7847 type=control0 q_typed_residual_context=6.506948 sequence=317.912869
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7852 type=control0 q_typed_residual_context=4.440577 sequence=322.353446
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N2580 type=control1 q_typed_residual_context=5.143794 sequence=327.497240
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N7853 type=control0 q_typed_residual_context=6.531474 sequence=334.028715
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N3681 type=control0 q_typed_residual_context=3.942561 sequence=337.971275
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N2569 type=control1 q_typed_residual_context=5.935831 sequence=343.907106
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N3840 type=control0 q_typed_residual_context=3.435836 sequence=347.342942
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N1533 type=control1 q_typed_residual_context=3.534847 sequence=350.877789
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N3805 type=control0 q_typed_residual_context=3.382257 sequence=354.260045
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N513 type=control1 q_typed_residual_context=2.400061 sequence=356.660106
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N2083 type=observe q_typed_residual_context=2.199837 sequence=358.859944
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N516 type=control1 q_typed_residual_context=3.051261 sequence=361.911205
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N7413 type=control1 q_typed_residual_context=5.221856 sequence=367.133061
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N5603 type=observe q_typed_residual_context=2.018388 sequence=369.151449
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N556 type=control1 q_typed_residual_context=5.308783 sequence=374.460233
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N7488 type=control1 q_typed_residual_context=5.865596 sequence=380.325829
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N694 type=observe q_typed_residual_context=2.093345 sequence=382.419174
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7401 type=observe q_typed_residual_context=2.525427 sequence=384.944601
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N555 type=control1 q_typed_residual_context=3.539213 sequence=388.483813
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N520 type=control1 q_typed_residual_context=5.837795 sequence=394.321608
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N7454 type=observe q_typed_residual_context=5.794076 sequence=400.115684
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N7421 type=control1 q_typed_residual_context=2.336850 sequence=402.452535
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N7370 type=control1 q_typed_residual_context=0.924817 sequence=403.377352
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N2102 type=observe q_typed_residual_context=5.639150 sequence=409.016502
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N3180 type=control1 q_typed_residual_context=2.742146 sequence=411.758648
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N5878 type=observe q_typed_residual_context=5.408330 sequence=417.166978
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N2157 type=observe q_typed_residual_context=1.803165 sequence=418.970143
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N7870 type=control1 q_typed_residual_context=1.538720 sequence=420.508863
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N7871 type=control1 q_typed_residual_context=1.095650 sequence=421.604513
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N7679 type=observe q_typed_residual_context=2.687749 sequence=424.292262
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N7721 type=control0 q_typed_residual_context=1.299489 sequence=425.591752
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N2106 type=observe q_typed_residual_context=0.994331 sequence=426.586083
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N7590 type=control1 q_typed_residual_context=2.842287 sequence=429.428370
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N638 type=control1 q_typed_residual_context=3.165279 sequence=432.593649
[b15-round5/prefix_rank/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N578 type=observe q_typed_residual_context=5.619103 sequence=438.212751
