variant	status	checked	action_recall_at_256	node_recall_at_256	notes
hard_fault_ranked	baseline	256	0.820312	0.867188	structural hard-fault ranked baseline
recall_pool	baseline	256	0.777344	0.878906	broad structural recall-pool baseline
hard_fault_recall_union	kept	256	0.824219	0.878906	Top-N hard-fault plus Top-N recall-pool union before model scoring
