step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N1180,control1,1.8881051540374756,2.6944224566221235,2.6863643169403075,0.4035847607254982,1.7513745968043803,1.8881051540374756,0.7165920734405518,2.4292778074741364,2.2928146600723265,0.007165920734405517,0.4242992401123047,0.046695344150066376,0.046695344150066376,1.096743213534355,0.09646204113960266,0.21926899254322052,0.07132156193256378,98506.4375,39555.2421875,58951.19140625,102295.140625,42907.65234375,59387.484375,-0.03846147656440735,-0.08475261181592941,-0.007400918751955032,-3.846147656440735,10.409491531550884,2.0535906621813775,9.83702596835792,1.9485918352007867,2.5084704965353013,2.672807901650667,2.6944224566221235,2.6944224566221235,2.6944224566221235,greedy,2.6944224566221235,0.0,hard_fault_cluster
2,N2076,observe,1.7388012409210205,1.6337640646845102,1.3543974161148071,0.23168306078761816,1.0619466420449317,1.7388012409210205,0.7253575325012207,1.4707197612151504,1.2295717954635619,0.007253575325012207,0.39719972014427185,0.03596892207860947,0.03596892207860947,0.13377433691173796,0.09518827497959137,0.20070023834705353,0.06828667223453522,102299.25,42914.171875,59385.08203125,103709.71875,44340.78125,59368.9375,-0.013787674717605114,-0.033243317157030106,0.0002718617324717343,-1.3787674717605114,10.280153952538967,1.6656496027857064,9.709159111604095,1.6353966454416513,1.4579123804345728,1.271586874211207,1.6337640646845102,4.328186521306634,4.328186521306634,greedy,1.6337640646845102,0.0,hard_fault_cluster
3,N2075,observe,1.741011619567871,2.8301585307344794,2.445119261741638,0.39002222711220386,1.8396030449774117,1.741011619567871,0.7238536477088928,2.583360303286463,2.100258469581604,0.0072385364770889285,0.4032433032989502,0.03266780078411102,0.03266780078411102,0.0033739050291479167,0.09323759377002716,0.1973198801279068,0.06720321625471115,103709.734375,44340.796875,59368.9375,103994.203125,44684.4765625,59309.73046875,-0.0027429319452494383,-0.007750868331640959,0.0009972729021683335,-0.27429319452494383,10.08028082549572,3.117628664933145,9.512889739125967,2.933643717728555,2.5970837443135677,2.3113600319018586,2.8301585307344794,7.158345052041113,7.158345052041113,greedy,2.8301585307344794,0.0,hard_fault_cluster
4,N3076,control0,1.0658667087554932,1.1110266029834748,1.1433545529842375,0.2383698937296867,0.7221672919392587,1.0658667087554932,0.5747241973876953,0.8424049216508864,0.34351274520158764,0.005747241973876953,0.40442463755607605,0.03906967490911484,0.03906967490911484,1.019979970753193,0.08237311244010925,0.18573343753814697,0.05551696568727493,103992.4765625,44678.703125,59313.7734375,103296.390625,43971.6484375,59324.73828125,0.00669361837208271,0.015825318172574043,-0.00018486168119125068,0.669361837208271,8.851105116307735,0.9237511873245239,8.390759712085128,0.9237511873245239,0.8510022431612014,0.9213951481506228,1.1110266029834748,8.269371655024589,8.269371655024589,greedy,1.1110266029834748,0.0,hard_fault_cluster
5,N2077,observe,1.347231149673462,1.4980047851800917,1.5040985226631163,0.12615931481122972,0.9737031103670597,1.347231149673462,0.6364718675613403,1.3410496518015862,1.3202327847480773,0.006364718675613403,0.4059109389781952,0.03626699000597,0.03626699000597,-0.738776852786541,0.08603430539369583,0.18846026062965393,0.05971211567521095,103299.234375,43977.94140625,59321.296875,103570.296875,44292.38671875,59277.90625,-0.0026240514125674963,-0.0071500688791275024,0.0007314510294236243,-0.26240514125674963,9.276169396936893,1.4362754672765732,8.77161525376141,1.4123012393712997,1.4679606422781946,1.5660224906355142,1.4980047851800917,9.76737644020468,9.76737644020468,greedy,1.4980047851800917,0.0,hard_fault_cluster
6,N6272,control0,1.0465302467346191,0.8661810025572777,0.8264391183853149,0.1263300995528698,0.5630176516622305,1.0465302467346191,0.5917555093765259,0.8899810940027237,0.7886883914470673,0.005917555093765259,0.4030657112598419,0.03874712437391281,0.03874712437391281,-0.30453661471605303,0.0714588314294815,0.17757727205753326,0.0482923686504364,103570.71875,44292.83203125,59277.890625,102830.4296875,43656.7265625,59173.703125,0.007147667463868856,0.014361363835632801,0.0017576114041730762,0.7147667463868856,7.776385776698589,0.9811660999059678,7.30350880138576,1.002779286503792,0.965577743947506,0.9723622909188271,0.8661810025572777,10.633557442761958,10.633557442761958,greedy,0.8661810025572777,0.0,hard_fault_cluster
7,N2078,observe,1.4540400505065918,1.723955449461937,1.8372490286827086,0.1322398152947426,1.120571042150259,1.4540400505065918,0.6658029556274414,1.6714605912566185,1.5964373111724852,0.006658029556274414,0.4232628643512726,0.035669878125190735,0.035669878125190735,-1.461757147014141,0.0791504755616188,0.18949522078037262,0.05383181944489479,102830.0234375,43656.3515625,59173.671875,102689.5703125,43732.5078125,58957.0625,0.0013658766401931643,-0.0017444483237341046,0.0036605701316148043,0.13658766401931643,8.616520389914513,2.0954364305734634,8.090415764600039,2.103584981560707,1.9416710153222083,1.8198014479130507,1.723955449461937,12.357512892223895,12.357512892223895,greedy,1.723955449461937,0.0,hard_fault_cluster
8,N3861,control0,1.1720020771026611,0.9883693769574166,0.9933812499046324,0.14019203647971154,0.6424400950223208,1.1720020771026611,0.647883415222168,1.046492812037468,1.1433482468128204,0.00647883415222168,0.431348592042923,0.039631105959415436,0.039631105959415436,-0.5091638597846031,0.07069175690412521,0.18132524192333221,0.0471063107252121,102689.6484375,43732.5625,58957.0859375,101732.5,42956.10546875,58776.3984375,0.009320788085460663,0.01775466650724411,0.0030647290404886007,0.9320788085460663,7.756690211594105,0.8754394054412842,7.241054320707917,0.9016734480857849,1.1670386224985123,1.1641983919590713,0.9883693769574166,13.345882269181311,13.345882269181311,greedy,0.9883693769574166,0.0,hard_fault_cluster
9,N1181,control1,1.9058139324188232,5.129834568500518,4.535992360115051,0.6983695638179779,3.334392469525337,1.9058139324188232,0.7138787508010864,5.237023895978927,4.497398376464844,0.007138787508010864,0.42427903413772583,0.04658796638250351,0.04658796638250351,2.1882907307147983,0.09657884389162064,0.21921105682849884,0.07144277542829514,98505.921875,39555.03125,58950.89453125,102313.0,42923.38671875,59389.609375,-0.03864821419119835,-0.08515617996454239,-0.007442038971930742,-3.864821419119835,10.418351106345654,2.9300474017858504,9.848001068457961,2.7904617875814437,4.972645443677902,4.260594888329506,5.129834568500518,18.47571683768183,18.47571683768183,greedy,5.129834568500518,0.0,hard_fault_cluster
10,N2080,observe,1.6847519874572754,1.9089042216539382,1.8568342208862303,0.22126249283552168,1.2407877440750599,1.6847519874572754,0.7031079530715942,1.5165359199047088,1.5349388837814328,0.0070310795307159425,0.3974379301071167,0.03689461946487427,0.03689461946487427,0.06882794678211207,0.09435157477855682,0.1988385170698166,0.06730422377586365,102316.9609375,42929.796875,59387.1640625,103721.546875,44318.78515625,59402.7578125,-0.013727791607379913,-0.03235487639904022,-0.000262577785179019,-1.3727791607379913,10.17516005039215,1.6250653064250948,9.6201581209898,1.6313454306125643,1.6026962906122209,1.8933463121950624,1.9089042216539382,20.384621059335768,20.384621059335768,greedy,1.9089042216539382,0.0,hard_fault_cluster
