epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_same_type_rank_loss,train_oracle_aux_rank_loss,train_oracle_aux_same_type_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_same_type_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_same_type_pairs,train_oracle_aux_pairs,train_oracle_aux_same_type_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.0,0.31870170800309433,0.12259525648857418,0.009175688101861038,0.0922409680328871,0.0,0.27115244849732045,1.0,0.04403221891506722,0.009611632057385577,0.7558300354147306,0.7558300354147306,0.0,1.5738527712244736,0.49862064967716213,1.0196606320034909,0.0,1.0,1.0,0.9472376672845138,0.44068730191180583,0.5798542327002475,0.0,0.0,0.0,2.455631507070441,2.246204275833933,0.0,0.0,0.0,0.0,225.89473684210526,103.0,0.0,0.0,12.0,0.75,19.0,19.0,0.0,0.34323005080223085,0.13331397622823715,0.009407972637563943,0.10415380150079727,0.0,0.30589834451675413,1.0,0.04847590662539005,0.01414935628999956,1.7178505205694818,1.7178505205694818,0.0,2.9581905206614465,1.8384596527088433,2.065369112789631,0.0,1.0,1.0,5.0
2,2,0.0,0.35768612003640127,0.12334276029938146,0.00910777303292171,0.09496070493600871,0.0,0.27556287889417846,1.0,0.04372203702989377,0.03865547822368554,0.9560670469346453,0.9560670469346453,0.0,3.252144824051739,0.6562420447834915,1.6505942318441444,0.0,1.0,2.0,1.869748410425688,0.43085931476793793,0.5590819308632299,0.0,0.0,0.0,2.4387384715833162,2.2314665443018864,0.0,0.0,0.0,0.0,225.3684210526316,109.73684210526316,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.3847778677940369,0.1336075633764267,0.008802709029987454,0.10601328834891319,0.0,0.31120375692844393,1.0,0.04476507119834423,0.021617252528085374,1.697871319700789,1.697871319700789,0.0,5.007144067715854,1.9025392339055542,3.445146671682596,0.0,1.0,2.0,5.0
3,4,0.0,0.4246824446477388,0.12291190096814382,0.009076996914748298,0.09738825173362305,0.0,0.2788478604664928,1.0,0.044508420016714616,0.04206142873206437,1.0717558430607919,1.0717558430607919,0.0,6.44172568736892,0.7597275868511612,4.3698402720761615,0.0,1.0,4.0,1.9463010963640714,0.4741663634777069,0.5660295784473419,0.0,0.0,0.0,2.441443029202913,2.272351308872825,0.0,0.0,0.0,0.0,228.78947368421052,104.21052631578948,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.4438981257379055,0.13387281335890294,0.00820724165532738,0.10833114013075829,0.0,0.3174386635422707,1.0,0.040574938617646696,0.056480417009152004,1.8867295247102447,1.8867295247102447,0.0,8.409812303907273,1.9578205112018623,6.69178211800172,0.0,1.0,4.0,5.0
4,8,0.0,0.494315148184174,0.12275069432431146,0.009093610781220425,0.1000955113160767,0.0,0.28286192948488814,1.0,0.043274698062113634,0.03722954295883004,1.2120963326768968,1.2120963326768968,0.0,11.762291173122847,0.964633351292186,9.691532388125491,0.0,1.0,8.0,1.87178037041112,0.4450117788816753,0.5653140074328372,0.0,0.0,0.0,2.380157156994468,2.2107680785028556,0.0,0.0,0.0,0.0,219.42105263157896,104.36842105263158,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.5382010739296674,0.13555231150239705,0.0080367541173473,0.11749339755624533,0.0,0.3235856980085373,1.0,0.03780635120347142,0.054991533838619946,1.921217860055549,1.921217860055549,0.0,11.233306895436181,1.509978460345883,9.566150159663811,0.0,1.0,8.0,5.0
5,16,0.0,0.5627100946087586,0.12517533088593105,0.009380559032586845,0.10320327190780326,0.0,0.28700802391885144,1.0,0.04108838072524553,0.03316313137409416,1.295919700164859,1.295919700164859,0.0,18.67617233945796,1.1819950802101857,17.098648412358767,0.0,1.0,16.0,2.0168040426153886,0.5075357681826541,0.5703808978984231,0.0,0.0,0.0,2.459274254347149,2.3345749378204346,0.0,0.0,0.0,0.0,209.26315789473685,98.47368421052632,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.6375899525359273,0.1411233890801668,0.008676040498539806,0.12940692538395523,0.0,0.3300486829131842,1.0,0.03922905842773616,0.041397337513444654,2.061351764695064,2.061351764695064,0.0,11.566277840685506,1.2931487045832,10.712186538815876,0.0,1.0,16.0,5.0
6,32,0.0,0.6242464972954047,0.13153973762191049,0.009745739741973873,0.1153503323807136,0.0,0.29239006112574745,1.0,0.041592657472631946,0.023526419669665483,1.634544757113848,1.634544757113848,0.0,31.41680147890436,1.6129481948797224,30.62326443793314,0.0,1.0,32.0,1.9447963363245915,0.478884020918294,0.5799985026058397,0.0,0.0,0.0,2.409367649178756,2.2645141450982345,0.0,0.0,0.0,0.0,233.78947368421052,111.26315789473684,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.729696010518819,0.14849285483360292,0.009976688819006086,0.14271219349466263,0.0,0.3328533865511417,1.0,0.04000580197898671,0.02815772146541349,2.846576804870915,2.846576804870915,0.0,32.15981600717642,2.262215296000977,32.534766723867506,0.0,1.0,32.0,5.0
7,32,0.0,0.624246498814931,0.13153973745035105,0.009745739774907156,0.11535033168222167,0.0,0.2923900603414758,1.0,0.04159265773303464,0.023526419581306874,1.6345447570723644,1.6345447570723644,0.0,31.416801475249894,1.6129481964975372,30.625509014441676,0.0,1.0,32.0,1.8485670717138993,0.4371470793297416,0.529514701742875,0.0,0.0,0.0,2.383185474496139,2.176394399843718,0.0,0.0,0.0,0.0,234.6315789473684,111.15789473684211,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7296960099600256,0.14849285483360292,0.009976688824826852,0.14271219368092716,0.0,0.3328533863648772,1.0,0.04000580218853429,0.02815772144313087,2.8465768086744903,2.8465768086744903,0.0,32.15981601090171,2.2622152919829204,32.53280503135174,0.0,1.0,32.0,5.0
8,32,0.0,0.6242464976875406,0.13153973747485956,0.009745739751164556,0.11535033318949373,0.0,0.2923900625717483,1.0,0.04159265749101331,0.023526419598485553,1.634544761774799,1.634544761774799,0.0,31.416801472816395,1.6129482009143652,30.62711364815398,0.0,1.0,32.0,1.9730618250997443,0.5001513471728877,0.5935250159941221,0.0,0.0,0.0,2.379429967779862,2.274499215577778,0.0,0.0,0.0,0.0,206.6315789473684,95.0,0.0,0.0,12.0,1.5,19.0,19.0,0.0,0.7296960107050836,0.14849285483360292,0.009976688795723021,0.14271219382062555,0.0,0.3328533871099353,1.0,0.04000580216525122,0.028157721362458688,2.846576810231909,2.846576810231909,0.0,32.15981600419618,2.2622152943717992,32.5307531462051,0.0,1.0,32.0,5.0
