checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	score_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
incumbent	subckt_0001	initial	cached_hard_cone	1	__buf_split_551	control0	__buf_split_551::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__control0	0.514468789100647	0.005144687891006469	0.26625126600265503	0.26625126600265503	0.14488878846168518	15.26959890127182	14.684058859944344	0.23892156779766083	23.892156779766083	0.514468789100647	0.6237310767173767	-0.05627109110355377	0.22682157158851624	0.4225100874900818	0.09070524573326111	158.89920043945312	120.93475341796875
incumbent	subckt_0001	initial	cached_hard_cone	2	__buf_split_551	control1	__buf_split_551::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__control1	0.5156126618385315	0.005156126618385315	0.2824850082397461	0.2824850082397461	0.14837275445461273	15.63537311553955	15.036799862980843	0.2407962828874588	24.07962828874588	0.5156126618385315	0.6221222281455994	-0.059224456548690796	0.23294362425804138	0.42508548498153687	0.09201427549123764	158.89920043945312	120.6368637084961
incumbent	subckt_0001	initial	cached_hard_cone	3	__buf_split_551	observe	__buf_split_551::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_551__observe	0.5106390118598938	0.005106390118598938	0.2637641429901123	0.2637641429901123	0.143716961145401	15.146099269390106	14.565296903252602	0.23343318700790405	23.343318700790405	0.5106390118598938	0.6216865181922913	-0.05303315818309784	0.22625581920146942	0.42711153626441956	0.07707098871469498	158.89920043945312	121.80685424804688
incumbent	subckt_0001	initial	cached_hard_cone	4	__buf_split_552	control0	__buf_split_552::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_552__control0	0.5092037320137024	0.005092037320137024	0.273985356092453	0.273985356092453	0.1468840092420578	15.471590012311935	14.884198196232319	0.23626767098903656	23.626767098903656	0.5092037320137024	0.6262502670288086	-0.05656510591506958	0.23160476982593536	0.4212701618671417	0.08713917434215546	158.7547149658203	121.24610900878906
incumbent	subckt_0001	initial	cached_hard_cone	5	__buf_split_552	control1	__buf_split_552::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_552__control1	0.5146892666816711	0.005146892666816711	0.2811884880065918	0.2811884880065918	0.14901046454906464	15.696924209594727	15.10001589357853	0.23973378539085388	23.973378539085388	0.5146892666816711	0.6295660138130188	-0.059120550751686096	0.23546631634235382	0.42278969287872314	0.09217433631420135	158.7547149658203	120.69584655761719
incumbent	subckt_0001	initial	cached_hard_cone	6	__buf_split_552	observe	__buf_split_552::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_552__observe	0.5089923143386841	0.005089923143386841	0.26320362091064453	0.26320362091064453	0.144652858376503	15.237481772899628	14.658334821462631	0.2313896119594574	23.13896119594574	0.5089923143386841	0.6305357813835144	-0.05245573818683624	0.22882765531539917	0.4256618916988373	0.07478880137205124	158.7547149658203	122.02052307128906
incumbent	subckt_0001	initial	cached_hard_cone	7	__buf_split_553	control0	__buf_split_553::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_553__control0	0.5142233371734619	0.005142233371734619	0.26793235540390015	0.26793235540390015	0.14509738981723785	15.291894674301147	14.705277904868126	0.23697224259376526	23.697224259376526	0.5142233371734619	0.6240536570549011	-0.05624537169933319	0.22682565450668335	0.4203401803970337	0.0889686793088913	158.86859130859375	121.22114562988281
incumbent	subckt_0001	initial	cached_hard_cone	8	__buf_split_553	control1	__buf_split_553::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_553__control1	0.515285074710846	0.00515285074710846	0.28363871574401855	0.28363871574401855	0.1486450582742691	15.663429617881775	15.064236775040627	0.23949187994003296	23.949187994003296	0.515285074710846	0.6222606301307678	-0.05889146029949188	0.23296526074409485	0.42455023527145386	0.09012395888566971	158.86859130859375	120.82085418701172
incumbent	subckt_0001	initial	cached_hard_cone	9	__buf_split_553	observe	__buf_split_553::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__buf_split_553__observe	0.510319709777832	0.0051031970977783205	0.2642771899700165	0.2642771899700165	0.1437351107597351	15.14810797572136	14.567160300910473	0.23242217302322388	23.242217302322388	0.510319709777832	0.6217215657234192	-0.052860766649246216	0.22623403370380402	0.42667463421821594	0.07563331723213196	158.86859130859375	121.94400787353516
incumbent	subckt_0001	initial	cached_hard_cone	10	__aig_not_767	control0	__aig_not_767::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_767__control0	0.5045080184936523	0.005045080184936523	0.28372722864151	0.28372722864151	0.1459174007177353	15.379975318908691	14.78879888355732	0.20733223855495453	20.733223855495453	0.5045080184936523	0.6116230487823486	-0.052444860339164734	0.22689498960971832	0.40248996019363403	0.049913451075553894	158.86618041992188	125.9281005859375
incumbent	subckt_0001	initial	cached_hard_cone	11	__aig_not_767	control1	__aig_not_767::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_767__control1	0.5117519497871399	0.005117519497871399	0.27830272912979126	0.27830272912979126	0.1457221657037735	15.362271249294281	14.769730240106583	0.21085350215435028	21.085350215435028	0.5117519497871399	0.6199243664741516	-0.05306246876716614	0.22634907066822052	0.4047888517379761	0.054420702159404755	158.86618041992188	125.36869049072266
incumbent	subckt_0001	initial	cached_hard_cone	12	__aig_not_767	observe	__aig_not_767::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_not_767__observe	0.5043967962265015	0.005043967962265015	0.26765912771224976	0.26765912771224976	0.14315196871757507	15.087252795696259	14.508210852742195	0.20804917812347412	20.804917812347412	0.5043967962265015	0.6164836287498474	-0.049228087067604065	0.2246856689453125	0.407669335603714	0.047030892223119736	158.86618041992188	125.81420135498047
incumbent	subckt_0001	initial	cached_hard_cone	13	__aig_and_1491	control0	__aig_and_1491::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1491__control0	0.5140631198883057	0.005140631198883056	0.2787419557571411	0.2787419557571411	0.145189106464386	15.311715722084045	14.71711191534996	0.21952266991138458	21.95226699113846	0.5140631198883057	0.6213586926460266	-0.05483946204185486	0.22353510558605194	0.41048040986061096	0.06546570360660553	158.88250732421875	124.00419616699219
incumbent	subckt_0001	initial	cached_hard_cone	14	__aig_and_1491	control1	__aig_and_1491::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1491__control1	0.5125161409378052	0.005125161409378052	0.29107874631881714	0.29107874631881714	0.14815035462379456	15.618630349636078	15.015934184193611	0.22035473585128784	22.035473585128784	0.5125161409378052	0.617407500743866	-0.05558870732784271	0.22810667753219604	0.413998007774353	0.06413117796182632	158.88250732421875	123.87199401855469
incumbent	subckt_0001	initial	cached_hard_cone	15	__aig_and_1491	observe	__aig_and_1491::observe	ok	0.0007500000000000284	0.0007500000000000284	0	0.9	0.9	54	54		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1491__observe	0.5094751119613647	0.005094751119613648	0.276422381401062	0.276422381401062	0.14584973454475403	15.37087094783783	14.78144782781601	0.21862225234508514	21.862225234508514	0.5094751119613647	0.6220924258232117	-0.052069082856178284	0.22415819764137268	0.4143315851688385	0.06073187291622162	158.88250732421875	124.14725494384766
incumbent	subckt_0001	initial	cached_hard_cone	16	__aig_and_1498	control0	__aig_and_1498::control0	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1498__control0	0.5140527486801147	0.005140527486801148	0.2787027359008789	0.2787027359008789	0.1452019363641739	15.312949120998383	14.718382507562637	0.2203601747751236	22.03601747751236	0.5140527486801147	0.6213690638542175	-0.05482305586338043	0.22353702783584595	0.41085126996040344	0.06660643965005875	158.84133911132812	123.83903503417969
incumbent	subckt_0001	initial	cached_hard_cone	17	__aig_and_1498	control1	__aig_and_1498::control1	ok	0.0040999999999999925	0.0040999999999999925	0	0.90335	0.90335	52	52		autoresearch/oracle-action-probe-260629-labeled-subckt-train/evals/subckt_0001/initial/__aig_and_1498__control1	0.5125049948692322	0.005125049948692322	0.2910391688346863	0.2910391688346863	0.14816144108772278	15.619688272476196	15.017030149698257	0.2212168574333191	22.12168574333191	0.5125049948692322	0.6174190044403076	-0.055572256445884705	0.22810712456703186	0.41438934206962585	0.0652988851070404	158.84133911132812	123.70295715332031
