epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.25826220594760446,0.15515679912434685,0.1526317849755287,0.0389485241079496,0.9353836456355121,0.21761280574732356,0.44179562469323475,0.9174096749888526,0.07896211031876091,0.03537626829839458,0.7450897500871533,0.7450897500871533,0.0,0.7550887589024499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.2102606190892402,0.0891804448037874,0.18353351671248674,0.03775022471381817,1.1917003747075796,0.21681861171964556,0.3948440745007247,0.9830689278896898,0.06099422812985722,0.059771332107857233,0.4976861176122034,0.4976861176122034,0.0,0.5303459246215398,1.0,1.0,256.0
2,2,0.25485774095894564,0.22522551796502538,0.1787477238703933,0.03525489597995248,0.8758272688049409,0.22263810984376403,0.3532801533738772,0.9118693178560999,0.0637843872813715,0.029004014893655936,0.6758380817890107,0.6758380817890107,0.0,1.333390842729753,1.0,2.0,0.3395117029547691,0.27925936789562306,0.5771505727618933,2.7657175085279677,0.0,0.37038316887285977,310.9811111111111,10.0,0.17500000000000052,900.0,900.0,0.24750729533843696,0.1902627125091385,0.2013351399509702,0.03600455605555908,1.234326240606606,0.21866987040266395,0.3371023812214844,0.9832752952352166,0.047146012613666244,0.04867194556902632,0.5800633843920524,0.5800633843920524,0.0,1.111929973697902,1.0,2.0,256.0
3,2,0.2600083970837295,0.2499827837364541,0.19204723454804884,0.03927089726500627,0.8462468031793833,0.21991843244681755,0.2892919497150514,0.902518018550343,0.06451997259942194,0.030348707460842155,0.6709304217945244,0.6709304217945244,0.0,1.3998561048936187,1.0,2.0,0.5264882328444057,0.09415763353721963,0.4657863327364127,2.569583209355672,0.0,0.18054741121828555,310.4088888888889,10.0,0.35000000000000103,900.0,900.0,0.2324703896883875,0.19317502091871575,0.19641240910277702,0.03854567399685038,1.2319368009921163,0.225073659355985,0.30502402811544016,0.9820035200100392,0.04027558116285945,0.045301703450768116,0.5186912408176422,0.5186912408176422,0.0,1.0817978750605373,1.0,2.0,256.0
4,3,0.27266405816845324,0.29653751679040763,0.19204467292323155,0.03744248687565602,0.8287623613796856,0.2189286777032192,0.2733303140048628,0.900176867688144,0.06791508706079591,0.026240655162215843,0.6897837601451394,0.6897837601451394,0.0,2.161508097373299,1.0,3.0,0.500926319261392,0.06987579448355569,0.3806569575270017,2.550543968015247,0.0,0.15172084461069768,311.3855555555556,10.0,0.35000000000000103,900.0,900.0,0.24085515365974677,0.20429824525490403,0.19622345293949667,0.03454725285943521,1.3146970684950559,0.23916299440315925,0.2994742648443206,0.9832328683696694,0.0424193198317274,0.04087241802139138,0.5477898458729049,0.5477898458729049,0.0,1.699103098802365,1.0,3.0,256.0
5,3,0.2728750852426445,0.2794468047938962,0.1906371140148904,0.03613693517908731,0.8022967800001304,0.21398139559077434,0.2795192999089208,0.8985986044451043,0.0692742390327017,0.02587360791650658,0.7143278847213685,0.7143278847213685,0.0,2.1414945975175894,1.0,3.0,0.4836058121919632,0.05998737069260743,0.3288755403872993,2.5069917490747238,0.0,0.1407260785748561,308.31666666666666,10.0,0.35000000000000103,900.0,900.0,0.24401702492226215,0.21283707938467467,0.206404034999044,0.034470745723713954,1.2210089541040365,0.22191946115344768,0.31993850363263227,0.9834448701391615,0.045449540183957034,0.041576563806390396,0.5610150785883488,0.5610150785883488,0.0,1.728822163364379,1.0,3.0,256.0
6,4,0.26733445081859825,0.29902168343464536,0.190033824822555,0.03318029581983056,0.7804947417953776,0.20538983380939396,0.289321110157503,0.8969652116133107,0.06489985229706184,0.02318466256373581,0.6773953600746252,0.6773953600746252,0.0,2.768720947309239,1.0,4.0,0.4766247383091185,0.053827351642151675,0.29490075792703363,2.5032245798905692,0.0,0.13470873333099814,308.12555555555554,10.0,0.35000000000000103,900.0,900.0,0.2630618964030873,0.22060160321416333,0.20223147486103699,0.03134655348549131,1.211571415537037,0.21337516125640832,0.32142713881330565,0.9840288921259344,0.03808625502642826,0.038826930385665426,0.6479291715886291,0.6479291715886291,0.0,2.220142344340104,1.0,4.0,256.0
7,4,0.2839602161819736,0.32668481628514,0.19090192711705134,0.031673199582534534,0.7796081076852149,0.20354055114620778,0.2914855856717461,0.8999463891983033,0.06582075803954568,0.024959263497168836,0.7162537516299378,0.7162537516299378,0.0,3.0633923915265684,1.0,4.0,0.4729070383641455,0.05235145742901497,0.26991340106560124,2.5001407237847646,0.0,0.13187380652046865,308.74555555555554,10.0,0.35000000000000103,900.0,900.0,0.22728651963552693,0.2807421974139288,0.1855857474001823,0.025096992487306125,1.2544702609302476,0.22133182996185496,0.36725144018419087,0.9851486546103843,0.04601801394164795,0.03963300891308563,0.40966487268832835,0.40966487268832835,0.0,2.2564519480927068,1.0,4.0,256.0
8,5,0.309373698183232,0.3398303620815279,0.1929633801976838,0.029123940461625655,0.7688307499041173,0.20090965070027025,0.31364820188283943,0.9048416920900345,0.06521650256589055,0.024289541414340022,0.8198123731330383,0.8198123731330383,0.0,4.347848986046511,1.0,5.0,0.4675439860423406,0.05018799213278625,0.2647170952376392,2.4771930535634357,0.0,0.1297997713668479,309.5788888888889,10.0,0.35000000000000103,900.0,900.0,0.26913449664716615,0.23583991830237216,0.19970705439336592,0.02669111633003922,1.2583110922947516,0.2181788151268847,0.39652307464275527,0.9860073052346705,0.03773919269879117,0.035918298532868695,0.6614080630725041,0.6614080630725041,0.0,2.7913197877763105,1.0,5.0,256.0
9,5,0.27693152914361807,0.31568867022461355,0.19653756433145858,0.02822180122364726,0.7498680015371894,0.20042870006232996,0.32117354745003873,0.910665040996341,0.06278436839973768,0.022954373942851297,0.7056166776488764,0.7056166776488764,0.0,3.6505280592767946,1.0,5.0,0.4642965318097009,0.04723666211590171,0.2502992063926326,2.475664105547799,0.0,0.12653406463977362,312.25333333333333,10.0,0.35000000000000103,900.0,900.0,0.23875819379463786,0.24250360374571764,0.2096138738328591,0.02595151313144016,1.2791997293941668,0.2166499198414386,0.35640104864723987,0.985237400140613,0.034320547907555,0.03584962343371103,0.5136257800202203,0.5136257800202203,0.0,2.8467361092327708,1.0,5.0,256.0
10,5,0.2823998898565767,0.3267476862006719,0.19634667183624363,0.026311643110588215,0.7316954957114334,0.19574072899139072,0.3062710572150016,0.9010883643097346,0.05920950018593837,0.02250930924194769,0.7217211232322784,0.7217211232322784,0.0,3.8630162842797544,1.0,5.0,0.4589743831753731,0.046254813331696724,0.25141362463434536,2.448236209816403,0.0,0.12381729749341806,309.2688888888889,10.0,0.35000000000000103,900.0,900.0,0.26914966395706863,0.2415468228864484,0.19928384510567407,0.02326379905134673,1.3258676815778023,0.2234976440551691,0.3594688236014918,0.9858905122149738,0.029952401100308647,0.03646806777163647,0.6456959917446445,0.6456959917446445,0.0,2.8324759657145195,1.0,5.0,256.0
