epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_oracle_loss,train_oracle_rank_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_steps
1,1,0.7713395680785179,0.11429801598936319,0.016734581102617083,0.018757062980672343,1.228023911908269,0.23130479589290917,0.25681106178462504,0.8873420724868775,0.10434865111857652,0.03383092939190464,1.52491975623803,1.52491975623803,0.0,1.515216771730894,1.0,0.0,0.0,0.0,0.0,0.0,500.0,125.0,0.2618573580402881,0.07667943174601533,0.004385426771477796,0.014028752371814335,0.2850009555113502,0.14753923592797946,0.0570708894811105,0.7983512857463211,0.17330133845098317,0.049035419209303654,1.6026205038365724,1.6026205038365724,0.0,1.509865560496337,1.0,256.0
2,1,0.6171318253278733,0.10018805222213269,0.007793617502320558,0.013069470677524805,0.9593262878507376,0.18894685469020625,0.09271146907098592,0.8335535968542099,0.12093438076972961,0.03342549706200953,1.5978357607862126,1.5978357607862126,0.0,1.621636490232157,1.0,0.0034645724333822727,0.6929145030975342,569.936,4.0,0.005000000000000004,500.0,125.0,0.22478146717185155,0.0727354119590018,0.003805738674600434,0.0132680888127652,0.22387509106192738,0.14341205524033285,0.017726930345816072,0.6637413329444826,0.24428112065652385,0.0498616298991692,1.4598153115452988,1.4598153115452988,0.0,1.4742396298091762,1.0,256.0
3,1,0.4635249832123518,0.09120739196240903,0.006052920838817954,0.014418641738593578,0.6753300588093698,0.1516876090285368,0.04994571902230382,0.7793184745311738,0.13296715535968542,0.032079464014226684,1.275697380867805,1.275697380867805,0.0,1.2900852716394375,1.0,0.006931362591683864,0.6931362733840942,537.256,4.0,0.010000000000000007,500.0,125.0,0.18396775182918645,0.04944370697194245,0.0021723406721321226,0.015835177207918605,0.19835723247524584,0.13508140343037667,0.014480597643341753,0.6365176998078823,0.22072723624296486,0.04305780926506486,1.6117221459153157,1.6117221459153157,0.0,1.5265574102345454,1.0,256.0
4,1,0.475452556014061,0.08985019107162952,0.005776791516225785,0.015993936475366354,0.7044854213874787,0.14171275718233664,0.03961401996575296,0.7614083278179169,0.1250434158667922,0.030486187969673666,1.2659783882034235,1.2659783882034235,0.0,1.2692931154895815,1.0,0.006930641021579504,0.6930641169548035,554.28,4.0,0.010000000000000007,500.0,125.0,0.22737936172052287,0.058597914554411545,0.002181120988097973,0.018377031898126006,0.2653462480811868,0.16620937662082724,0.029002511393628083,0.6953650100622326,0.20468546613119543,0.04222092693044033,1.4871155847363202,1.4871155847363202,0.0,1.5013760094745123,1.0,256.0
