checkpoint	epoch	benchmark_id	state_key	rank_by_score	action_node_name	action_type	action_score	hard_reduction_target_total	reward_pred	delta_fault_coverage	group_pairwise_acc	group_top1_hit
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	subckt_0093	subckt_0093|	1	new_n565_	control0	0.028242431581020355	0.0	0.1506527066230774	0.00013000000035390258	0.4	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	subckt_0093	subckt_0093|	2	new_n1894_	control0	0.025515181943774223	0.0	0.151736319065094	0.00013000000035390258	0.4	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	subckt_0093	subckt_0093|	3	new_n1794_	control0	0.015962695702910423	0.0	0.15343764424324036	0.00013000000035390258	0.4	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	subckt_0093	subckt_0093|	4	new_n1493_	control1	0.014149418100714684	0.0	0.17379289865493774	0.00013000000035390258	0.4	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	subckt_0093	subckt_0093|	5	__buf_split_409	observe	0.013850603252649307	0.0	0.2023634910583496	0.00026000000070780516	0.4	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	subckt_0093	subckt_0093|	1	__buf_split_40	observe	0.017202172428369522	0.0	0.26208722591400146	0.00026000000070780516	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	subckt_0093	subckt_0093|	2	__buf_split_1388	observe	0.0035820803605020046	0.0	0.28238388895988464	0.00026000000070780516	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	subckt_0093	subckt_0093|	3	new_n775_	control0	0.0011331136338412762	0.0	0.2571355700492859	0.00013000000035390258	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	subckt_0093	subckt_0093|	4	new_n1696_	control0	0.0009547467343509197	0.0	0.2859784960746765	0.00013000000035390258	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	subckt_0093	subckt_0093|	5	new_n565_	control0	0.0008302438072860241	0.0	0.25962403416633606	0.00013000000035390258	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	subckt_0093	subckt_0093|	1	new_n1894_	control0	-0.042216017842292786	0.0	0.19375133514404297	0.00013000000035390258	0.52	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	subckt_0093	subckt_0093|	2	new_n565_	control0	-0.04255513846874237	0.0	0.19584670662879944	0.00013000000035390258	0.52	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	subckt_0093	subckt_0093|	3	new_n1696_	control0	-0.046993862837553024	0.0	0.19281265139579773	0.00013000000035390258	0.52	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	subckt_0093	subckt_0093|	4	__buf_split_1269	control0	-0.05317016318440437	0.0	0.19835779070854187	0.00013000000035390258	0.52	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt	-2	subckt_0093	subckt_0093|	5	new_n1794_	control0	-0.06352349370718002	0.0	0.13831907510757446	0.00013000000035390258	0.52	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	subckt_0093	subckt_0093|	1	__buf_split_40	observe	0.017202172428369522	0.0	0.26208722591400146	0.00026000000070780516	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	subckt_0093	subckt_0093|	2	__buf_split_1388	observe	0.0035820803605020046	0.0	0.28238388895988464	0.00026000000070780516	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	subckt_0093	subckt_0093|	3	new_n775_	control0	0.0011331136338412762	0.0	0.2571355700492859	0.00013000000035390258	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	subckt_0093	subckt_0093|	4	new_n1696_	control0	0.0009547467343509197	0.0	0.2859784960746765	0.00013000000035390258	0.48	0.0
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt	-1	subckt_0093	subckt_0093|	5	new_n565_	control0	0.0008302438072860241	0.0	0.25962403416633606	0.00013000000035390258	0.48	0.0
