variant	status	benchmark_id	budget	planner	score_field	candidate_strategy	delta_test_coverage	delta_fault_coverage	score_nan_rows	first_score_nan_step	plan_elapsed_sec	eval_elapsed_sec	elapsed_sec	plan_csv	eval_dir	error
old_rollout_loss_A_epoch009	ok	iscas99__b21	628	greedy	reward_pred	heuristic_recall_pool	0.058379999999999876	0.058379999999999876	0		2744.154	12.192	2756.369	autoresearch/eval8-b21-hybrid-recall-k96-realfault-300k-260702-203127/iscas99__b21/B_world_rerank/plans/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/eval8-b21-hybrid-recall-k96-realfault-300k-260702-203127/iscas99__b21/B_world_rerank/evals/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0	
reward_rank_v1	ok	iscas99__b21	628	greedy	reward_pred	heuristic_recall_pool	0.06299999999999994	0.06299999999999994	0		1624.27	14.669	1638.954	autoresearch/improve-260704-1656/planner_aligned_variants/gates/reward_rank_v1/plans/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/improve-260704-1656/planner_aligned_variants/gates/reward_rank_v1/evals/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0	
reward_rank_v2_strong	ok	iscas99__b21	628	greedy	reward_pred	heuristic_recall_pool	0.03169999999999995	0.03169999999999995	0		1646.485	15.09	1661.594	autoresearch/improve-260704-1656/planner_aligned_variants/gates/reward_rank_v2_strong/plans/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/improve-260704-1656/planner_aligned_variants/gates/reward_rank_v2_strong/evals/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0	
q_rank_v1	ok	iscas99__b21	628	greedy	q_pred	heuristic_recall_pool	0.06590999999999991	0.06590999999999991	0		1716.151	13.865	1730.041	autoresearch/improve-260704-1656/planner_aligned_variants/gates/q_rank_v1/plans/iscas99__b21__greedy__cumulative__q_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/improve-260704-1656/planner_aligned_variants/gates/q_rank_v1/evals/iscas99__b21__greedy__cumulative__q_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0	
