epoch	train_loss	train_value_loss	train_rank_loss	train_groups	train_pairs
1	0.8077670114321841	0.48057809548400754	0.8077670114321841	72	5032
2	0.7828685899989473	0.4801184383363256	0.7828685899989473	72	5032
3	0.7076182609630955	0.47954904271237964	0.7076182609630955	72	5032
4	0.6909286340491639	0.4791642248294213	0.6909286340491639	72	5032
5	0.6832206385831038	0.4793598166046043	0.6832206385831038	72	5032
