node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__tpi_cp_216___aig_and_1331,1,0,0,1,0
__tpi_cp_217___aig_and_1332,1,0,0,1,0
__tpi_cp_218___aig_and_1335,1,0,0,1,0
__tpi_cp_21___aig_and_1207,1,0,0,1,0
__tpi_cp_223___aig_and_1327,1,0,0,1,0
__tpi_cp_224___aig_not_286,1,0,0,0,1
__tpi_cp_225_n_1219,1,0,0,0,1
__tpi_cp_226___aig_not_339,1,0,0,0,1
__tpi_cp_228_n_1678,1,0,0,1,0
__tpi_cp_229_n_5345,1,0,0,1,0
__tpi_cp_22___aig_not_382,1,0,0,0,1
__tpi_cp_230_n_2073,1,0,0,1,0
__tpi_cp_231_n_2078,1,0,0,1,0
__tpi_cp_232___buf_split_1112,1,0,0,1,0
__tpi_cp_233_n_5344,1,0,0,1,0
__tpi_cp_234_n_896,1,0,0,0,1
__tpi_cp_235___buf_split_886,1,0,0,1,0
__tpi_cp_236___aig_not_697,1,0,0,0,1
__tpi_cp_237___buf_split_887,1,0,0,1,0
__tpi_cp_238___aig_and_124,1,0,0,1,0
__tpi_cp_23_n_2444,1,0,0,1,0
__tpi_cp_241_n_2287,1,0,0,0,1
__tpi_cp_243___aig_and_914,1,0,0,1,0
__tpi_cp_245___aig_not_893,1,0,0,0,1
__tpi_cp_246___buf_split_1211,1,0,0,1,0
__tpi_cp_247___buf_split_1530,1,0,0,1,0
__tpi_cp_248___aig_not_323,1,0,0,0,1
__tpi_cp_249___aig_not_349,1,0,0,0,1
__tpi_cp_24___aig_and_709,1,0,0,0,1
__tpi_cp_250___aig_not_749,1,0,0,0,1
__tpi_cp_251___aig_not_365,1,0,0,0,1
__tpi_cp_252_n_832,1,0,0,1,0
__tpi_cp_253___buf_split_1297,1,0,0,0,1
__tpi_cp_254___buf_split_881,1,0,0,0,1
__tpi_cp_255___buf_split_190,1,0,0,0,1
__tpi_cp_256_n_3895,1,0,0,0,1
__tpi_cp_257___aig_not_381,1,0,0,0,1
__tpi_cp_258___aig_and_806,1,0,0,0,1
__tpi_cp_259___buf_split_1182,1,0,0,0,1
__tpi_cp_25_n_3765,1,0,0,0,1
__tpi_cp_260_n_2043,1,0,0,0,1
__tpi_cp_261_n_1202,1,0,0,0,1
__tpi_cp_262___aig_not_759,1,0,0,0,1
__tpi_cp_263_n_3115,1,0,0,0,1
__tpi_cp_264___buf_split_1061,1,0,0,0,1
__tpi_cp_265___aig_and_710,1,0,0,0,1
__tpi_cp_266___buf_split_1202,1,0,0,0,1
__tpi_cp_267___buf_split_593,1,0,0,1,0
__tpi_cp_26___buf_split_1059,1,0,0,0,1
__tpi_cp_27_n_2243,1,0,0,0,1
__tpi_cp_28_n_2445,1,0,0,1,0
__tpi_cp_29___aig_and_852,1,0,0,0,1
__tpi_cp_2_n_3644,1,0,0,0,1
__tpi_cp_30_n_3766,1,0,0,0,1
__tpi_cp_31___aig_not_773,1,0,0,0,1
__tpi_cp_32_n_1898,1,0,0,0,1
__tpi_cp_33_n_2449,1,0,0,1,0
__tpi_cp_34_n_2677,1,0,0,0,1
__tpi_cp_35_n_2448,1,0,0,1,0
__tpi_cp_36_n_2242,1,0,0,0,1
__tpi_cp_37_n_3145,1,0,0,0,1
__tpi_cp_38_n_3438,1,0,0,1,0
__tpi_cp_3___aig_and_701,1,0,0,0,1
__tpi_cp_40_n_3138,1,0,0,0,1
__tpi_cp_41_n_3838,1,0,0,0,1
__tpi_cp_43_n_3155,1,0,0,0,1
__tpi_cp_44_n_3414,1,0,0,1,0
__tpi_cp_45_n_3164,1,0,0,0,1
__tpi_cp_46_n_3462,1,0,0,1,0
__tpi_cp_47_n_3446,1,0,0,1,0
__tpi_cp_48_n_3161,1,0,0,0,1
__tpi_cp_49_n_3845,1,0,0,0,1
__tpi_cp_4_n_3148,1,0,0,0,1
__tpi_cp_50_n_3158,1,0,0,0,1
__tpi_cp_51___aig_and_320,1,0,0,0,1
__tpi_cp_52_n_1197,1,0,0,0,1
__tpi_cp_53_n_3470,1,0,0,1,0
__tpi_cp_54___aig_and_429,1,0,0,1,0
__tpi_cp_56___aig_and_891,1,0,0,0,1
__tpi_cp_57_n_2715,1,0,0,0,1
__tpi_cp_58_n_914,1,0,0,0,1
__tpi_cp_59_n_2702,1,0,0,0,1
__tpi_cp_5___aig_and_702,1,0,0,0,1
__tpi_cp_60___aig_and_270,1,0,0,1,0
__tpi_cp_61___aig_and_186,1,0,0,1,0
__tpi_cp_62___aig_and_268,1,0,0,1,0
__tpi_cp_63___aig_and_11,1,0,0,1,0
__tpi_cp_66___aig_and_1338,1,0,0,0,1
__tpi_cp_69___buf_split_392,1,0,0,0,1
__tpi_cp_6_n_2652,1,0,0,0,1
__tpi_cp_70___aig_not_113,1,0,0,0,1
__tpi_cp_71___aig_not_117,1,0,0,0,1
__tpi_cp_72___aig_not_109,1,0,0,0,1
__tpi_cp_73___aig_not_121,1,0,0,0,1
__tpi_cp_74_n_1667,1,0,0,1,0
__tpi_cp_75_n_3168,1,0,0,0,1
__tpi_cp_76_n_3152,1,0,0,0,1
__tpi_cp_7___aig_and_811,1,0,0,0,1
__tpi_cp_81___aig_and_408,1,0,0,0,1
