split	benchmark_id	state_id	candidate_strategy	input_rows	kept_rows	positive	zero	negative	control_negative	observe_negative	decision	reason
train	subckt_0001	initial	cached_hard_cone	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0001	initial	cached_random	18	18	14	0	4	4	0	keep	balanced
train	subckt_0001	initial	cached_stride	18	0	16	0	2	2	0	drop	negative<3
train	subckt_0002	initial	cached_hard_cone	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0002	initial	cached_random	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0002	initial	cached_stride	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0003	initial	cached_hard_cone	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0003	initial	cached_random	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0003	initial	cached_stride	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0005	initial	cached_hard_cone	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0005	initial	cached_random	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0005	initial	cached_stride	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0007	initial	cached_hard_cone	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0007	initial	cached_random	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0007	initial	cached_stride	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0009	initial	cached_hard_cone	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0009	initial	cached_random	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0009	initial	cached_stride	36	0	0	36	0	0	0	drop	negative<3
train	subckt_0010	initial	cached_hard_cone	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0010	initial	cached_random	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0010	initial	cached_stride	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0011	initial	cached_hard_cone	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0011	initial	cached_random	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0011	initial	cached_stride	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0012	initial	cached_hard_cone	18	0	18	0	0	0	0	drop	negative<3
train	subckt_0012	initial	cached_random	18	0	17	0	1	1	0	drop	negative<3
train	subckt_0012	initial	cached_stride	18	0	17	0	1	1	0	drop	negative<3
train	subckt_0014	initial	cached_hard_cone	36	0	0	36	0	0	0	drop	negative<3
