split	input_rows	input_groups	kept_rows	kept_groups	dropped_groups	positive	zero	negative	negative_rate	control_negative_groups	observe_negative_groups	meets_group_target	meets_negative_rate_target
train	25920	864	2394	102	762	1267	0	1127	0.47076023391812866	102	22	0	1
expanded_val	864	48	612	34	14	257	0	355	0.5800653594771242	34	7	1	1
transfer_eval_only	288	6	0	0	0	190	0	98	0.3402777777777778	3	1	eval_only	eval_only
