checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	within_best_type_top1_hit	within_best_type_regret_pp	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy	same_type_pairwise_accuracy
round8	typed_return_pred	subckt_0020	prefix_0320	320	15	__aig_and_11111::observe	observe	__aig_and_12630::observe	observe	0	1	0	0.0	0.012999999999985246	0.012999999999985246	0.0	0	0.7366756612650728	0.8414634146341463	0.7
round8	typed_return_pred	subckt_0020	prefix_0448	448	15	__aig_and_11035::observe	observe	__aig_not_11913::control0	control0	0	0	0	0.09300000000000974	0.008999999999992347	0.051000000000001044	0.0420000000000087	0	0.7341714210173238	0.8507462686567164	0.375
round8	typed_return_pred	subckt_0020	prefix_0576	576	15	__aig_and_12757::observe	observe	__aig_not_11913::control0	control0	0	0	0	0.07800000000000029	0.007999999999996898	0.042999999999993044	0.034999999999996145	0	0.6338656910463875	0.8225806451612904	0.2857142857142857
round8	typed_return_pred	subckt_0020	prefix_0704	704	15	new_n10996::control1	control1	__aig_not_11854::control1	control1	0	1	0	0.0	-0.028999999999990145	-0.028999999999990145	0.0	1	-0.13617619485048055	0.38461538461538464	0.5
round8	typed_return_pred	subckt_0020	prefix_0767	767	15	__buf_split_14141::control1	control1	__aig_not_11854::control1	control1	0	1	0	0.0	-0.026000000000003798	-0.026000000000003798	0.0	1	nan	nan	nan
round8	typed_return_pred	subckt_0116	prefix_0320	320	15	new_n5558_::observe	observe	new_n5354_::observe	observe	0	1	0	0.0	0.01100000000000545	0.01100000000000545	0.0	0	0.8190487086369509	1.0	nan
round8	typed_return_pred	subckt_0116	prefix_0448	448	15	__buf_split_3797::control0	control0	__buf_split_3798::control0	control0	0	1	0	0.0	-0.03500000000001835	-0.03500000000001835	0.0	1	nan	nan	nan
round8	typed_return_pred	subckt_0116	prefix_0576	576	15	new_n5920_::control0	control0	new_n5704_::control1	control1	0	0	0	0.0	-0.029000000000001247	-0.029000000000001247	0.0	1	nan	nan	nan
round8	typed_return_pred	subckt_0116	prefix_0704	704	15	new_n5980_::control0	control0	__buf_split_3978::control1	control1	0	0	0	0.0	-0.024000000000001798	-0.024000000000001798	0.0	1	0.061858957413174195	0.5714285714285714	1.0
round8	typed_return_pred	subckt_0116	prefix_0767	767	15	new_n5872_::control0	control0	__buf_split_3978::control1	control1	0	0	0	0.0	-0.022999999999995246	-0.022999999999995246	0.0	1	0.061858957413174195	0.5714285714285714	1.0
round8	typed_return_pred	subckt_0197	prefix_0320	320	15	__buf_split_21200::observe	observe	__aig_and_35154::control1	control1	0	0	0	0.17300000000000093	0.0180000000000069	0.12400000000001299	0.10600000000000609	0	0.17317234805683981	0.6075949367088608	0.4166666666666667
round8	typed_return_pred	subckt_0197	prefix_0448	448	15	__buf_split_23234::observe	observe	__aig_not_34626::observe	observe	0	1	0	0.0	0.01300000000000745	0.01300000000000745	0.0	0	0.7835467939002064	0.9322033898305084	0.25
round8	typed_return_pred	subckt_0197	prefix_0576	576	15	__aig_and_35095::observe	observe	__buf_split_22163::observe	observe	0	1	0	0.0380000000000047	0.009999999999998899	0.048000000000003595	0.0380000000000047	0	0.709890490736436	0.8181818181818182	0.5
round8	typed_return_pred	subckt_0197	prefix_0704	704	15	new_n16870::control1	control1	__aig_and_36039::control1	control1	0	1	0	0.033999999999989594	-0.027999999999994696	0.005999999999994898	0.033999999999989594	1	-0.09078412990032037	0.4230769230769231	0.4166666666666667
round8	typed_return_pred	subckt_0197	prefix_0767	767	15	new_n14934::control1	control1	__aig_and_36039::control1	control1	0	1	0	0.032999999999994145	-0.026000000000003798	0.006999999999990347	0.032999999999994145	1	-0.00767265936470821	0.5	0.5882352941176471
round8	typed_return_pred	subckt_0230	prefix_0320	320	15	__aig_and_46051::observe	observe	__aig_and_25933::observe	observe	0	1	0	0.0	0.0009999999999843467	0.0009999999999843467	0.0	0	0.532559829747559	0.7037037037037037	0.2
round8	typed_return_pred	subckt_0230	prefix_0448	448	15	__aig_not_23178::observe	observe	__aig_not_33479::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.8007018419281481	0.8641975308641975	0.7333333333333333
round8	typed_return_pred	subckt_0230	prefix_0576	576	15	__aig_and_24744::observe	observe	__aig_and_21604::observe	observe	0	1	0	0.0	0.002999999999997449	0.002999999999997449	0.0	0	0.5499186571022691	0.7534246575342466	0.3
