checkpoint_name	benchmark_id	state_id	candidate_strategy	score_field	candidate_count	spearman	kendall_tau	pearson	topk	topk_real_gain_by_pred	topk_hit_rate	top1_real_delta_tc	top1_regret	sign_accuracy	negative_top1	calibration_slope	calibration_intercept
incumbent	b15_C	initial	cached_hard_cone	q_pred	48	0.9315483745006735	0.9474342928660826	0.6944187319711987	5	0.030590000000000006	0.0	0.030590000000000006	0.0	1.0	0	0.43358848515133047	-0.02748895305808516
incumbent	b15_C	initial	cached_hard_cone	score_pred	48	0.9315483745006735	0.9474342928660826	0.6944187319711987	5	0.030590000000000006	0.0	0.030590000000000006	0.0	1.0	0	0.43358848515133047	-0.02748895305808516
incumbent	b15_C	initial	cached_hard_cone	hybrid_pred	48	0.6908483900896706	0.6293532338308457	0.6337011699917717	5	0.030590000000000006	0.0	0.030590000000000006	0.0	0.0	0	0.019209834137501783	0.1371633711551312
incumbent	b15_C	initial	cached_hard_cone	derived_hard_reduction_hybrid_pred	48	0.35715210518404716	0.3275	0.474442220901879	5	0.030590000000000006	0.0	0.030590000000000006	0.0	1.0	0	0.0057633432389779015	-0.01962781390300331
incumbent	b15_C	initial	cached_stride	q_pred	48	0.3553900332810628	0.3462857142857143	0.2947216764136798	5	0.01836600000000004	0.0	0.030590000000000006	0.0020700000000001273	1.0	0	0.06490419628615934	0.011549724368956647
incumbent	b15_C	initial	cached_stride	score_pred	48	0.3553900332810628	0.3462857142857143	0.2947216764136798	5	0.01836600000000004	0.0	0.030590000000000006	0.0020700000000001273	1.0	0	0.06490419628615934	0.011549724368956647
incumbent	b15_C	initial	cached_stride	hybrid_pred	48	0.3391069969541686	0.32342857142857145	0.24184616674105108	5	0.01836600000000004	0.0	0.030590000000000006	0.0020700000000001273	0.020833333333333332	0	0.0016406637392027727	0.028383971775749937
incumbent	b15_C	initial	cached_stride	derived_hard_reduction_hybrid_pred	48	0.08907444959311439	0.08342857142857144	0.09447355914581192	5	0.02447800000000002	0.0	0.030590000000000006	0.0020700000000001273	0.9375	0	0.00043586827399581953	0.0190019691828336
incumbent	b15_C	initial	hard_fault_recall_union	q_pred	48	0.34107747969795427	0.25903614457831325	0.2536625753915973	5	0.03054400000000006	0.0	0.03064000000000011	0.03791	1.0	0	0.05909748776520734	0.018579753068401123
incumbent	b15_C	initial	hard_fault_recall_union	score_pred	48	0.34107747969795427	0.25903614457831325	0.2536625753915973	5	0.03054400000000006	0.0	0.03064000000000011	0.03791	1.0	0	0.05909748776520734	0.018579753068401123
incumbent	b15_C	initial	hard_fault_recall_union	hybrid_pred	48	0.3436781678137563	0.2710843373493976	0.22466096628982365	5	0.03057800000000006	0.0	0.03064000000000011	0.03791	0.041666666666666664	0	0.001567978159264509	0.034590438260717934
incumbent	b15_C	initial	hard_fault_recall_union	derived_hard_reduction_hybrid_pred	48	0.3070471990337359	0.23493975903614459	0.14781390238644332	5	0.030630000000000067	0.0	0.030510000000000037	0.038040000000000074	1.0	0	0.00075878585458527	0.021505736231713958
incumbent	i2c_aig	initial	cached_hard_cone	q_pred	48	-0.482372467424897	-0.4895397489539749	-0.08104944334374901	5	-0.027800000000000047	0.0	-0.027800000000000047	0.027859999999999996	0.3333333333333333	1	-0.12898452876182664	0.0100840544704839
incumbent	i2c_aig	initial	cached_hard_cone	score_pred	48	-0.482372467424897	-0.4895397489539749	-0.08104944334374901	5	-0.027800000000000047	0.0	-0.027800000000000047	0.027859999999999996	0.3333333333333333	1	-0.12898452876182664	0.0100840544704839
incumbent	i2c_aig	initial	cached_hard_cone	hybrid_pred	48	0.5756782801085999	0.5369595536959554	0.2355091550371893	5	4.199999999996429e-05	0.0	5.999999999994898e-05	0.0	0.3541666666666667	0	0.0010717750238274373	-0.02556271826781411
incumbent	i2c_aig	initial	cached_hard_cone	derived_hard_reduction_hybrid_pred	48	-0.2418360350412906	-0.2301255230125523	-0.19218581568551732	5	-0.027862000000000053	0.0	-0.027800000000000047	0.027859999999999996	0.6666666666666666	1	-0.0013301910008115356	-0.03535949590439595
incumbent	i2c_aig	initial	cached_stride	q_pred	48	-0.19771277560419476	-0.19070904645476772	-0.0503426308309798	5	-0.027862000000000053	0.0	-0.027800000000000047	0.03033000000000008	0.3333333333333333	1	-0.07677783844826962	-0.001582150287772057
incumbent	i2c_aig	initial	cached_stride	score_pred	48	-0.19771277560419476	-0.19070904645476772	-0.0503426308309798	5	-0.027862000000000053	0.0	-0.027800000000000047	0.03033000000000008	0.3333333333333333	1	-0.07677783844826962	-0.001582150287772057
incumbent	i2c_aig	initial	cached_stride	hybrid_pred	48	0.08197142813370993	0.07090464547677261	0.13064675721005115	5	-0.014348000000000027	1.0	5.999999999994898e-05	0.0024700000000000832	0.3958333333333333	0	0.000497434524126687	-0.020394915804360977
incumbent	i2c_aig	initial	cached_stride	derived_hard_reduction_hybrid_pred	48	-0.11424046216662814	-0.10024449877750612	-0.07468348612248107	5	-0.019732000000000038	1.0	-0.02842	0.030950000000000033	0.6666666666666666	1	-0.0002801175015148067	-0.0217681713609658
