epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,2,1.045621371999383,0.1545852655135095,0.1971959055364132,0.022755403417162597,0.42227207430172714,0.1802582811987959,0.0818251415072009,0.9156892055869102,0.07480120982672088,0.027413002961312487,1.1219956112205205,1.1219956112205205,0.0,1.8390333800064622,1.4945675265789031,2.0,1000.0,0.0,0.24072881072061136,0.14494904954335652,0.27281395165482536,0.029475053255737294,0.44508115062490106,0.07645682232850959,0.06434909652307397,0.9807151723653078,0.06921211200096877,0.01426697756291162,0.032323474262942006,0.032323474262942006,0.0,0.07457510168141646,1.5559804139193147,2.0,256.0
2,2,1.0043132622092963,0.24248517411202192,0.21447604629397393,0.024797154754400252,0.324932617184706,0.18807772802874387,0.03954852725937962,0.806507661819458,0.09345820319233462,0.027744966426510247,1.0805288040934329,1.0805288040934329,0.0,1.782631202950813,1.4974464635252953,2.0,1000.0,0.0,0.2686953882803209,0.13811358499515336,0.25993550912244245,0.02324235113337636,0.45664068398764357,0.05155515229807861,0.03820865380112082,0.9660518690943718,0.07215388328768313,0.014446710050506795,0.08372258759027318,0.08372258759027318,0.0,0.11072450365463737,1.5559804139193147,2.0,256.0
3,2,0.8834091843627393,0.2477593221217394,0.21447895906865597,0.020602016950491815,0.2791150157160591,0.17422285761384046,0.024420994309242813,0.7091984251439571,0.09987246560491622,0.028636523368914594,0.9341477550492603,0.9341477550492603,0.0,1.5580996625066745,1.4981813086271285,2.0,1000.0,0.0,0.3094304656260647,0.1615940275369212,0.2621988368919119,0.0244483283640875,0.620451855531428,0.07300908781417093,0.03277172273010365,0.9438314256258309,0.07387683175329585,0.014660411150885011,0.08279122572571396,0.08279122572571396,0.0,0.22521635593225398,1.5559804139193147,2.0,256.0
4,2,0.8327497934512794,0.2572833125144243,0.2083123545385897,0.017595460335956888,0.24133490582637024,0.15898922336903343,0.019532402266044302,0.6484372021555901,0.09845406420202926,0.025549878369922906,0.8762859521777835,0.8762859521777835,0.0,1.4804926809356866,1.4992556611299515,2.0,1000.0,0.0,0.8492517666891217,0.19958903605584055,0.26145518591511063,0.021167187056562398,0.45670585049083456,0.032205508813092365,0.023355262283075717,0.9156706886133179,0.06584150775597664,0.014036664343676897,0.8694014512998365,0.8694014512998365,0.0,1.2944012401987735,1.5559804139193147,2.0,256.0
5,2,0.8758010634966195,0.2587361911609769,0.20960552722215653,0.01512287373561412,0.22751102738447662,0.1537418064415706,0.018621209058066596,0.6157964079082012,0.09769184377603232,0.027718841160133026,0.9516741141003411,0.9516741141003411,0.0,1.5752384779181514,1.494593549311161,2.0,1000.0,0.0,0.6716312361822929,0.1554457148304209,0.2555654678726569,0.013448232863083831,0.34825922854361124,0.02274343537931145,0.016394064146879828,0.8946197482291609,0.07538963420665823,0.014632933194206998,0.5783588579761272,0.5783588579761272,0.0,1.3620729166714227,1.5559804139193147,2.0,256.0
6,2,0.8108171148840339,0.2512393809892237,0.20514177472889422,0.013644890308612958,0.2176638617194758,0.13872093295168453,0.015800695681555225,0.5930271441042423,0.09741353615373373,0.026324016452735008,0.8700001153500876,0.8700001153500876,0.0,1.4465433028077475,1.4988441095352172,2.0,1000.0,0.0,0.5024485174799338,0.16357559929019772,0.26240080685238354,0.014367517660502926,0.34682783170137554,0.027305808377150242,0.013024558894358051,0.8795805444242433,0.05899473011959344,0.01469706089554279,0.38163137818992254,0.38163137818992254,0.0,0.860694822818914,1.5559804139193147,2.0,256.0
7,2,0.7387645893990994,0.24087613375112416,0.2023983967937529,0.013757830055896193,0.18979139457922428,0.1253683048464943,0.014861008875288122,0.5550674044191838,0.09543842546455562,0.024597099933098433,0.7777309855924979,0.7777309855924979,0.0,1.3091861773914952,1.5013754405975341,2.0,1000.0,0.0,0.8956675042281859,0.18383414443815127,0.2605430740804877,0.011570429407584015,0.5847569843754172,0.024789927241499754,0.03064983598596882,0.9015910043381155,0.0556039112561848,0.015271026092761986,0.8389533923747194,0.8389533923747194,0.0,1.6835866142791929,1.5559804139193147,2.0,256.0
8,2,0.793161176899448,0.23000739040225746,0.20263640834391117,0.013445457303198054,0.20130771542724687,0.12448511447439888,0.014825350185124904,0.5711285353004932,0.09813088209461421,0.026785785209935967,0.8564924911545645,0.8564924911545645,0.0,1.4176428834793908,1.4962817203402519,2.0,1000.0,0.0,0.31156050917343237,0.15424612018978223,0.24471996884676628,0.01152457437274279,0.3566954853886273,0.023529491915354583,0.009012069941491063,0.8365928957937285,0.06273611759388587,0.013852589776206514,0.16585621185281152,0.16585621185281152,0.0,0.3226840976625057,1.5559804139193147,2.0,256.0
9,2,0.8484848291426897,0.2375848466977477,0.19720392441749574,0.011712643104721792,0.1853590880081174,0.12355746859951773,0.015626442844540265,0.5389547659754753,0.0951552947377786,0.025937493317286453,0.9389278611519593,0.9389278611519593,0.0,1.5420112867810536,1.4970477370619775,2.0,1000.0,0.0,0.28160638095869217,0.15327632419939619,0.24212714241002686,0.010966949714202201,0.35892200801026775,0.015529624486134708,0.004322151892665715,0.7551736198365688,0.06477103806537343,0.014113090367260384,0.11812682485610715,0.11812682485610715,0.0,0.35995932317275003,1.5559804139193147,2.0,256.0
10,2,0.7553502374235541,0.22652113823220132,0.19712269658967851,0.010657543412642554,0.19845539101183385,0.12120503530797032,0.01443995251049212,0.5363509698212147,0.09172947276663035,0.025047999445838742,0.8130430785994875,0.8130430785994875,0.0,1.3560061133812913,1.4990825158953667,2.0,1000.0,0.0,0.47848605175386183,0.1444231111818226,0.2420010684581939,0.009061625710273802,0.30209975637262687,0.01973508780623945,0.008214559748012107,0.8387716674478725,0.05165848950127838,0.014703958764357594,0.3889932806613672,0.3889932806613672,0.0,0.7531971025688762,1.5559804139193147,2.0,256.0
