timestamp	variant_id	status	benchmark_id	logic_gates	budget_mode	budget	planner	beam_objective	score_field	beam_width	lookahead_depth	max_candidates	discount_gamma	candidate_strategy	candidate_diversity_penalty	candidate_diversity_depth	candidate_sample_seed	patterns	seed	plan_score_sum	plan_reward_sum	plan_fc_sum	plan_return_sum	plan_sequence_sum	plan_objective_sum	delta_test_coverage	delta_fault_coverage	delta_pattern_count	plan_csv	eval_dir	elapsed_sec	error
2026-06-27T10:31:18	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	b15_C	38477	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/b15_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/b15_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.827	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:20	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	b20_C	84305	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/b20_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/b20_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.518	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:21	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	b21_C	85858	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/b21_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/b21_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.401	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:23	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	b22_C	125195	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/b22_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/b22_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.57	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:24	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	i2c_aig	4726	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/i2c_aig__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/i2c_aig__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.442	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:26	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	max_aig	12294	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/max_aig__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/max_aig__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.516	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:27	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	b17_C	137128	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/b17_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/b17_C__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.402	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
2026-06-27T10:31:28	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	plan_error	mem_ctrl_aig	179448	fixed	5	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	300000	2026										autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/plans/mem_ctrl_aig__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0.csv	autoresearch/new-candidate-pool-insertion-atalanta-best8-fixed5-gpu/evals/mem_ctrl_aig__beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	1.401	"Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File ""<frozen runpy>"", line 88, in _run_code
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1564, in <module>
    main()
    ~~~~^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 1481, in main
    model, config = load_checkpoint(args.checkpoint, device)
                    ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/data4/pengqingsong/DFT/TPI-my.3/tpi_jepa/plan.py"", line 119, in load_checkpoint
    ckpt = torch.load(Path(path), map_location=device)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1462, in load
    return _load(
        opened_zipfile,
    ...<3 lines>...
        **pickle_load_args,
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1964, in _load
    result = unpickler.load()
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/_weights_only_unpickler.py"", line 512, in load
    self.append(self.persistent_load(pid))
                ~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1928, in persistent_load
    typed_storage = load_tensor(
        dtype, nbytes, key, _maybe_decode_ascii(location)
    )
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1900, in load_tensor
    wrap_storage=restore_location(storage, location),
                 ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 1806, in restore_location
    return default_restore_location(storage, str(map_location))
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 693, in default_restore_location
    result = fn(storage, location)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 631, in _deserialize
    device = _validate_device(location, backend_name)
  File ""/data1/pengqingsong/tools/miniconda3/lib/python3.13/site-packages/torch/serialization.py"", line 600, in _validate_device
    raise RuntimeError(
    ...<5 lines>...
    )
RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU."
