split	checkpoint_name	method	benchmark_id	state_id	candidate_strategy	score_field	candidate_count	spearman	kendall_tau	pearson	topk	topk_real_gain_by_pred	topk_hit_rate	top1_real_delta_tc	top1_regret	sign_accuracy	negative_top1	calibration_slope	calibration_intercept
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.5291202017670308	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.6666666666666666	1	0.004420857362480546	-0.0008979512832494597
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.5291202017670308	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.6666666666666666	1	0.004420857362480546	-0.0008699999999999264
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.5291202017670308	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.6666666666666666	1	0.0016836501722951583	-0.0008699999999999264
expanded	Q_v0_rank0p5	group_rank_pct	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.681466275636382	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.3333333333333333	1	0.007105263157894655	-0.0044226315789472545
expanded	Q_v0_rank0p5	circuit_zscore	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.5291202017670308	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.6666666666666666	1	0.005512027342606897	-0.0005855806749672537
expanded	Q_v0_rank0p5	global_zscore	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.5291202017670308	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.5	1	0.0061351852667865915	-0.002319789287423808
expanded	Q_v0_rank0p5	platt	subckt_0008	initial	cached_hard_cone	q_calibrated	18	0.681466275636382	0.8333333333333334	0.5318003503347657	5	0.0022800000000000376	0.0	-0.0031199999999999006	0.006749999999999923	0.3333333333333333	1	0.019886746891104205	-0.011299701494550453
expanded	Q_v0_rank0p5	raw	subckt_0008	initial	cached_random	q_calibrated	18	0.870008534448417	0.796875	0.9594671234815103	5	0.07323600000000005	1.0	0.16049000000000013	0.0	1.0	0	0.030281369773602535	0.008780492452136556
expanded	Q_v0_rank0p5	group_center	subckt_0008	initial	cached_random	q_calibrated	18	0.870008534448417	0.796875	0.9594671234815103	5	0.07323600000000005	1.0	0.16049000000000013	0.0	0.9444444444444444	0	0.030281369773602535	0.012965000000000036
expanded	Q_v0_rank0p5	group_zscore	subckt_0008	initial	cached_random	q_calibrated	18	0.870008534448417	0.796875	0.9594671234815106	5	0.07323600000000005	1.0	0.16049000000000013	0.0	0.9444444444444444	0	0.0477473104956577	0.012965000000000034
